ts,pred,side,entry,exit,pnl
2026-03-23T00:34:00+00:00,0,down,4401.81,4408.52,-6.710000000000036
2026-03-23T00:35:00+00:00,0,down,4367.19,4424.61,-57.42000000000007
2026-03-23T00:37:00+00:00,0,down,4332.48,4424.31,-91.83000000000084
2026-03-23T00:40:00+00:00,0,down,4353.85,4422.44,-68.58999999999924
2026-03-23T00:41:00+00:00,0,down,4350.07,4422.91,-72.84000000000015
2026-03-23T00:42:00+00:00,0,down,4351.23,4442.77,-91.54000000000087
2026-03-23T00:43:00+00:00,0,down,4358.86,4438.63,-79.77000000000044
2026-03-23T00:44:00+00:00,0,down,4362.52,4432.12,-69.59999999999945
2026-03-23T00:45:00+00:00,2,up,4361.38,4421.83,60.44999999999982
2026-03-23T00:46:00+00:00,2,up,4360.83,4423.53,62.69999999999982
2026-03-23T00:47:00+00:00,2,up,4355.35,4422.44,67.08999999999924
2026-03-23T00:48:00+00:00,2,up,4350.64,4422.27,71.63000000000011
2026-03-23T00:49:00+00:00,2,up,4346.04,4421.6,75.5600000000004
2026-03-23T00:50:00+00:00,2,up,4351.79,4432.92,81.13000000000011
2026-03-23T00:51:00+00:00,2,up,4352.79,4445.33,92.53999999999996
2026-03-23T00:55:00+00:00,2,up,4338.11,4435.74,97.63000000000011
2026-03-23T00:56:00+00:00,2,up,4343.79,4435.05,91.26000000000022
2026-03-23T00:57:00+00:00,2,up,4356.59,4445.62,89.02999999999975
2026-03-23T01:30:00+00:00,0,down,4432.92,4408.98,23.94000000000051
2026-03-23T01:31:00+00:00,0,down,4445.33,4410.81,34.51999999999953
2026-03-23T01:32:00+00:00,0,down,4443.52,4396.42,47.100000000000364
2026-03-23T01:33:00+00:00,0,down,4448.17,4392.87,55.30000000000018
2026-03-23T01:34:00+00:00,0,down,4441.92,4396.29,45.63000000000011
2026-03-23T01:36:00+00:00,0,down,4435.05,4414.83,20.220000000000255
2026-03-23T01:37:00+00:00,0,down,4445.62,4406.65,38.970000000000255
2026-03-23T01:38:00+00:00,0,down,4447.27,4401.35,45.92000000000007
2026-03-23T01:39:00+00:00,0,down,4445.54,4403.54,42.0
2026-03-23T01:40:00+00:00,0,down,4440.17,4412.38,27.789999999999964
2026-03-23T01:41:00+00:00,0,down,4439.65,4409.87,29.779999999999745
2026-03-23T01:42:00+00:00,0,down,4438.44,4408.08,30.359999999999673
2026-03-23T01:44:00+00:00,0,down,4435.71,4405.04,30.670000000000073
2026-03-23T01:45:00+00:00,0,down,4432.69,4402.98,29.710000000000036
2026-03-23T01:46:00+00:00,0,down,4427.98,4412.06,15.919999999999163
2026-03-23T01:47:00+00:00,0,down,4424.67,4407.46,17.210000000000036
2026-03-23T01:50:00+00:00,0,down,4410.03,4401.13,8.899999999999636
2026-03-23T01:51:00+00:00,0,down,4409.54,4393.85,15.6899999999996
2026-03-23T01:52:00+00:00,0,down,4405.1,4384.65,20.450000000000728
2026-03-23T02:02:00+00:00,0,down,4416.54,4375.39,41.149999999999636
2026-03-23T02:03:00+00:00,0,down,4413.22,4381.08,32.14000000000033
2026-03-23T02:04:00+00:00,0,down,4417.65,4385.23,32.42000000000007
2026-03-23T02:05:00+00:00,0,down,4414.46,4374.2,40.26000000000022
2026-03-23T02:06:00+00:00,0,down,4415.44,4369.92,45.51999999999953
2026-03-23T02:07:00+00:00,0,down,4413.96,4373.15,40.8100000000004
2026-03-23T02:08:00+00:00,0,down,4412.51,4375.88,36.63000000000011
2026-03-23T02:09:00+00:00,0,down,4406.77,4373.06,33.710000000000036
2026-03-23T02:12:00+00:00,0,down,4396.42,4371.38,25.039999999999964
2026-03-23T02:15:00+00:00,0,down,4408.48,4359.97,48.50999999999931
