signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,day
12513,2026-03-30T00:48:00+00:00,2026-03-30T00:48:00+00:00,2026-03-30T01:28:00+00:00,0,down,4441.07,4449.77,-8.700000000000728,2026-03-30 00:00:00+00:00
12531,2026-03-30T01:36:00+00:00,2026-03-30T01:36:00+00:00,2026-03-30T02:16:00+00:00,0,down,4475.28,4472.82,2.4600000000000364,2026-03-30 00:00:00+00:00
12599,2026-03-30T02:44:00+00:00,2026-03-30T02:44:00+00:00,2026-03-30T03:24:00+00:00,2,up,4494.6,4511.17,16.56999999999971,2026-03-30 00:00:00+00:00
13139,2026-03-31T02:44:00+00:00,2026-03-31T02:44:00+00:00,2026-03-31T03:24:00+00:00,2,up,4586.71,4557.81,-28.899999999999636,2026-03-31 00:00:00+00:00
13364,2026-03-31T16:59:00+00:00,2026-03-31T16:59:00+00:00,2026-03-31T17:39:00+00:00,0,down,4638.62,4651.17,-12.550000000000182,2026-03-31 00:00:00+00:00
14113,2026-04-02T01:30:00+00:00,2026-04-02T01:30:00+00:00,2026-04-02T02:10:00+00:00,0,down,4685.69,4695.32,-9.63000000000011,2026-04-02 00:00:00+00:00
14154,2026-04-02T02:11:00+00:00,2026-04-02T02:11:00+00:00,2026-04-02T02:51:00+00:00,0,down,4679.15,4673.23,5.920000000000073,2026-04-02 00:00:00+00:00
14375,2026-04-02T05:52:00+00:00,2026-04-02T05:52:00+00:00,2026-04-02T06:32:00+00:00,2,up,4603.4,4593.71,-9.6899999999996,2026-04-02 00:00:00+00:00
14419,2026-04-02T06:36:00+00:00,2026-04-02T06:36:00+00:00,2026-04-02T07:16:00+00:00,0,down,4585.45,4621.32,-35.86999999999989,2026-04-02 00:00:00+00:00
14494,2026-04-02T15:51:00+00:00,2026-04-02T15:51:00+00:00,2026-04-02T16:31:00+00:00,0,down,4653.41,4654.38,-0.9700000000002547,2026-04-02 00:00:00+00:00
14543,2026-04-02T16:40:00+00:00,2026-04-02T16:40:00+00:00,2026-04-02T17:20:00+00:00,2,up,4664.96,4660.96,-4.0,2026-04-02 00:00:00+00:00
15761,2026-04-07T22:36:00+00:00,2026-04-07T22:36:00+00:00,2026-04-07T23:16:00+00:00,0,down,4763.9,4817.46,-53.5600000000004,2026-04-07 00:00:00+00:00
15809,2026-04-07T23:24:00+00:00,2026-04-07T23:24:00+00:00,2026-04-08T00:04:00+00:00,0,down,4819.1,4846.12,-27.019999999999527,2026-04-07 00:00:00+00:00
15856,2026-04-08T00:11:00+00:00,2026-04-08T00:11:00+00:00,2026-04-08T00:51:00+00:00,0,down,4841.85,4820.6,21.25,2026-04-08 00:00:00+00:00
