run_id,window,horizon,trend_threshold,long_target_threshold,short_target_threshold,long_adverse_limit,short_adverse_limit,min_15m_drop,min_15m_rise,max_flat_ratio,stage1_min_prob,stage2_min_prob,model_source,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.5_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.5,0.6,trained,0,182.23,OK,1421,75,4802.129999999989,3.3794018296973887,64.02839999999986,74.66666666666667,0.6679536364580614,0.5136747430249633,6062.47140969162
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3.5_p10.48_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.5,0.48,0.5,trained,0,153.56,OK,1113,62,4711.589999999989,4.233234501347699,75.99338709677401,77.41935483870968,0.6625211607382433,0.5640404453917074,6049.823993778793
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3.5_p10.48_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.5,0.48,0.5,trained,0,155.51,OK,1113,62,4711.589999999989,4.233234501347699,75.99338709677401,77.41935483870968,0.6625211607382433,0.5640404453917074,6049.823993778793
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3.5_p10.55_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.5,0.55,0.5,trained,0,180.22,OK,1027,63,4715.220000000002,4.591256085686467,74.84476190476194,76.19047619047619,0.6484719765997313,0.5713394294245259,6048.464191329291
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3.5_p10.55_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.5,0.55,0.5,trained,0,159.13,OK,1027,63,4715.220000000002,4.591256085686467,74.84476190476194,76.19047619047619,0.6484719765997313,0.5713394294245259,6048.464191329291
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.48,0.55,trained,0,298.25,OK,1357,70,4782.6799999999985,3.524450994841561,68.32399999999998,71.42857142857143,0.6649966994715054,0.5429614580263029,6039.927172312016
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.48,0.55,trained,0,190.07,OK,1357,70,4782.6799999999985,3.524450994841561,68.32399999999998,71.42857142857143,0.6649966994715054,0.5429614580263029,6039.927172312016
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.52_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.52,0.55,trained,0,221.14,OK,1324,72,4736.850000000001,3.577681268882176,65.78958333333335,73.61111111111111,0.6558355547552894,0.5393019764574882,6012.263087568601
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.52_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.52,0.55,trained,0,190.41,OK,1324,72,4736.850000000001,3.577681268882176,65.78958333333335,73.61111111111111,0.6558355547552894,0.5393019764574882,6012.263087568601
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.55_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.55,0.6,trained,0,205.28,OK,1259,73,4746.989999999996,3.770444797458297,65.02726027397254,72.6027397260274,0.6574210583740262,0.5259387356597631,5998.956132920033
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.55_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.55,0.6,trained,0,184.43,OK,1259,73,4746.989999999996,3.770444797458297,65.02726027397254,72.6027397260274,0.6574210583740262,0.5259387356597631,5998.956132920033
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f4_p10.55_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,4.0,0.55,0.6,trained,0,157.63,OK,920,62,4659.589999999989,5.064771739130423,75.15467741935467,79.03225806451613,0.6347718222106207,0.5361174941807267,5986.030074825877
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f4_p10.55_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,4.0,0.55,0.6,trained,0,202.51,OK,920,62,4659.589999999989,5.064771739130423,75.15467741935467,79.03225806451613,0.6347718222106207,0.5361174941807267,5986.030074825877
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.48,0.6,trained,0,190.55,OK,1429,73,4779.050000000001,3.3443317004898536,65.4664383561644,67.12328767123287,0.6713396962465998,0.5227936581495447,5973.076534861875
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.48,0.6,trained,0,171.88,OK,1429,73,4779.050000000001,3.3443317004898536,65.4664383561644,67.12328767123287,0.6713396962465998,0.5227936581495447,5973.076534861875
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3_p10.48_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.0,0.48,0.5,trained,0,217.4,OK,1267,67,4715.549999999988,3.7218232044198802,70.38134328358191,68.65671641791045,0.6592781608653444,0.5622573636037246,5964.374527782817
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.48_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.0,0.48,0.5,trained,0,152.16,OK,1267,67,4715.549999999988,3.7218232044198802,70.38134328358191,68.65671641791045,0.6592781608653444,0.5622573636037246,5964.374527782817
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3_p10.5_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.0,0.5,0.5,trained,0,149.97,OK,1286,66,4658.359999999996,3.6223639191290795,70.58121212121206,72.72727272727273,0.6673644414407889,0.5661099932586654,5951.742720531389
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.5_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.0,0.5,0.5,trained,0,153.09,OK,1286,66,4658.359999999996,3.6223639191290795,70.58121212121206,72.72727272727273,0.6673644414407889,0.5661099932586654,5951.742720531389
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f4_p10.48_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,4.0,0.48,0.5,trained,0,184.84,OK,1041,60,4719.389999999989,4.533515850144082,78.65649999999982,68.33333333333333,0.6575580678902083,0.5481486531845263,5950.871986517849
