run_id,window,horizon,trend_threshold,min_15m_drop,min_15m_rise,stage1_min_prob,stage2_min_prob,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.012_d15_r15_p10.6_p20.7,150,25,0.012,15.0,15.0,0.6,0.7,0,44.86,OK,54,14,158.2599999999975,2.9307407407406942,11.304285714285536,35.714285714285715,0.5807812170051021,0.6625,1177.9028571428546
w150_h40_thr0.008_d15_r15_p10.6_p20.6,150,40,0.008,15.0,15.0,0.6,0.6,0,45.85,OK,114,26,132.84999999999582,1.1653508771929457,5.109615384615224,46.15384615384615,0.593322188065377,0.5590520590520591,1153.4405205905164
w150_h30_thr0.006_d15_r15_p10.6_p20.7,150,30,0.006,15.0,15.0,0.6,0.7,0,49.79,OK,174,33,176.89999999999782,1.0166666666666542,5.360606060605995,45.45454545454545,0.5891586339237408,0.48508140855736465,1116.526863102817
w150_h25_thr0.01_d15_r15_p10.6_p20.7,150,25,0.01,15.0,15.0,0.6,0.7,0,48.54,OK,74,23,105.08999999999742,1.4201351351351001,4.569130434782497,47.82608695652174,0.5839223086819705,0.5119336569579288,1095.2845265231438
w150_h25_thr0.01_d15_r15_p10.6_p20.65,150,25,0.01,15.0,15.0,0.6,0.65,0,47.95,OK,74,23,52.43999999999687,0.7086486486486063,2.279999999999864,47.82608695652174,0.5862130337777997,0.5249084249084249,1055.6092944736392
w150_h40_thr0.008_d15_r15_p10.6_p20.65,150,40,0.008,15.0,15.0,0.6,0.65,0,46.08,OK,111,26,48.08999999999651,0.4332432432432118,1.8496153846152503,42.30769230769231,0.5884264470910519,0.5639441388066018,1035.1110618835214
w150_h25_thr0.01_d15_r15_p10.6_p20.6,150,25,0.01,15.0,15.0,0.6,0.6,0,48.0,OK,74,23,10.359999999996944,0.1399999999999587,0.4504347826085628,43.47826086956522,0.5880180808899778,0.5176531671858775,962.7957758815267
w150_h40_thr0.012_d15_r15_p10.6_p20.6,150,40,0.012,15.0,15.0,0.6,0.6,0,111.28,OK,52,20,-39.67000000000098,-0.7628846153846343,-1.9835000000000491,40.0,0.5575154707667425,0.5883561643835616,948.6861643835607
w150_h40_thr0.012_d15_r15_p10.6_p20.65,150,40,0.012,15.0,15.0,0.6,0.65,0,112.0,OK,51,20,-68.06000000000131,-1.3345098039215944,-3.4030000000000653,40.0,0.554395288835402,0.5918101199791341,923.7501199791328
w150_h20_thr0.01_d15_r15_p10.6_p20.6,150,20,0.01,15.0,15.0,0.6,0.6,0,44.8,OK,72,19,-62.529999999999745,-0.8684722222222186,-3.291052631578934,47.368421052631575,0.5862118792334222,0.5093167701863355,920.4709807126515
w150_h40_thr0.012_d15_r15_p10.6_p20.7,150,40,0.012,15.0,15.0,0.6,0.7,0,112.97,OK,51,20,-68.06000000000131,-1.3345098039215944,-3.4030000000000653,40.0,0.553375947240196,0.5836619718309859,915.6019718309846
w150_h20_thr0.01_d15_r15_p10.6_p20.65,150,20,0.01,15.0,15.0,0.6,0.65,0,46.27,OK,72,19,-49.92999999999938,-0.6934722222222136,-2.6278947368420726,47.368421052631575,0.5790764545549483,0.4652014652014652,888.9556757277816
w150_h20_thr0.01_d15_r15_p10.6_p20.7,150,20,0.01,15.0,15.0,0.6,0.7,0,72.81,OK,72,19,-45.5699999999988,-0.63291666666665,-2.398421052631516,47.368421052631575,0.5730139912498647,0.4314063848144952,859.5205953408122
w150_h40_thr0.01_d15_r15_p10.6_p20.7,150,40,0.01,15.0,15.0,0.6,0.7,0,122.56,OK,76,21,-311.4200000000028,-4.097631578947405,-14.829523809523943,52.38095238095239,0.5560848554049125,0.6427685950413223,855.1581188508434
w150_h40_thr0.01_d15_r15_p10.6_p20.6,150,40,0.01,15.0,15.0,0.6,0.6,0,119.77,OK,78,22,-372.40000000000146,-4.774358974358993,-16.927272727272793,54.54545454545454,0.5651331842347463,0.6178649237472766,790.9194692018206
