side,entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,pnl_usd,bars_held,exit_reason,lookback,ema_fast,ema_slow,atr_period,tp_atr,sl_atr,max_hold
long,3075,3076,2026-02-18 14:45:00+00:00,2026-02-18 15:00:00+00:00,4982.13,5004.3604000000005,22.230400000000373,2,take_profit,24,20,60,10,1.6,1.3,10
long,3133,3134,2026-02-19 06:15:00+00:00,2026-02-19 06:30:00+00:00,5000.07,5010.1356,10.065599999999904,2,take_profit,24,20,60,10,1.6,1.3,10
long,3136,3139,2026-02-19 07:00:00+00:00,2026-02-19 07:45:00+00:00,5019.01,5009.6305,-9.379500000000007,4,stop_loss,24,20,60,10,1.6,1.3,10
long,3225,3227,2026-02-20 06:15:00+00:00,2026-02-20 06:45:00+00:00,5017.36,5029.4592,12.099200000000565,3,take_profit,24,20,60,10,1.6,1.3,10
long,3237,3240,2026-02-20 09:15:00+00:00,2026-02-20 10:00:00+00:00,5039.81,5026.1067,-13.703300000000127,4,stop_loss,24,20,60,10,1.6,1.3,10
long,3256,3260,2026-02-20 14:00:00+00:00,2026-02-20 15:00:00+00:00,5043.95,5028.7062,-15.243800000000192,5,stop_loss,24,20,60,10,1.6,1.3,10
long,3280,3283,2026-02-20 20:00:00+00:00,2026-02-20 20:45:00+00:00,5079.74,5094.54,14.800000000000182,4,take_profit,24,20,60,10,1.6,1.3,10
long,3336,3337,2026-02-23 11:00:00+00:00,2026-02-23 11:15:00+00:00,5163.16,5151.6082,-11.551800000000185,2,stop_loss,24,20,60,10,1.6,1.3,10
long,3343,3345,2026-02-23 12:45:00+00:00,2026-02-23 13:15:00+00:00,5164.71,5152.7916000000005,-11.918399999999565,3,stop_loss,24,20,60,10,1.6,1.3,10
long,3351,3356,2026-02-23 14:45:00+00:00,2026-02-23 16:00:00+00:00,5191.39,5175.730200000001,-15.65979999999945,6,stop_loss,24,20,60,10,1.6,1.3,10
long,3358,3362,2026-02-23 16:30:00+00:00,2026-02-23 17:30:00+00:00,5215.11,5192.3197,-22.79029999999966,5,stop_loss,24,20,60,10,1.6,1.3,10
long,3373,3375,2026-02-23 20:15:00+00:00,2026-02-23 20:45:00+00:00,5224.1,5237.5672,13.467200000000048,3,take_profit,24,20,60,10,1.6,1.3,10
short,3440,3442,2026-02-24 14:00:00+00:00,2026-02-24 14:30:00+00:00,5114.62,5133.8366,-19.216599999999744,3,stop_loss,24,20,60,10,1.6,1.3,10
long,3542,3551,2026-02-25 16:30:00+00:00,2026-02-25 18:45:00+00:00,5203.15,5199.26,-3.889999999999418,10,timeout,24,20,60,10,1.6,1.3,10
short,3616,3617,2026-02-26 12:00:00+00:00,2026-02-26 12:15:00+00:00,5165.05,5175.3265,-10.276499999999942,2,stop_loss,24,20,60,10,1.6,1.3,10
long,3649,3654,2026-02-26 20:15:00+00:00,2026-02-26 21:30:00+00:00,5197.18,5183.9785,-13.201500000000124,6,stop_loss,24,20,60,10,1.6,1.3,10
long,3713,3713,2026-02-27 13:15:00+00:00,2026-02-27 13:15:00+00:00,5213.93,5226.3892000000005,12.459200000000237,1,take_profit,24,20,60,10,1.6,1.3,10
long,3725,3725,2026-02-27 16:15:00+00:00,2026-02-27 16:15:00+00:00,5254.4,5232.1660999999995,-22.233900000000176,1,stop_loss,24,20,60,10,1.6,1.3,10
long,3778,3780,2026-03-02 06:30:00+00:00,2026-03-02 07:00:00+00:00,5381.57,5400.7044,19.134399999999914,3,take_profit,24,20,60,10,1.6,1.3,10
long,3782,3787,2026-03-02 07:30:00+00:00,2026-03-02 08:45:00+00:00,5408.6,5391.533600000001,-17.066399999999703,6,stop_loss,24,20,60,10,1.6,1.3,10
short,3882,3882,2026-03-03 09:30:00+00:00,2026-03-03 09:30:00+00:00,5241.83,5269.7748,-27.944800000000214,1,stop_loss,24,20,60,10,1.6,1.3,10
short,3889,3889,2026-03-03 11:15:00+00:00,2026-03-03 11:15:00+00:00,5197.54,5139.4152,58.124799999999595,1,take_profit,24,20,60,10,1.6,1.3,10
long,3977,3978,2026-03-04 10:15:00+00:00,2026-03-04 10:30:00+00:00,5199.09,5179.284500000001,-19.805499999999483,2,stop_loss,24,20,60,10,1.6,1.3,10
short,4082,4086,2026-03-05 13:30:00+00:00,2026-03-05 14:30:00+00:00,5118.98,5093.86,25.11999999999989,5,take_profit,24,20,60,10,1.6,1.3,10
short,4160,4167,2026-03-06 10:00:00+00:00,2026-03-06 11:45:00+00:00,5086.26,5066.2984,19.961600000000544,8,take_profit,24,20,60,10,1.6,1.3,10
long,4182,4191,2026-03-06 15:30:00+00:00,2026-03-06 17:45:00+00:00,5162.05,5139.97,-22.079999999999927,10,timeout,24,20,60,10,1.6,1.3,10
short,4271,4274,2026-03-09 13:45:00+00:00,2026-03-09 14:30:00+00:00,5075.99,5094.9765,-18.986499999999978,4,stop_loss,24,20,60,10,1.6,1.3,10
long,4292,4293,2026-03-09 19:00:00+00:00,2026-03-09 19:15:00+00:00,5123.69,5139.0404,15.350400000000263,2,take_profit,24,20,60,10,1.6,1.3,10
long,4343,4348,2026-03-10 08:45:00+00:00,2026-03-10 10:00:00+00:00,5190.59,5178.0814,-12.508600000000115,6,stop_loss,24,20,60,10,1.6,1.3,10
long,4361,4361,2026-03-10 13:15:00+00:00,2026-03-10 13:15:00+00:00,5201.1,5219.909600000001,18.8096000000005,1,take_profit,24,20,60,10,1.6,1.3,10
long,4371,4380,2026-03-10 15:45:00+00:00,2026-03-10 18:00:00+00:00,5236.21,5216.08,-20.13000000000011,10,timeout,24,20,60,10,1.6,1.3,10
short,4452,4456,2026-03-11 13:00:00+00:00,2026-03-11 14:00:00+00:00,5167.44,5184.808,-17.368000000000393,5,stop_loss,24,20,60,10,1.6,1.3,10
short,4553,4562,2026-03-12 15:15:00+00:00,2026-03-12 17:30:00+00:00,5124.69,5111.36,13.329999999999927,10,timeout,24,20,60,10,1.6,1.3,10
short,4567,4568,2026-03-12 18:45:00+00:00,2026-03-12 19:00:00+00:00,5098.62,5081.7576,16.86239999999998,2,take_profit,24,20,60,10,1.6,1.3,10
short,4574,4576,2026-03-12 20:30:00+00:00,2026-03-12 22:00:00+00:00,5071.81,5086.2569,-14.446899999999914,3,stop_loss,24,20,60,10,1.6,1.3,10
short,4610,4613,2026-03-13 06:30:00+00:00,2026-03-13 07:15:00+00:00,5095.43,5082.5548,12.875200000000405,4,take_profit,24,20,60,10,1.6,1.3,10
short,4644,4644,2026-03-13 15:00:00+00:00,2026-03-13 15:00:00+00:00,5041.45,5062.5984,-21.148400000000038,1,stop_loss,24,20,60,10,1.6,1.3,10
short,4648,4654,2026-03-13 16:00:00+00:00,2026-03-13 17:30:00+00:00,5034.62,5063.7023,-29.082300000000032,7,stop_loss,24,20,60,10,1.6,1.3,10
