signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl
11577,2026-03-26T20:17:00+00:00,2026-03-26T20:17:00+00:00,2026-03-26T20:57:00+00:00,0,down,4386.13,4380.65,5.480000000000473
12071,2026-03-27T15:55:00+00:00,2026-03-27T15:55:00+00:00,2026-03-27T16:35:00+00:00,2,up,4522.31,4515.18,-7.130000000000109
12366,2026-03-29T22:21:00+00:00,2026-03-29T22:21:00+00:00,2026-03-29T23:01:00+00:00,0,down,4507.75,4491.1,16.649999999999636
12488,2026-03-30T00:23:00+00:00,2026-03-30T00:23:00+00:00,2026-03-30T01:03:00+00:00,0,down,4458.1,4444.32,13.780000000000655
13141,2026-03-31T02:46:00+00:00,2026-03-31T02:46:00+00:00,2026-03-31T03:26:00+00:00,2,up,4579.87,4562.64,-17.229999999999563
13346,2026-03-31T16:41:00+00:00,2026-03-31T16:41:00+00:00,2026-03-31T17:21:00+00:00,2,up,4647.89,4649.08,1.1899999999995998
14113,2026-04-02T01:30:00+00:00,2026-04-02T01:30:00+00:00,2026-04-02T02:10:00+00:00,2,up,4685.69,4695.32,9.63000000000011
14154,2026-04-02T02:11:00+00:00,2026-04-02T02:11:00+00:00,2026-04-02T02:51:00+00:00,2,up,4679.15,4673.23,-5.920000000000073
14369,2026-04-02T05:46:00+00:00,2026-04-02T05:46:00+00:00,2026-04-02T06:26:00+00:00,2,up,4617.12,4583.33,-33.789999999999964
14411,2026-04-02T06:28:00+00:00,2026-04-02T06:28:00+00:00,2026-04-02T07:08:00+00:00,2,up,4588.68,4609.64,20.960000000000036
14480,2026-04-02T15:37:00+00:00,2026-04-02T15:37:00+00:00,2026-04-02T16:17:00+00:00,2,up,4674.6,4653.56,-21.039999999999964
15763,2026-04-07T22:38:00+00:00,2026-04-07T22:38:00+00:00,2026-04-07T23:18:00+00:00,2,up,4764.68,4816.38,51.69999999999982
15822,2026-04-07T23:37:00+00:00,2026-04-07T23:37:00+00:00,2026-04-08T00:17:00+00:00,0,down,4812.42,4832.27,-19.850000000000364
