run_id,window,horizon,trend_threshold,long_target_threshold,short_target_threshold,long_adverse_limit,short_adverse_limit,min_15m_drop,min_15m_rise,max_flat_ratio,stage1_min_prob,stage2_min_prob,model_source,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.52_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.52,0.5,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5,0,6.21,OK,1510,73,4569.29999999998,3.026026490066212,62.59315068493124,73.97260273972603,0.6985952652335676,0.5306029190154602,5839.628946412701
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.52_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.52,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.5,0,6.84,OK,1299,69,4526.90999999998,3.4849191685912086,65.60739130434753,76.81159420289855,0.6638060378032374,0.5387902695595004,5833.816211588466
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.52_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.52,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.5,0,6.86,OK,1299,69,4526.90999999998,3.4849191685912086,65.60739130434753,76.81159420289855,0.6638060378032374,0.5387902695595004,5833.816211588466
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3_p10.55_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.0,0.55,0.5,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3_p10.48_p20.5,0,5.2,OK,1181,69,4570.019999999998,3.869618966977136,66.23217391304344,72.46376811594203,0.6549163495972626,0.5388589471951948,5833.516628354612
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.55_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.0,0.55,0.5,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.48_p20.5,0,7.25,OK,1181,69,4570.019999999998,3.869618966977136,66.23217391304344,72.46376811594203,0.6549163495972626,0.5388589471951948,5833.516628354612
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.55_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.55,0.5,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.5,0,5.36,OK,1271,70,4470.629999999979,3.5174114870180797,63.86614285714256,75.71428571428571,0.6650353223743943,0.5361913840522958,5763.964241195132
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.55_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.55,0.5,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.5,0,6.06,OK,1271,70,4470.629999999979,3.5174114870180797,63.86614285714256,75.71428571428571,0.6650353223743943,0.5361913840522958,5763.964241195132
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3_p10.48_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.0,0.48,0.5,trained,0,38.39,OK,1258,69,4462.989999999997,3.547686804451508,64.68101449275358,75.36231884057972,0.6618845021167572,0.5341611425140952,5750.7743309198895
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.48_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.0,0.48,0.5,trained,0,46.28,OK,1258,69,4462.989999999997,3.547686804451508,64.68101449275358,75.36231884057972,0.6618845021167572,0.5341611425140952,5750.7743309198895
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3_p10.55_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.0,0.55,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3_p10.48_p20.5,0,6.2,OK,1158,68,4482.279999999996,3.8707081174438653,65.91588235294113,72.05882352941177,0.651046884246434,0.540642290490521,5743.510525784635
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.55_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.0,0.55,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.48_p20.5,0,6.05,OK,1158,68,4482.279999999996,3.8707081174438653,65.91588235294113,72.05882352941177,0.651046884246434,0.540642290490521,5743.510525784635
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.48,0.5,trained,0,52.52,OK,1387,70,4478.149999999991,3.2286589762076363,63.973571428571304,72.85714285714285,0.6732194343500055,0.5318044334002859,5738.525861971706
