ts,pred,side,entry,exit,pnl
2026-03-05T15:39:00+00:00,0,down,5084.25,5078.56,5.6899999999996
2026-03-05T15:40:00+00:00,0,down,5083.78,5077.01,6.769999999999527
2026-03-06T15:11:00+00:00,0,down,5147.01,5140.48,6.530000000000655
2026-03-06T15:14:00+00:00,0,down,5149.19,5142.71,6.479999999999563
2026-03-08T22:10:00+00:00,2,up,5167.02,5107.06,-59.960000000000036
2026-03-09T00:22:00+00:00,0,down,5050.98,5038.42,12.55999999999949
2026-03-09T00:48:00+00:00,0,down,5045.44,5073.13,-27.69000000000051
2026-03-09T02:08:00+00:00,0,down,5079.15,5092.73,-13.579999999999927
2026-03-19T15:00:00+00:00,0,down,4601.9,4579.33,22.56999999999971
2026-03-19T15:02:00+00:00,0,down,4603.87,4572.53,31.340000000000146
2026-03-19T15:03:00+00:00,0,down,4605.86,4576.27,29.589999999999236
2026-03-19T15:04:00+00:00,0,down,4615.55,4571.94,43.61000000000058
2026-03-19T15:05:00+00:00,0,down,4630.16,4573.22,56.9399999999996
2026-03-19T15:06:00+00:00,0,down,4632.94,4569.61,63.32999999999993
2026-03-19T15:07:00+00:00,0,down,4621.45,4571.4,50.05000000000018
2026-03-19T15:09:00+00:00,0,down,4617.62,4583.91,33.710000000000036
2026-03-19T15:12:00+00:00,2,up,4616.95,4588.0,-28.949999999999818
2026-03-19T15:22:00+00:00,2,up,4610.17,4614.25,4.079999999999927
2026-03-19T15:23:00+00:00,2,up,4610.98,4617.0,6.020000000000437
2026-03-19T15:27:00+00:00,2,up,4604.62,4624.92,20.300000000000182
2026-03-19T15:28:00+00:00,2,up,4603.81,4622.01,18.199999999999818
2026-03-19T15:29:00+00:00,2,up,4603.56,4616.62,13.05999999999949
2026-03-19T15:34:00+00:00,2,up,4579.76,4605.28,25.519999999999527
2026-03-19T15:45:00+00:00,0,down,4573.22,4607.56,-34.340000000000146
2026-03-19T16:21:00+00:00,0,down,4613.33,4584.18,29.149999999999636
2026-03-19T16:22:00+00:00,0,down,4609.98,4591.07,18.909999999999854
2026-03-19T16:23:00+00:00,0,down,4606.49,4591.94,14.550000000000182
2026-03-19T16:24:00+00:00,0,down,4609.13,4591.36,17.770000000000437
2026-03-19T16:25:00+00:00,0,down,4607.56,4595.14,12.420000000000073
2026-03-19T16:27:00+00:00,0,down,4602.03,4588.75,13.279999999999745
2026-03-19T16:33:00+00:00,0,down,4595.33,4578.24,17.090000000000146
2026-03-19T16:35:00+00:00,2,up,4585.49,4575.85,-9.639999999999418
2026-03-19T16:36:00+00:00,2,up,4588.92,4580.81,-8.109999999999673
2026-03-19T16:37:00+00:00,2,up,4588.26,4584.12,-4.140000000000327
2026-03-19T17:03:00+00:00,0,down,4591.94,4605.5,-13.5600000000004
2026-03-19T17:06:00+00:00,0,down,4591.35,4611.65,-20.299999999999272
2026-03-19T17:16:00+00:00,0,down,4580.81,4618.6,-37.789999999999964
2026-03-19T17:19:00+00:00,0,down,4597.34,4616.28,-18.9399999999996
2026-03-19T17:22:00+00:00,0,down,4605.4,4606.79,-1.3900000000003274
2026-03-19T17:24:00+00:00,0,down,4610.73,4610.81,-0.08000000000083674
2026-03-19T17:27:00+00:00,0,down,4606.34,4607.03,-0.6899999999995998
2026-03-19T17:28:00+00:00,0,down,4602.25,4608.86,-6.609999999999673
2026-03-19T17:30:00+00:00,0,down,4612.95,4614.47,-1.5200000000004366
2026-03-19T17:31:00+00:00,0,down,4616.56,4611.57,4.990000000000691
2026-03-19T17:32:00+00:00,0,down,4613.38,4614.11,-0.7299999999995634
2026-03-19T17:34:00+00:00,0,down,4606.41,4615.02,-8.610000000000582
2026-03-19T17:39:00+00:00,0,down,4606.21,4609.2,-2.9899999999997817
2026-03-19T17:40:00+00:00,0,down,4604.9,4607.58,-2.680000000000291
2026-03-19T17:41:00+00:00,0,down,4609.24,4610.57,-1.3299999999999272
2026-03-19T17:42:00+00:00,0,down,4605.23,4609.71,-4.480000000000473
2026-03-19T17:54:00+00:00,2,up,4624.92,4603.58,-21.340000000000146
2026-03-19T17:58:00+00:00,2,up,4615.78,4605.25,-10.529999999999745
2026-03-19T18:55:00+00:00,2,up,4606.88,4633.98,27.099999999999454
