os,warm,ob,cool,slk,ros,rob,n,eh,tpx,slx,rr,pt,nt,pnl,wr,dd
0,-30,-60,-10,0,20,15,74306,480,0.7,0.2,3.4999999999999996,0.45,148,327.39629338447867,31.08108108108108,-113.59327457446807
0,-30,-60,-10,0,15,15,74306,480,0.7,0.2,3.4999999999999996,0.45,148,327.39629338447867,31.08108108108108,-113.59327457446807
-5,-30,-60,-10,0,15,15,74306,480,0.7,0.2,3.4999999999999996,0.45,148,327.39629338447867,31.08108108108108,-113.59327457446807
0,-30,-60,-10,0,20,10,73983,360,0.55,0.4,1.375,0.45,85,321.3646266700325,48.23529411764706,-155.46276643953206
-5,-30,-60,-10,0,20,15,74306,360,0.45,0.2,2.25,0.45,126,319.97150477707646,37.301587301587304,-192.54293816206246
-5,-30,-60,-10,0,15,15,74306,360,0.45,0.2,2.25,0.45,126,319.97150477707646,37.301587301587304,-192.54293816206246
0,-30,-60,-10,0,15,15,74306,360,0.45,0.2,2.25,0.45,126,319.97150477707646,37.301587301587304,-192.54293816206246
0,-30,-60,-10,0,20,15,74306,360,0.45,0.2,2.25,0.45,126,319.97150477707646,37.301587301587304,-192.54293816206246
0,-30,-60,-10,0,20,10,73983,480,0.7,0.4,1.7499999999999998,0.45,108,318.916878791244,47.22222222222222,-174.80922764720071
-5,-30,-60,-10,0,15,15,74306,360,0.55,0.35,1.5714285714285716,0.4,92,317.1745879773498,45.65217391304348,-134.12173289003113
0,-30,-60,-10,0,20,15,74306,360,0.55,0.35,1.5714285714285716,0.4,92,317.1745879773498,45.65217391304348,-134.12173289003113
-5,-30,-60,-10,0,20,15,74306,360,0.55,0.35,1.5714285714285716,0.4,92,317.1745879773498,45.65217391304348,-134.12173289003113
0,-30,-60,-10,0,15,15,74306,360,0.55,0.35,1.5714285714285716,0.4,92,317.1745879773498,45.65217391304348,-134.12173289003113
0,-30,-60,-10,0,15,15,74306,360,0.45,0.25,1.8,0.45,117,315.8783665376768,42.73504273504273,-188.6819340310867
-5,-30,-60,-10,0,20,15,74306,360,0.45,0.25,1.8,0.45,117,315.8783665376768,42.73504273504273,-188.6819340310867
-5,-30,-60,-10,0,15,15,74306,360,0.45,0.25,1.8,0.45,117,315.8783665376768,42.73504273504273,-188.6819340310867
0,-30,-60,-10,0,20,15,74306,360,0.45,0.25,1.8,0.45,117,315.8783665376768,42.73504273504273,-188.6819340310867
0,-30,-60,-10,0,20,15,74306,480,0.5,0.35,1.4285714285714286,0.4,151,314.28974663095096,48.34437086092716,-254.25542792449687
-5,-30,-60,-10,0,15,15,74306,480,0.5,0.35,1.4285714285714286,0.4,151,314.28974663095096,48.34437086092716,-254.25542792449687
0,-30,-60,-10,0,15,15,74306,480,0.5,0.35,1.4285714285714286,0.4,151,314.28974663095096,48.34437086092716,-254.25542792449687
-5,-30,-60,-10,0,20,15,74306,480,0.5,0.35,1.4285714285714286,0.4,151,314.28974663095096,48.34437086092716,-254.25542792449687
0,-30,-60,-10,0,20,10,73983,360,0.45,0.2,2.25,0.4,141,313.8919142403888,35.46099290780142,-165.73141038890844
0,-30,-60,-10,0,20,10,73983,360,0.55,0.35,1.5714285714285716,0.4,91,312.60823012445917,46.15384615384615,-158.07205082970086
-5,-30,-60,-10,0,15,15,74306,480,0.7,0.25,2.8,0.45,134,308.88057631729134,35.82089552238806,-134.12039144594564
0,-30,-60,-10,0,15,15,74306,480,0.7,0.25,2.8,0.45,134,308.88057631729134,35.82089552238806,-134.12039144594564
0,-30,-60,-10,0,20,15,74306,480,0.7,0.25,2.8,0.45,134,308.88057631729134,35.82089552238806,-134.12039144594564
-5,-30,-60,-10,0,20,15,74306,480,0.7,0.25,2.8,0.45,134,308.88057631729134,35.82089552238806,-134.12039144594564
-5,-30,-60,-10,0,15,15,74306,480,0.7,0.25,2.8,0.4,138,306.08115358041687,36.231884057971016,-161.57219534595652
