entry_time,exit_time,pnl,side,source,matched_pattern,pattern,exit_reason,entry_price,exit_price
2024-10-03 09:45:00+00:00,2024-10-03 10:00:00+00:00,30.0,1,ret,,ret,tp,7113.3,7143.3
2024-10-03 10:00:00+00:00,2024-10-03 11:00:00+00:00,30.0,1,long_retrace,,long_ret,tp,7135.7,7165.7
2024-10-03 12:30:00+00:00,2024-10-03 13:00:00+00:00,30.0,1,long_retrace,,long_ret,tp,7143.0,7173.0
2024-10-03 14:22:00+00:00,2024-10-03 15:52:00+00:00,-4.600000000000364,-1,short_impulse,,si,timeout,,
2024-10-03 16:00:00+00:00,2024-10-03 16:30:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7312.7,7327.7
2024-10-04 12:45:00+00:00,2024-10-04 13:00:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7402.2,7387.2
2024-10-04 13:30:00+00:00,2024-10-04 14:00:00+00:00,30.0,1,ret,,ret,tp,7385.9,7415.9
2024-10-04 14:00:00+00:00,2024-10-04 14:30:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7415.3,7400.3
2024-10-04 14:45:00+00:00,2024-10-04 15:00:00+00:00,30.0,1,ret,,ret,tp,7403.6,7433.6
2024-10-04 15:15:00+00:00,2024-10-04 15:30:00+00:00,30.0,1,ret,,ret,tp,7404.4,7434.4
2024-10-07 07:30:00+00:00,2024-10-07 08:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7478.9,7493.9
2024-10-07 09:15:00+00:00,2024-10-07 09:45:00+00:00,30.0,-1,ret_short,,ret_short,tp,7573.6,7543.6
2024-10-07 13:00:00+00:00,2024-10-07 18:30:00+00:00,174.60000000000036,1,wr90,,wr90,ny_close,7512.4,7687.0
2024-10-08 08:30:00+00:00,2024-10-08 08:45:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7529.7,7514.7
2024-10-08 15:30:00+00:00,2024-10-08 15:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7328.5,7343.5
2024-10-09 07:45:00+00:00,2024-10-09 08:00:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7372.3,7357.3
