tp,sl,horizon,n,wr,avg_pnl,net_pnl,gross_profit,gross_loss,profit_factor,expectancy
25,25,90,1150,0.48782608695652174,-0.11095652173912403,-127.59999999999263,11197.900000000005,11325.499999999998,0.9887333892543382,-0.11095652173912403
25,30,30,1180,0.5127118644067796,0.0026525423728918536,3.1300000000123873,10206.820000000007,10203.689999999995,1.0003067517731343,0.0026525423728918536
25,30,45,1129,0.5101860053144376,0.1293799822852236,146.07000000001744,10377.890000000003,10231.819999999985,1.0142760525497925,0.1293799822852236
25,30,60,1104,0.5217391304347826,0.17662137681160306,194.9900000000098,10708.080000000005,10513.089999999995,1.0185473538227117,0.17662137681160306
25,30,90,1088,0.5147058823529411,0.06401654411765383,69.65000000000737,11037.320000000007,10967.669999999998,1.0063504828281675,0.06401654411765383
30,8,30,1803,0.2895174708818636,-0.4206821963394283,-758.4899999999893,9229.890000000005,9988.379999999994,0.9240627609281996,-0.4206821963394283
30,8,45,1766,0.2757644394110985,-0.33148924122309553,-585.4099999999867,9404.890000000007,9990.299999999992,0.9414021600952939,-0.33148924122309553
30,8,60,1750,0.26971428571428574,-0.30703428571427815,-537.3099999999868,9500.060000000009,10037.369999999995,0.9464690451781704,-0.30703428571427815
30,8,90,1733,0.257934218118869,-0.24616849394114,-426.6099999999956,9693.770000000004,10120.380000000001,0.9578464445010961,-0.24616849394114
30,10,30,1634,0.33598531211750304,-0.35536107711137965,-580.6599999999944,9698.310000000005,10278.969999999998,0.9435099042024646,-0.35536107711137965
30,10,45,1591,0.31866750471401634,-0.29297925832808874,-466.1299999999892,9852.240000000005,10318.369999999995,0.9548252291786405,-0.29297925832808874
30,10,60,1574,0.31639135959339265,-0.2066391359593332,-325.24999999999045,10066.340000000007,10391.589999999998,0.9687006511996729,-0.2066391359593332
30,10,90,1563,0.30646193218170187,-0.12663467690338995,-197.92999999999847,10316.930000000002,10514.86,0.9811761640193023,-0.12663467690338995
30,12,30,1529,0.37148463047743624,-0.33518639633746955,-512.4999999999909,10033.560000000007,10546.059999999998,0.9514036521696263,-0.33518639633746955
30,12,45,1486,0.35397039030955585,-0.27271870794076913,-405.25999999998294,10283.390000000007,10688.64999999999,0.9620850154135476,-0.27271870794076913
30,12,60,1469,0.3526208304969367,-0.1563580667120404,-229.68999999998732,10544.360000000011,10774.05,0.9786811830277391,-0.1563580667120404
30,12,90,1458,0.3429355281207133,-0.11362825788751159,-165.6699999999919,10804.610000000008,10970.279999999999,0.9848982888312795,-0.11362825788751159
30,15,30,1400,0.4135714285714286,-0.260821428571428,-365.1499999999992,10197.850000000002,10563.000000000004,0.9654312221906654,-0.260821428571428
30,15,45,1356,0.4004424778761062,-0.13335545722713357,-180.8299999999931,10467.820000000002,10648.649999999994,0.9830185046930838,-0.13335545722713357
30,15,60,1330,0.39924812030075185,-0.0773082706766898,-102.81999999999744,10665.400000000001,10768.220000000001,0.9904515323795391,-0.0773082706766898
30,15,90,1325,0.38943396226415095,-0.11791698113207531,-156.23999999999978,10998.290000000005,11154.530000000002,0.9859931346278151,-0.11791698113207531
30,20,30,1282,0.46177847113884557,0.02898595943838416,37.160000000008495,10365.260000000007,10328.099999999999,1.0035979512204576,0.02898595943838416
30,20,45,1233,0.44849959448499593,-0.030316301703153147,-37.37999999998783,10522.340000000004,10559.719999999994,0.9964601334126293,-0.030316301703153147
30,20,60,1214,0.45304777594728174,0.012273476112032052,14.900000000006912,10834.630000000008,10819.73,1.0013771138466494,0.012273476112032052
30,20,90,1199,0.4470391993327773,-0.05059216013344214,-60.659999999997126,11144.160000000003,11204.820000000002,0.99458625841379,-0.05059216013344214
30,25,30,1195,0.48535564853556484,-0.07882008368199853,-94.18999999998823,10109.990000000007,10204.179999999995,0.9907694689823202,-0.07882008368199853
30,25,45,1145,0.4698689956331878,-0.04230567685588253,-48.4399999999855,10261.490000000002,10309.92999999999,0.9953016169847916,-0.04230567685588253
30,25,60,1128,0.48404255319148937,-0.010682624113467275,-12.049999999991087,10627.810000000005,10639.859999999995,0.9988674663012492,-0.010682624113467275
30,25,90,1111,0.47884788478847884,-0.11907290729072495,-132.28999999999542,10946.430000000004,11078.720000000001,0.9880590898587565,-0.11907290729072495
30,30,30,1144,0.5034965034965035,-0.012115384615374392,-13.859999999988304,9942.830000000007,9956.689999999995,0.9986079711229346,-0.012115384615374392
30,30,45,1093,0.5004574565416285,0.1836870997255427,200.77000000001817,10198.560000000005,9997.789999999986,1.0200814379977994,0.1836870997255427
30,30,60,1068,0.5121722846441947,0.24989700374532803,266.89000000001033,10530.410000000007,10263.519999999997,1.0260037492010547,0.24989700374532803
30,30,90,1051,0.5042816365366318,0.060057088487159314,63.12000000000444,10806.550000000005,10743.43,1.0058752186219861,0.060057088487159314
35,8,30,1779,0.28780213603147836,-0.4636424957841408,-824.8199999999865,9058.920000000007,9883.739999999994,0.9165477845430994,-0.4636424957841408
35,8,45,1736,0.27419354838709675,-0.37937788018432284,-658.5999999999844,9187.060000000009,9845.659999999993,0.9331075824271827,-0.37937788018432284
35,8,60,1718,0.2671711292200233,-0.3582479627473697,-615.4699999999812,9277.260000000017,9892.729999999996,0.9377856264145509,-0.3582479627473697
35,8,90,1701,0.2551440329218107,-0.3113697824808887,-529.6399999999917,9446.100000000008,9975.74,0.9469071968595821,-0.3113697824808887
35,10,30,1608,0.3345771144278607,-0.3655348258706415,-587.7799999999916,9535.550000000007,10123.329999999998,0.9419380776878763,-0.3655348258706415
35,10,45,1561,0.3171044202434337,-0.305099295323502,-476.2599999999866,9652.750000000007,10129.009999999995,0.9529805973140526,-0.305099295323502
35,10,60,1541,0.3147306943543154,-0.210687865022704,-324.6699999999869,9863.830000000013,10188.499999999998,0.9681336801295592,-0.210687865022704
35,10,90,1525,0.30491803278688523,-0.13669508196720956,-208.45999999999458,10063.310000000005,10271.77,0.9797055424722326,-0.13669508196720956
35,12,30,1505,0.3707641196013289,-0.29130897009965934,-438.41999999998734,9917.090000000011,10355.509999999997,0.9576631184750933,-0.29130897009965934
35,12,45,1458,0.3532235939643347,-0.23996570644717413,-349.8699999999799,10119.48000000001,10469.349999999991,0.9665814974186572,-0.23996570644717413
35,12,60,1438,0.3518776077885953,-0.11143949930457864,-160.24999999998408,10381.480000000014,10541.729999999998,0.9847985103014416,-0.11143949930457864
35,12,90,1422,0.34247538677918427,-0.0903938115330437,-128.53999999998814,10568.59000000001,10697.129999999997,0.9879836928222815,-0.0903938115330437
35,15,30,1376,0.41424418604651164,-0.19096656976743986,-262.76999999999725,10080.400000000005,10343.170000000002,0.9745948292448063,-0.19096656976743986
35,15,45,1328,0.401355421686747,-0.06347138554216214,-84.28999999999132,10303.150000000005,10387.439999999995,0.9918853923584646,-0.06347138554216214
35,15,60,1300,0.4,-0.007938461538457467,-10.319999999994707,10495.670000000006,10505.99,0.9990177032340604,-0.007938461538457467
35,15,90,1292,0.39009287925696595,-0.08394736842105055,-108.45999999999731,10764.010000000006,10872.470000000001,0.9900243458938037,-0.08394736842105055
35,20,30,1258,0.4610492845786963,0.08779809220986509,110.45000000001028,10204.080000000009,10093.63,1.010942544951619,0.08779809220986509
35,20,45,1207,0.44739022369511183,0.012170671085346137,14.690000000012787,10333.680000000008,10318.989999999994,1.0014235889365155,0.012170671085346137
35,20,60,1186,0.45193929173693087,0.06871838111299249,81.5000000000091,10647.52000000001,10566.02,1.0077134058046464,0.06871838111299249
35,20,90,1166,0.4468267581475129,0.015377358490570188,17.93000000000484,10911.060000000005,10893.130000000001,1.0016459915561462,0.015377358490570188
35,25,30,1171,0.48334756618274977,-0.054756618274965745,-64.11999999998488,9893.62000000001,9957.739999999994,0.9935607878896231,-0.054756618274965745
35,25,45,1119,0.4682752457551385,-0.028963360142970455,-32.40999999998394,10022.980000000007,10055.38999999999,0.9967768530111728,-0.028963360142970455
35,25,60,1100,0.4827272727272727,0.025427272727283706,27.970000000012078,10387.740000000007,10359.769999999995,1.002699866888938,0.025427272727283706
35,25,90,1078,0.47680890538033394,-0.07639146567717355,-82.34999999999309,10700.940000000006,10783.289999999999,0.9923631841488086,-0.07639146567717355
35,30,30,1122,0.5008912655971479,0.0009447415329897481,1.0600000000144973,9729.69000000001,9728.629999999997,1.0001089567595862,0.0009447415329897481
35,30,45,1068,0.49812734082397003,0.1936235955056354,206.7900000000186,9965.040000000008,9758.249999999989,1.0211912996695125,0.1936235955056354
35,30,60,1041,0.5100864553314121,0.2796829971181675,291.15000000001237,10284.590000000007,9993.439999999995,1.0291341119774584,0.2796829971181675
35,30,90,1019,0.5014720314033366,0.10099116781158608,102.91000000000622,10560.910000000005,10458.0,1.0098403136354948,0.10099116781158608
40,8,30,1761,0.2890403180011357,-0.37268597387847074,-656.299999999987,9107.440000000006,9763.739999999994,0.9327819052944887,-0.37268597387847074
40,8,45,1718,0.27532013969732244,-0.28246798603025886,-485.27999999998474,9240.380000000008,9725.659999999993,0.9501031292477853,-0.28246798603025886
40,8,60,1700,0.26823529411764707,-0.2539352941176356,-431.6899999999805,9341.040000000015,9772.729999999996,0.9558270820947697,-0.2539352941176356
40,8,90,1683,0.2560903149138443,-0.179572192513364,-302.2199999999916,9553.520000000008,9855.74,0.9693356358832526,-0.179572192513364
