eh,tpx,slx,rr,pt,nt,pnl,wr,dd
480,0.5,0.25,2.0,0.55,121,497.0394615791838,42.97520661157025,-391.6518028104788
240,0.65,0.2,3.25,0.5,25,493.38632318522514,48.0,-52.362864651913696
360,0.5,0.3,1.6666666666666667,0.5,125,492.8307283187496,44.800000000000004,-343.5781970710332
240,0.6,0.35,1.7142857142857144,0.55,37,492.6986570652916,43.24324324324324,-120.34000000000015
360,0.55,0.35,1.5714285714285716,0.5,113,490.42157145715373,47.78761061946903,-366.2480487551711
480,0.55,0.25,2.2,0.45,167,488.96411574711556,38.32335329341318,-507.0018122749675
240,0.65,0.3,2.166666666666667,0.45,44,488.8626613124711,47.72727272727273,-175.58054454649118
360,0.55,0.15,3.666666666666667,0.4,138,486.1652726340458,34.05797101449276,-249.57051412379224
480,0.7,0.3,2.3333333333333335,0.55,58,481.9569792029997,48.275862068965516,-328.1523478045988
240,0.65,0.2,3.25,0.45,37,480.53595521658235,43.24324324324324,-101.40277801037519
480,0.6,0.2,2.9999999999999996,0.45,116,480.0208070995359,37.93103448275862,-340.74362417435714
240,0.6,0.2,2.9999999999999996,0.4,61,475.62174696898774,49.18032786885246,-132.4103904947242
480,0.6,0.3,2.0,0.4,162,475.5474105432122,43.20987654320987,-755.2156926546822
480,0.7,0.3,2.3333333333333335,0.5,68,473.8176649080315,48.529411764705884,-378.03736512169735
360,0.65,0.3,2.166666666666667,0.5,67,472.5545396231305,44.776119402985074,-253.8364898578434
240,0.6,0.4,1.4999999999999998,0.5,46,470.8034621412203,45.65217391304348,-115.32000000000062
480,0.55,0.3,1.8333333333333335,0.4,198,468.72572215327773,40.909090909090914,-719.3331582987089
480,0.6,0.35,1.7142857142857144,0.55,82,465.25661205292226,47.5609756097561,-313.14253432176974
480,0.55,0.4,1.375,0.4,203,464.0441851527353,45.320197044334975,-727.5863037228419
480,0.5,0.35,1.4285714285714286,0.55,131,461.7081355558148,48.091603053435115,-275.5174949042671
360,0.75,0.25,3.0,0.4,42,460.6453889348418,42.857142857142854,-289.787207011565
360,0.6,0.4,1.4999999999999998,0.45,106,459.35326693082334,52.83018867924528,-592.7093157033637
240,0.6,0.35,1.7142857142857144,0.4,71,454.5102451466796,46.478873239436616,-235.0556465574773
480,0.6,0.2,2.9999999999999996,0.4,141,452.2053122534476,36.17021276595745,-393.16238197099347
240,0.65,0.3,2.166666666666667,0.55,20,451.54134519544914,60.0,-56.62227224666367
240,0.65,0.2,3.25,0.55,21,450.21226494685607,52.38095238095239,-52.362864651913696
