side,signal_ts,entry_time,entry_price,stop,target,timeout,tp,sl,horizon,target_updates,stop_updates,exit_time,exit_price,exit_reason,pnl,win,minute_in_15m,slot_rip_pts,prev_15m_body,month,hour_lon
-1,2025-11-14 16:17:00+00:00,2025-11-14 16:18:00+00:00,4089.55,4124.55,4039.55,2025-11-14 18:04:00+00:00,50.0,35.0,60,9,0,2025-11-14 18:04:00+00:00,4089.54,timeout,0.010000000000218279,True,2,6.479999999999563,9.819999999999709,2025-11,16
-1,2025-11-17 08:07:00+00:00,2025-11-17 08:08:00+00:00,4093.53,4128.530000000001,4043.53,2025-11-17 09:09:00+00:00,50.0,35.0,60,2,0,2025-11-17 09:09:00+00:00,4078.93,timeout,14.600000000000364,True,7,5.75,4.5,2025-11,8
-1,2025-11-17 10:03:00+00:00,2025-11-17 10:04:00+00:00,4088.05,4123.05,4038.05,2025-11-17 11:04:00+00:00,50.0,35.0,60,0,0,2025-11-17 11:04:00+00:00,4063.56,timeout,24.490000000000236,True,3,5.239999999999782,2.1400000000003274,2025-11,10
-1,2025-11-17 11:34:00+00:00,2025-11-17 11:35:00+00:00,4072.66,4107.66,4022.66,2025-11-17 12:39:00+00:00,50.0,35.0,60,5,0,2025-11-17 12:39:00+00:00,4082.9,timeout,-10.240000000000236,False,4,5.729999999999563,3.2199999999998,2025-11,11
-1,2025-11-17 14:34:00+00:00,2025-11-17 14:35:00+00:00,4074.92,4109.92,4024.71,2025-11-17 15:39:00+00:00,50.0,35.0,60,5,0,2025-11-17 15:39:00+00:00,4074.41,timeout,0.5100000000002183,True,4,6.1899999999996,7.710000000000036,2025-11,14
-1,2025-11-17 20:50:00+00:00,2025-11-17 20:51:00+00:00,4036.57,4071.57,3985.6800000000003,2025-11-17 21:54:00+00:00,50.0,35.0,60,4,0,2025-11-17 21:54:00+00:00,4045.23,timeout,-8.659999999999854,False,5,6.319999999999709,6.470000000000255,2025-11,20
-1,2025-11-18 08:04:00+00:00,2025-11-18 08:05:00+00:00,4018.76,4053.76,3968.76,2025-11-18 09:39:00+00:00,50.0,35.0,60,13,0,2025-11-18 09:39:00+00:00,4035.32,timeout,-16.559999999999945,False,4,7.419999999999618,7.589999999999691,2025-11,8
-1,2025-11-18 13:03:00+00:00,2025-11-18 13:04:00+00:00,4043.6,4078.6,3991.74,2025-11-18 15:09:00+00:00,50.0,35.0,60,18,0,2025-11-18 14:16:00+00:00,4078.6,stop_loss,-35.0,False,3,6.979999999999563,1.9500000000002728,2025-11,13
-1,2025-11-19 09:47:00+00:00,2025-11-19 09:48:00+00:00,4104.59,4139.59,4054.1000000000004,2025-11-19 10:54:00+00:00,50.0,35.0,60,5,0,2025-11-19 10:54:00+00:00,4112.22,timeout,-7.630000000000109,False,2,5.259999999999309,4.479999999999563,2025-11,9
-1,2025-11-19 14:32:00+00:00,2025-11-19 14:33:00+00:00,4109.69,4144.69,4059.6899999999996,2025-11-19 15:39:00+00:00,50.0,35.0,60,7,0,2025-11-19 15:39:00+00:00,4113.03,timeout,-3.3400000000001455,False,2,5.829999999999927,4.3400000000001455,2025-11,14
-1,2025-11-19 17:50:00+00:00,2025-11-19 17:51:00+00:00,4079.82,4114.82,4029.82,2025-11-19 19:37:00+00:00,50.0,35.0,60,3,0,2025-11-19 19:37:00+00:00,4074.54,timeout,5.2800000000002,True,5,6.329999999999927,8.860000000000582,2025-11,17
-1,2025-11-20 09:02:00+00:00,2025-11-20 09:03:00+00:00,4070.64,4105.639999999999,4014.14,2025-11-20 10:39:00+00:00,50.0,35.0,60,3,0,2025-11-20 10:39:00+00:00,4063.81,timeout,6.829999999999927,True,2,5.020000000000437,5.480000000000473,2025-11,9
-1,2025-11-20 12:06:00+00:00,2025-11-20 12:07:00+00:00,4065.94,4100.9400000000005,4015.94,2025-11-20 15:19:00+00:00,50.0,35.0,60,10,0,2025-11-20 14:49:00+00:00,4100.9400000000005,stop_loss,-35.000000000000455,False,6,5.339999999999691,6.119999999999891,2025-11,12
-1,2025-11-20 15:05:00+00:00,2025-11-20 15:06:00+00:00,4095.5,4130.5,4045.5,2025-11-20 16:06:00+00:00,50.0,35.0,60,0,0,2025-11-20 16:06:00+00:00,4079.52,timeout,15.980000000000018,True,5,5.480000000000473,15.16000000000031,2025-11,15
-1,2025-11-20 17:52:00+00:00,2025-11-20 17:53:00+00:00,4061.65,4096.65,4010.96,2025-11-20 18:54:00+00:00,50.0,35.0,60,2,0,2025-11-20 18:54:00+00:00,4060.14,timeout,1.5100000000002183,True,7,6.289999999999964,7.25,2025-11,17
-1,2025-11-20 19:19:00+00:00,2025-11-20 19:20:00+00:00,4072.81,4107.8099999999995,4022.81,2025-11-20 20:24:00+00:00,50.0,35.0,60,5,0,2025-11-20 20:24:00+00:00,4076.37,timeout,-3.5599999999999454,False,4,5.200000000000273,4.720000000000255,2025-11,19
-1,2025-11-21 12:22:00+00:00,2025-11-21 12:23:00+00:00,4048.91,4083.91,3997.15,2025-11-21 13:39:00+00:00,50.0,35.0,60,5,0,2025-11-21 13:39:00+00:00,4067.78,timeout,-18.870000000000346,False,7,7.289999999999964,1.4100000000003092,2025-11,12
