
======================================================================
  GOLD v16 COMBINED (merged portfolio)
  Period: 2025-06-01 → 2026-06-25
======================================================================
  Total Trades: 912
  Net PnL     : +6906.64 pts
  Win Rate    : 53.0%
  Avg/trade   : +7.57
  Max DD      : -262.18

  By source:
    energetic           :  241 trades  PnL=+729.7  WR=54%  avg=+3.03
    pattern             :  332 trades  PnL=+3345.5  WR=55%  avg=+10.08
    v16_dip_short       :  221 trades  PnL=+686.3  WR=50%  avg=+3.11
    v16_momentum        :  118 trades  PnL=+2145.1  WR=50%  avg=+18.18

  By leg:
    breakthrough_long   :    5 trades  PnL=+246.8  WR=100%  avg=+49.35
    breakthrough_short  :    3 trades  PnL=+172.5  WR=100%  avg=+57.50
    downtrend_retrace   :   41 trades  PnL=+702.9  WR=63%  avg=+17.14
    energetic           :  241 trades  PnL=+729.7  WR=54%  avg=+3.03
    reversal_fvg_long   :   71 trades  PnL=+395.5  WR=52%  avg=+5.57
    reversal_fvg_short  :   18 trades  PnL=+231.1  WR=33%  avg=+12.84
    uptrend_retrace     :  194 trades  PnL=+1596.8  WR=55%  avg=+8.23
    v16_dip_short       :  221 trades  PnL=+686.3  WR=50%  avg=+3.11
    v16_momentum        :  118 trades  PnL=+2145.1  WR=50%  avg=+18.18

  By matched_pattern:
    breakthrough_long   :    5 trades  PnL=+246.8  WR=100%  avg=+49.35
    breakthrough_short  :    3 trades  PnL=+172.5  WR=100%  avg=+57.50
    downtrend_retrace   :   41 trades  PnL=+702.9  WR=63%  avg=+17.14
    reversal_fvg_long   :   71 trades  PnL=+395.5  WR=52%  avg=+5.57
    reversal_fvg_short  :   18 trades  PnL=+231.1  WR=33%  avg=+12.84
    uptrend_retrace     :  194 trades  PnL=+1596.8  WR=55%  avg=+8.23

  LONG total :  402  PnL=+3042.7  WR=54%
  SHORT total:  510  PnL=+3863.9  WR=52%

────────────────────────────────────────────────────────────
  ALL TRADES (HKT)
────────────────────────────────────────────────────────────
  entry_hkt exit_hkt  dir entry_price exit_price     pnl exit_reason            pattern
12-17 02:37    03:22 down        None       None   0.570                  v16_dip_short
12-17 16:52    17:37 down        None       None  -1.070                  v16_dip_short
12-17 21:17    12:45   up        None       None   1.580                   v16_momentum
12-22 23:47    11:47   up        None       None  56.300                   v16_momentum
12-23 23:40    00:25 down        None       None  -8.690                  v16_dip_short
12-24 03:06    03:51 down        None       None   3.850                  v16_dip_short
12-25 00:37    01:22 down        None       None  -5.850                  v16_dip_short
12-26 23:39    00:24 down        None       None   0.420                  v16_dip_short
12-27 02:47    07:02   up        None       None  17.980                   v16_momentum
12-29 09:04    09:19   up        None       None   5.510                uptrend_retrace
12-29 16:32    07:01 down        None       None 139.510                   v16_momentum
12-31 13:51    14:31 down        None       None  -6.550                      energetic
12-31 20:40    21:25 down        None       None -10.360                  v16_dip_short
01-02 21:21    21:51 down        None       None  22.670                      energetic
01-05 21:47    11:00   up        None       None  41.900                   v16_momentum
01-07 09:36    09:51 down        None       None  -2.330             reversal_fvg_short
01-07 21:02    21:56 down        None       None  -5.170                   v16_momentum
01-07 22:54    23:39 down        None       None  -1.160                  v16_dip_short
01-08 14:07    14:23 down        None       None  -5.460             reversal_fvg_short
01-08 16:02    16:09 down        None       None  -2.380                   v16_momentum
01-09 23:24    00:24 down        None       None   5.740                  v16_dip_short
01-12 22:21    23:06 down        None       None -16.300                  v16_dip_short
01-13 22:50    23:35 down        None       None  22.580                  v16_dip_short
01-14 16:36    17:00 down        None       None  -4.330             reversal_fvg_short
01-14 18:06    18:58 down        None       None  -0.940             reversal_fvg_short
01-15 05:52    07:01 down        None       None  -1.730             reversal_fvg_short
01-15 11:15    11:47 down        None       None  -2.010             reversal_fvg_short
01-15 22:48    23:35 down        None       None  -4.590                  v16_dip_short
01-16 23:05    23:27 down        None       None  35.000                  v16_dip_short
01-17 00:22    01:08 down        None       None   0.440                  v16_dip_short
01-20 21:47    11:45   up        None       None 110.270                   v16_momentum
01-21 16:07    16:52 down        None       None   4.890                  v16_dip_short
