fast_h,slow_h,ob,cool,os,rec,slk,exec_h,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
15,60,-20,-50,-70,-50,10,240,0.3,0.15,2.0,2670,550,20.59925093632959,24.530056964612537,12.265028482306269,550
30,60,-20,-40,-70,-50,5,240,0.3,0.2,1.4999999999999998,2343,549,23.431498079385406,24.526894616116547,16.351263077411033,549
15,90,-10,-40,-70,-50,5,240,0.3,0.15,2.0,2682,549,20.469798657718123,24.98166425050772,12.49083212525386,549
30,60,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,1947,548,28.145865434001028,24.061167914592012,16.04077860972801,548
15,60,-10,-40,-80,-50,5,360,0.3,0.15,2.0,2209,546,24.717066545948395,24.952338036678086,12.476169018339043,546
15,60,-20,-40,-80,-50,5,360,0.35,0.2,1.7499999999999998,2285,546,23.894967177242886,29.170974576804536,16.669128329602593,545
15,90,-20,-40,-70,-50,10,240,0.3,0.15,2.0,2792,544,19.484240687679083,24.912830649679904,12.456415324839952,544
15,60,-10,-50,-70,-50,5,360,0.35,0.15,2.3333333333333335,2468,540,21.88006482982172,28.404446450162787,12.173334192926907,540
15,90,-20,-40,-70,-50,5,360,0.4,0.15,2.666666666666667,2752,540,19.62209302325581,33.3566491312227,12.508743424208513,539
15,60,-10,-50,-70,-50,5,360,0.4,0.2,2.0,2468,536,21.71799027552674,32.462224514471764,16.231112257235882,536
15,60,-10,-50,-70,-50,10,240,0.3,0.15,2.0,2579,535,20.744474602559134,24.47714186852383,12.238570934261915,535
15,60,-20,-40,-80,-50,10,360,0.3,0.15,2.0,2214,535,24.164408310749774,25.044659674784292,12.522329837392146,535
15,60,-10,-40,-80,-50,5,360,0.35,0.2,1.7499999999999998,2209,532,24.083295608872792,29.111061042791096,16.634892024452057,532
15,60,-20,-40,-80,-50,10,360,0.35,0.2,1.7499999999999998,2214,527,23.803071364046975,29.218769620581675,16.69643978318953,527
15,90,-10,-40,-70,-50,10,240,0.3,0.15,2.0,2720,527,19.375,24.891714713648444,12.445857356824222,527
30,60,-20,-40,-70,-50,10,240,0.3,0.2,1.4999999999999998,2259,526,23.284639220894203,24.204516522353522,16.13634434823568,526
15,90,-10,-40,-70,-50,5,360,0.4,0.15,2.666666666666667,2682,524,19.537658463832962,33.30888566734363,12.49083212525386,524
15,90,-20,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,2792,522,18.696275071633238,33.217107532906546,12.456415324839952,522
15,60,-20,-50,-70,-50,5,240,0.3,0.15,2.0,2541,520,20.464384100747736,24.45166805889646,12.22583402944823,520
15,60,-10,-40,-80,-50,10,360,0.3,0.15,2.0,2127,518,24.353549600376116,25.00375123502347,12.501875617511734,518
15,90,-20,-40,-70,-50,5,240,0.35,0.2,1.7499999999999998,2752,518,18.822674418604652,29.187067989819862,16.67832456561135,518
30,60,-20,-40,-70,-50,5,360,0.35,0.15,2.3333333333333335,2343,517,22.065727699530516,28.614710385469305,12.263447308058273,517
30,60,-10,-40,-70,-50,5,360,0.3,0.15,2.0,1997,517,25.88883324987481,24.25424562281747,12.127122811408736,517
15,60,-20,-40,-80,-50,5,240,0.3,0.2,1.4999999999999998,2285,517,22.62582056892779,25.003692494403886,16.669128329602593,517
15,60,-20,-50,-70,-50,10,240,0.35,0.2,1.7499999999999998,2670,516,19.325842696629213,28.618399792047963,16.353371309741693,516
15,60,-20,-50,-70,-50,10,360,0.4,0.15,2.666666666666667,2670,511,19.138576779026216,32.706742619483386,12.265028482306269,511
15,60,-10,-40,-80,-50,10,360,0.35,0.2,1.7499999999999998,2127,511,24.02444757874941,29.171043107527375,16.669167490015646,510
30,60,-20,-40,-70,-50,5,240,0.3,0.15,2.0,2343,509,21.724285104566796,24.526894616116547,12.263447308058273,509
15,60,-10,-50,-70,-50,5,240,0.3,0.15,2.0,2468,509,20.623987034035657,24.346668385853814,12.173334192926907,509
15,90,-10,-40,-70,-50,5,240,0.35,0.2,1.7499999999999998,2682,507,18.90380313199105,29.145274958925675,16.654442833671816,507
15,90,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,2720,506,18.602941176470587,33.18895295153127,12.445857356824222,506
15,60,-10,-50,-70,-50,10,240,0.35,0.2,1.7499999999999998,2579,505,19.58123303606049,28.5566655132778,16.318094579015888,505
15,60,-20,-40,-70,-40,10,360,0.35,0.2,1.7499999999999998,2110,505,23.933649289099527,29.023209167383488,16.58469095279057,505
15,60,-20,-40,-70,-40,10,360,0.3,0.15,2.0,2110,505,23.933649289099527,24.877036429185846,12.438518214592923,505
15,90,-20,-40,-70,-50,10,240,0.35,0.2,1.7499999999999998,2792,505,18.087392550143267,29.064969091293218,16.608553766453273,505
15,60,-10,-40,-80,-50,5,240,0.3,0.2,1.4999999999999998,2209,504,22.815753734721593,24.952338036678086,16.634892024452057,504
15,60,-20,-40,-70,-40,5,360,0.3,0.15,2.0,2070,500,24.154589371980677,24.903734162208252,12.451867081104126,500
15,60,-20,-40,-80,-50,10,240,0.3,0.2,1.4999999999999998,2214,500,22.58355916892502,25.044659674784292,16.69643978318953,499
30,60,-20,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,2259,499,22.089420097388224,28.238602609412442,12.102258261176761,499
30,60,-10,-40,-70,-50,10,360,0.3,0.15,2.0,1947,498,25.577812018489986,24.061167914592012,12.030583957296006,498
15,60,-20,-40,-70,-40,5,360,0.35,0.2,1.7499999999999998,2070,497,24.00966183574879,29.054356522576295,16.602489441472173,497
15,60,-10,-40,-70,-40,10,360,0.35,0.2,1.7499999999999998,2070,495,23.91304347826087,28.973823037653258,16.556470307230434,495
15,60,-10,-40,-70,-40,10,360,0.3,0.15,2.0,2070,494,23.864734299516908,24.83470546084565,12.417352730422826,494
15,90,-10,-40,-70,-50,10,240,0.35,0.2,1.7499999999999998,2720,494,18.16176470588235,29.040333832589855,16.594476475765635,493
15,60,-20,-50,-70,-50,5,240,0.35,0.2,1.7499999999999998,2541,492,19.36245572609209,28.526946068712537,16.301112039264307,492
15,60,-10,-50,-70,-50,10,360,0.4,0.15,2.666666666666667,2579,492,19.077161690577743,32.636189158031776,12.238570934261915,492
30,60,-20,-40,-70,-50,5,360,0.4,0.2,2.0,2343,491,20.956039265898422,32.70252615482207,16.351263077411033,491
15,60,-10,-40,-70,-40,5,360,0.35,0.2,1.7499999999999998,2033,489,24.053123462862764,29.00661944691182,16.57521111252104,489
15,60,-10,-40,-70,-40,5,360,0.3,0.15,2.0,2033,489,24.053123462862764,24.86281666878156,12.43140833439078,489
15,60,-20,-40,-80,-50,5,360,0.35,0.15,2.3333333333333335,2285,488,21.35667396061269,29.170974576804536,12.501846247201943,487
30,60,-10,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,1997,485,24.2864296444667,28.296619893287055,16.16949708187832,485
30,60,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,1947,485,24.91011813045711,28.07136256702401,16.04077860972801,484
15,60,-10,-50,-70,-50,5,240,0.35,0.2,1.7499999999999998,2468,483,19.570502431118314,28.404446450162787,16.231112257235882,483
15,60,-10,-40,-80,-50,10,240,0.3,0.2,1.4999999999999998,2127,483,22.708039492242595,25.00375123502347,16.669167490015646,483
15,120,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,1773,483,27.241962774957702,24.340779398051247,16.2271862653675,483
15,60,-20,-50,-70,-50,5,360,0.4,0.15,2.666666666666667,2541,482,18.968909878000787,32.602224078528614,12.22583402944823,482
30,60,-20,-40,-70,-50,10,240,0.3,0.15,2.0,2259,480,21.248339973439574,24.204516522353522,12.102258261176761,480
15,60,-20,-40,-80,-50,5,360,0.4,0.2,2.0,2285,479,20.962800875273523,33.338256659205186,16.669128329602593,479
15,60,-10,-40,-80,-50,5,360,0.35,0.15,2.3333333333333335,2209,477,21.593481213218652,29.111061042791096,12.476169018339043,477
15,120,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,1747,477,27.303949627933598,24.32330640796249,16.215537605308327,476
15,120,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,1721,474,27.542126670540384,24.208961393092814,16.139307595395213,474
15,90,-20,-40,-70,-50,5,240,0.35,0.15,2.3333333333333335,2752,472,17.151162790697676,29.187067989819862,12.508743424208513,472
30,60,-20,-40,-70,-50,5,240,0.35,0.2,1.7499999999999998,2343,471,20.102432778489117,28.614710385469305,16.351263077411033,471
30,60,-10,-40,-70,-50,5,240,0.3,0.2,1.4999999999999998,1997,471,23.585378067100653,24.25424562281747,16.16949708187832,471
15,120,-10,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,1694,470,27.744982290436838,24.173148521727015,16.11543234781801,470
30,60,-20,-40,-70,-50,10,360,0.4,0.2,2.0,2259,469,20.761398849048252,32.27268869647136,16.13634434823568,469
15,60,-20,-50,-70,-50,10,240,0.35,0.15,2.3333333333333335,2670,469,17.56554307116105,28.618399792047963,12.265028482306269,469
15,60,-10,-50,-70,-50,5,360,0.4,0.15,2.666666666666667,2468,468,18.962722852512158,32.462224514471764,12.173334192926907,468
15,60,-10,-40,-80,-50,5,360,0.4,0.2,2.0,2209,465,21.050248981439566,33.269784048904114,16.634892024452057,465
15,60,-20,-40,-70,-40,10,240,0.3,0.2,1.4999999999999998,2110,464,21.990521327014218,24.877036429185846,16.58469095279057,464
