entry,exit,pnl,reason,type,side,entry_price,exit_price,_leg,_prob
2026-04-01 15:00:00+00:00,2026-04-01 15:15:00+00:00,30.0,tp,long_ret,1,9594.5,9624.5,long_ret,0.5330538749694824
2026-04-01 16:00:00+00:00,2026-04-01 16:15:00+00:00,-15.0,sl,long_ret,1,9707.3,9692.3,long_ret,0.5278370380401611
2026-04-06 08:00:00+00:00,2026-04-06 08:15:00+00:00,30.0,tp,long_ret,1,10260.0,10290.0,long_ret,0.504607081413269
2026-04-06 11:00:00+00:00,2026-04-06 11:15:00+00:00,-15.0,sl,long_ret,1,10315.1,10300.1,long_ret,0.5905871391296387
2026-04-06 11:30:00+00:00,2026-04-06 11:45:00+00:00,-15.0,sl,long_ret,1,10310.5,10295.5,long_ret,0.695963978767395
2026-04-06 12:00:00+00:00,2026-04-06 12:15:00+00:00,-15.0,sl,long_ret,1,10352.2,10337.2,long_ret,0.6455597877502441
2026-04-06 13:00:00+00:00,2026-04-06 13:15:00+00:00,30.0,tp,long_ret,1,10341.7,10371.7,long_ret,0.629473090171814
2026-04-06 13:30:00+00:00,2026-04-06 13:45:00+00:00,-15.0,sl,long_ret,1,10470.0,10455.0,long_ret,0.7655501961708069
2026-04-06 16:15:00+00:00,2026-04-06 16:30:00+00:00,-15.0,sl,long_ret,1,10381.7,10366.7,long_ret,0.6076314449310303
2026-04-06 16:45:00+00:00,2026-04-06 17:00:00+00:00,30.0,tp,long_ret,1,10419.7,10449.7,long_ret,0.7336777448654175
2026-04-07 09:45:00+00:00,2026-04-07 10:00:00+00:00,30.0,tp,long_ret,1,10424.8,10454.8,long_ret,0.73011314868927
2026-04-07 11:45:00+00:00,2026-04-07 12:00:00+00:00,30.0,tp,long_ret,1,10663.1,10693.1,long_ret,0.7837164998054504
2026-04-07 12:30:00+00:00,2026-04-07 12:45:00+00:00,30.0,tp,long_ret,1,10631.3,10661.3,long_ret,0.7349725961685181
2026-04-07 13:30:00+00:00,2026-04-07 13:45:00+00:00,-15.0,sl,long_ret,1,10675.6,10660.6,long_ret,0.8357607126235962
2026-04-07 14:45:00+00:00,2026-04-07 15:00:00+00:00,30.0,tp,long_ret,1,10708.9,10738.9,long_ret,0.7549198269844055
2026-04-07 16:00:00+00:00,2026-04-07 16:15:00+00:00,30.0,tp,long_ret,1,10610.4,10640.4,long_ret,0.6983821392059326
2026-04-07 16:45:00+00:00,2026-04-07 17:00:00+00:00,-15.0,sl,long_ret,1,10620.2,10605.2,long_ret,0.5721256136894226
2026-04-08 10:45:00+00:00,2026-04-08 11:00:00+00:00,-15.0,sl,long_ret,1,8991.8,8976.8,long_ret,0.5366953015327454
2026-04-08 13:15:00+00:00,2026-04-08 13:30:00+00:00,30.0,tp,long_ret,1,8817.1,8847.1,long_ret,0.5155632495880127
2026-04-08 15:15:00+00:00,2026-04-08 15:30:00+00:00,-15.0,sl,long_ret,1,9129.2,9114.2,long_ret,0.774080753326416
2026-04-08 16:00:00+00:00,2026-04-08 16:15:00+00:00,30.0,tp,long_ret,1,9042.8,9072.8,long_ret,0.7289792895317078
2026-04-08 16:30:00+00:00,2026-04-08 16:45:00+00:00,-15.0,sl,long_ret,1,9065.7,9050.7,long_ret,0.8010614514350891
2026-04-09 08:15:00+00:00,2026-04-09 08:30:00+00:00,-15.0,sl,long_ret,1,9352.5,9337.5,long_ret,0.6214107275009155
