entry,exit,pnl,reason,type,side,entry_price,exit_price
2026-04-24 16:15:00+00:00,2026-04-24 16:30:00+00:00,-20.0,sl,wr90,1,9336.2,9316.2
2026-04-30 12:15:00+00:00,2026-04-30 12:30:00+00:00,-20.0,sl,wr90,1,10271.3,10251.3
2026-04-30 16:30:00+00:00,2026-04-30 16:45:00+00:00,-20.0,sl,wr90,1,10261.9,10241.9
2026-05-04 13:00:00+00:00,2026-05-04 13:15:00+00:00,-20.0,sl,wr90,1,10111.6,10091.6
2026-05-04 15:00:00+00:00,2026-05-04 15:15:00+00:00,60.0,tp,wr90,1,10109.0,10169.0
2026-05-06 11:45:00+00:00,2026-05-06 12:00:00+00:00,60.0,tp,wr90,1,9003.7,9063.7
2026-05-07 07:45:00+00:00,2026-05-07 08:00:00+00:00,-20.0,sl,wr90,1,9146.5,9126.5
2026-05-07 13:00:00+00:00,2026-05-07 13:30:00+00:00,-20.0,sl,wr90,1,8940.6,8920.6
2026-05-11 14:15:00+00:00,2026-05-11 14:45:00+00:00,60.0,tp,wr90,1,9442.7,9502.7
2026-05-18 13:30:00+00:00,2026-05-18 13:45:00+00:00,-20.0,sl,wr90,1,9987.1,9967.1
2026-05-18 14:15:00+00:00,2026-05-18 14:30:00+00:00,60.0,tp,wr90,1,10075.5,10135.5
2026-05-20 13:00:00+00:00,2026-05-20 13:15:00+00:00,-20.0,sl,wr90,1,10167.1,10147.1
2026-05-21 10:30:00+00:00,2026-05-21 10:45:00+00:00,60.0,tp,wr90,1,9990.2,10050.2
2026-05-28 15:15:00+00:00,2026-05-28 15:45:00+00:00,-20.0,sl,wr90,1,8905.5,8885.5
2026-06-01 13:15:00+00:00,2026-06-01 13:30:00+00:00,60.0,tp,wr90,1,9019.2,9079.2
2026-06-03 14:30:00+00:00,2026-06-03 14:45:00+00:00,-20.0,sl,wr90,1,9377.8,9357.8
2026-06-05 15:00:00+00:00,2026-06-05 15:15:00+00:00,-20.0,sl,wr90,1,8985.5,8965.5
2026-06-09 16:45:00+00:00,2026-06-09 17:00:00+00:00,-20.0,sl,wr90,1,8704.6,8684.6
2026-06-16 09:45:00+00:00,2026-06-16 10:00:00+00:00,-20.0,sl,wr90,1,7814.1,7794.1
2026-06-22 16:30:00+00:00,2026-06-22 17:30:00+00:00,-20.0,sl,wr90,1,7369.4,7349.4
2024-08-01 15:45:00+00:00,2024-08-01 16:45:00+00:00,-15.0,sl,ret,1,7674.6,7659.6
2024-08-05 10:00:00+00:00,2024-08-05 10:45:00+00:00,30.0,tp,ret,1,7151.3,7181.3
2024-08-05 14:15:00+00:00,2024-08-05 14:30:00+00:00,-15.0,sl,ret,1,7229.3,7214.3
2024-08-08 08:30:00+00:00,2024-08-08 09:30:00+00:00,-15.0,sl,ret,1,7443.3,7428.3
2024-08-08 14:15:00+00:00,2024-08-08 14:30:00+00:00,30.0,tp,ret,1,7459.5,7489.5
2024-08-09 15:15:00+00:00,2024-08-09 15:30:00+00:00,30.0,tp,ret,1,7564.3,7594.3
2024-08-15 14:00:00+00:00,2024-08-15 14:15:00+00:00,-15.0,sl,ret,1,7702.6,7687.6
2024-08-16 16:15:00+00:00,2024-08-16 17:15:00+00:00,-15.0,sl,ret,1,7569.6,7554.6
2024-08-20 09:15:00+00:00,2024-08-20 09:30:00+00:00,30.0,tp,ret,1,7285.0,7315.0
2024-08-20 13:45:00+00:00,2024-08-20 14:00:00+00:00,30.0,tp,ret,1,7398.5,7428.5
2024-08-21 16:00:00+00:00,2024-08-21 16:15:00+00:00,-15.0,sl,ret,1,7234.5,7219.5
2024-08-27 16:00:00+00:00,2024-08-27 16:15:00+00:00,-15.0,sl,ret,1,7561.3,7546.3
2024-08-28 09:15:00+00:00,2024-08-28 10:15:00+00:00,-15.0,sl,ret,1,7449.6,7434.6
2024-08-28 14:15:00+00:00,2024-08-28 14:30:00+00:00,-15.0,sl,ret,1,7415.0,7400.0
2024-08-30 13:45:00+00:00,2024-08-30 14:00:00+00:00,-15.0,sl,ret,1,7378.4,7363.4
2024-09-03 08:45:00+00:00,2024-09-03 09:00:00+00:00,30.0,tp,ret,1,7309.3,7339.3
2024-09-03 15:30:00+00:00,2024-09-03 16:15:00+00:00,30.0,tp,ret,1,7021.8,7051.8
2024-09-04 13:15:00+00:00,2024-09-04 13:30:00+00:00,-15.0,sl,ret,1,6953.2,6938.2
2024-09-04 14:15:00+00:00,2024-09-04 14:45:00+00:00,30.0,tp,ret,1,6912.3,6942.3
2024-09-05 16:45:00+00:00,2024-09-05 17:00:00+00:00,-15.0,sl,ret,1,6889.7,6874.7
2024-09-06 14:45:00+00:00,2024-09-06 15:00:00+00:00,-15.0,sl,ret,1,6809.0,6794.0
2024-09-09 15:15:00+00:00,2024-09-09 15:30:00+00:00,-15.0,sl,ret,1,6762.5,6747.5
2024-09-10 13:45:00+00:00,2024-09-10 14:00:00+00:00,-15.0,sl,ret,1,6769.8,6754.8
2024-09-10 14:15:00+00:00,2024-09-10 14:30:00+00:00,-15.0,sl,ret,1,6600.6,6585.6
2024-09-10 16:30:00+00:00,2024-09-10 17:15:00+00:00,30.0,tp,ret,1,6510.2,6540.2
2024-09-11 08:45:00+00:00,2024-09-11 09:00:00+00:00,30.0,tp,ret,1,6634.1,6664.1
2024-09-11 13:45:00+00:00,2024-09-11 14:00:00+00:00,-15.0,sl,ret,1,6634.7,6619.7
2024-09-12 13:30:00+00:00,2024-09-12 14:00:00+00:00,-15.0,sl,ret,1,6765.9,6750.9
2024-09-12 14:30:00+00:00,2024-09-12 14:45:00+00:00,-15.0,sl,ret,1,6792.1,6777.1
2024-09-13 16:00:00+00:00,2024-09-13 16:15:00+00:00,-15.0,sl,ret,1,6863.2,6848.2
2024-09-16 14:30:00+00:00,2024-09-16 14:45:00+00:00,-15.0,sl,ret,1,6943.2,6928.2
2024-09-18 15:30:00+00:00,2024-09-18 15:45:00+00:00,-15.0,sl,ret,1,6991.5,6976.5
2024-09-19 13:15:00+00:00,2024-09-19 13:30:00+00:00,-15.0,sl,ret,1,7065.0,7050.0
2024-09-19 14:45:00+00:00,2024-09-19 15:00:00+00:00,30.0,tp,ret,1,7044.0,7074.0
2024-09-23 15:45:00+00:00,2024-09-23 16:00:00+00:00,-15.0,sl,ret,1,7001.8,6986.8
2024-09-24 13:30:00+00:00,2024-09-24 13:45:00+00:00,-15.0,sl,ret,1,7194.5,7179.5
2024-09-24 16:15:00+00:00,2024-09-24 18:30:00+00:00,20.800000000000182,ny_close,ret,1,7122.4,7143.2
2024-09-25 15:45:00+00:00,2024-09-25 16:00:00+00:00,-15.0,sl,ret,1,7021.8,7006.8
2024-09-26 07:00:00+00:00,2024-09-26 07:15:00+00:00,-15.0,sl,ret,1,6796.2,6781.2
2024-09-26 16:15:00+00:00,2024-09-26 16:30:00+00:00,-15.0,sl,ret,1,6801.1,6786.1
2024-09-27 13:00:00+00:00,2024-09-27 13:15:00+00:00,30.0,tp,ret,1,6729.0,6759.0
