side,signal_ts,entry_time,entry_price,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,target_updates,exit_time,exit_price,exit_reason,pnl,win,struct_trend,struct_last_kind,struct_last_swing_price,struct_dist_pts,struct_leg_pts,struct_prior_leg_pts,struct_pullback_pct,struct_leg_age_15m,struct_hh,struct_hl,struct_lh,struct_ll,struct_aligned,with_trend,counter_trend,range_regime
-1,2026-03-12 12:15:00+00:00,2026-03-12 12:16:00+00:00,5165.97,5175.64,5136.96,9.670000000000073,29.01000000000022,120,2026-03-12 14:16:00+00:00,5170.93,5175.64,0,2026-03-12 12:32:00+00:00,5175.64,stop_loss,-9.670000000000073,False,1.0,1.0,5192.06,-25.890000000000327,25.890000000000327,38.63000000000011,0.6702045042712983,8.0,1.0,1.0,0.0,0.0,-1.0,False,True,False
1,2026-03-12 13:00:00+00:00,2026-03-12 13:01:00+00:00,5182.86,5177.71,5198.309999999999,5.149999999999636,15.449999999998909,120,2026-03-12 15:01:00+00:00,5177.71,5181.87,0,2026-03-12 13:15:00+00:00,5177.71,stop_loss,-5.149999999999636,False,1.0,1.0,5192.06,-9.31500000000051,9.31500000000051,38.63000000000011,0.2411338338079338,11.0,1.0,1.0,0.0,0.0,1.0,True,False,False
-1,2026-03-12 13:15:00+00:00,2026-03-12 13:16:00+00:00,5176.62,5185.77,5149.169999999998,9.150000000000546,27.450000000001637,120,2026-03-12 15:45:00+00:00,5179.69,5185.77,2,2026-03-12 13:53:00+00:00,5149.169999999998,target_hit,27.450000000001637,True,1.0,1.0,5192.06,-15.260000000001128,15.260000000001128,38.63000000000011,0.39502976960914016,12.0,1.0,1.0,0.0,0.0,-1.0,False,True,False
-1,2026-03-12 14:00:00+00:00,2026-03-12 14:01:00+00:00,5155.86,5159.59,5144.669999999998,3.730000000000473,11.190000000001419,120,2026-03-12 16:01:00+00:00,5152.39,5159.59,0,2026-03-12 14:02:00+00:00,5159.59,stop_loss,-3.730000000000473,False,1.0,1.0,5192.06,-36.08000000000084,36.08000000000084,38.63000000000011,0.9339891276210389,15.0,1.0,1.0,0.0,0.0,-1.0,False,True,False
1,2026-03-12 14:15:00+00:00,2026-03-12 14:16:00+00:00,5159.78,5150.18,5188.579999999998,9.599999999999454,28.799999999998363,120,2026-03-12 16:16:00+00:00,5150.18,5156.84,0,2026-03-12 14:24:00+00:00,5150.18,stop_loss,-9.599999999999454,False,1.0,1.0,5192.06,-32.779999999999745,32.779999999999745,38.63000000000011,0.848563292777625,16.0,1.0,1.0,0.0,0.0,1.0,True,False,False
-1,2026-03-12 14:30:00+00:00,2026-03-12 14:31:00+00:00,5151.37,5159.87,5125.87,8.5,25.5,120,2026-03-12 16:45:00+00:00,5154.11,5159.87,1,2026-03-12 15:11:00+00:00,5125.87,target_hit,25.5,True,1.0,1.0,5192.06,-40.51000000000113,40.51000000000113,38.63000000000011,1.048666839244137,17.0,1.0,1.0,0.0,0.0,-1.0,False,True,False
-1,2026-03-12 15:15:00+00:00,2026-03-12 15:16:00+00:00,5120.26,5145.85,5043.49,25.590000000000146,76.77000000000044,120,2026-03-12 21:15:00+00:00,5137.52,5145.85,10,2026-03-12 22:01:00+00:00,5076.49,timeout,43.77000000000044,True,1.0,1.0,5192.06,-71.53000000000065,71.53000000000065,38.63000000000011,1.8516696867719507,20.0,1.0,1.0,0.0,0.0,-1.0,False,True,False
-1,2026-03-13 08:15:00+00:00,2026-03-13 08:16:00+00:00,5078.28,5086.34,5054.0999999999985,8.0600000000004,24.1800000000012,120,2026-03-13 10:30:00+00:00,5080.22,5086.34,1,2026-03-13 08:50:00+00:00,5086.34,stop_loss,-8.0600000000004,False,-1.0,1.0,5129.23,-50.45999999999913,50.45999999999913,138.21000000000004,0.3650965921423856,25.0,0.0,0.0,1.0,1.0,1.0,True,False,False
1,2026-03-13 09:00:00+00:00,2026-03-13 09:01:00+00:00,5088.51,5077.81,5120.61,10.699999999999818,32.099999999999454,120,2026-03-13 14:45:00+00:00,5077.81,5084.64,7,2026-03-13 12:46:00+00:00,5120.61,target_hit,32.099999999999454,True,0.0,-1.0,5060.94,27.63000000000011,27.63000000000011,75.3799999999992,0.36654284956222344,2.0,0.0,1.0,1.0,0.0,0.0,False,False,True
1,2026-03-13 13:00:00+00:00,2026-03-13 13:01:00+00:00,5117.89,5110.95,5138.710000000002,6.940000000000509,20.820000000001528,120,2026-03-13 15:01:00+00:00,5110.95,5118.11,0,2026-03-13 13:11:00+00:00,5110.95,stop_loss,-6.940000000000509,False,0.0,-1.0,5060.94,56.89000000000033,56.89000000000033,75.3799999999992,0.7547094720085027,18.0,0.0,1.0,1.0,0.0,0.0,False,False,True
-1,2026-03-13 13:30:00+00:00,2026-03-13 13:31:00+00:00,5106.77,5114.28,5084.2400000000025,7.509999999999309,22.529999999997926,120,2026-03-13 15:31:00+00:00,5107.83,5114.28,0,2026-03-13 13:45:00+00:00,5114.28,stop_loss,-7.509999999999309,False,0.0,1.0,5122.23,-15.239999999999782,15.239999999999782,68.28999999999996,0.22316591008932185,1.0,0.0,1.0,1.0,0.0,-0.0,False,False,True
-1,2026-03-13 14:15:00+00:00,2026-03-13 14:16:00+00:00,5091.09,5103.65,5053.410000000002,12.55999999999949,37.67999999999847,120,2026-03-13 16:30:00+00:00,5093.26,5103.65,1,2026-03-13 14:55:00+00:00,5053.410000000002,target_hit,37.67999999999847,True,0.0,1.0,5122.23,-31.00999999999931,31.00999999999931,68.28999999999996,0.4540928393615365,4.0,0.0,1.0,1.0,0.0,-0.0,False,False,True
-1,2026-03-13 15:00:00+00:00,2026-03-13 15:01:00+00:00,5045.96,5079.83,4944.35,33.86999999999989,101.60999999999967,120,2026-03-13 17:45:00+00:00,5073.25,5079.83,1,2026-03-13 17:45:00+00:00,5053.73,timeout,-7.769999999999527,False,0.0,1.0,5122.23,-76.28999999999905,76.28999999999905,68.28999999999996,1.1171474593644617,7.0,0.0,1.0,1.0,0.0,-0.0,False,False,True
-1,2026-03-13 17:45:00+00:00,2026-03-13 17:46:00+00:00,5053.29,5057.56,5040.479999999999,4.270000000000437,12.81000000000131,120,2026-03-13 20:00:00+00:00,5053.45,5057.56,1,2026-03-13 18:22:00+00:00,5040.479999999999,target_hit,12.81000000000131,True,0.0,1.0,5122.23,-68.64999999999964,68.64999999999964,68.28999999999996,1.0052716356713967,18.0,0.0,1.0,1.0,0.0,-0.0,False,False,True
1,2026-03-13 18:30:00+00:00,2026-03-13 18:31:00+00:00,5045.86,5038.2,5068.839999999999,7.6599999999998545,22.979999999999563,120,2026-03-13 20:45:00+00:00,5038.2,5042.96,1,2026-03-13 19:11:00+00:00,5038.2,stop_loss,-7.6599999999998545,False,0.0,1.0,5122.23,-76.42000000000007,76.42000000000007,68.28999999999996,1.1190511055791494,21.0,0.0,1.0,1.0,0.0,0.0,False,False,True
