h,dx,rx,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
480,0.5,0.15,0.2,0.2,1.0,10086,3534,35.03866745984533,19.423528624701756,19.423528624701756,3534
240,0.3,0.2,0.4,0.15,2.666666666666667,21600,3524,16.314814814814817,37.467817741321,14.050431652995373,3524
480,0.3,0.2,0.4,0.1,4.0,21600,3516,16.27777777777778,37.467817741321,9.36695443533025,3516
240,0.3,0.2,0.35,0.1,3.4999999999999996,21600,3479,16.10648148148148,32.78434052365587,9.36695443533025,3479
480,0.5,0.1,0.3,0.2,1.4999999999999998,11153,3479,31.19340087868735,29.326424672552914,19.550949781701945,3479
240,0.5,0.15,0.2,0.2,1.0,10086,3467,34.37438032916915,19.423528624701756,19.423528624701756,3467
120,0.3,0.2,0.25,0.1,2.5,21600,3464,16.037037037037035,23.417386088325625,9.36695443533025,3463
360,0.3,0.2,0.4,0.1,4.0,21600,3434,15.898148148148147,37.467817741321,9.36695443533025,3434
120,0.3,0.15,0.3,0.1,2.9999999999999996,27603,3384,12.259537006847083,27.971387708158282,9.32379590271943,3384
240,0.5,0.1,0.2,0.15,1.3333333333333335,11153,3377,30.27884874024926,19.550949781701945,14.663212336276457,3377
120,0.3,0.2,0.3,0.2,1.4999999999999998,21600,3371,15.606481481481483,28.100863305990746,18.7339088706605,3371
120,0.3,0.15,0.35,0.2,1.7499999999999998,27603,3347,12.125493605767488,32.633285659517995,18.64759180543886,3347
120,0.3,0.1,0.35,0.12,2.9166666666666665,33002,3314,10.041815647536513,32.70573470106122,11.213394754649562,3314
360,0.5,0.1,0.2,0.15,1.3333333333333335,11153,3283,29.43602618129651,19.550949781701945,14.663212336276457,3282
120,0.5,0.1,0.2,0.2,1.0,11153,3277,29.382228996682507,19.550949781701945,19.550949781701945,3277
360,0.5,0.1,0.3,0.2,1.4999999999999998,11153,3264,29.265668430018827,29.326424672552914,19.550949781701945,3264
240,0.5,0.1,0.25,0.2,1.25,11153,3254,29.17600645566215,24.43868722712743,19.550949781701945,3253
480,0.5,0.1,0.35,0.2,1.7499999999999998,11153,3252,29.158074060790817,34.214162117978404,19.550949781701945,3252
480,0.5,0.15,0.25,0.2,1.25,10086,3248,32.203053737854454,24.279410780877196,19.423528624701756,3248
360,0.5,0.15,0.25,0.2,1.25,10086,3205,31.77672020622645,24.279410780877196,19.423528624701756,3205
240,0.3,0.2,0.4,0.12,3.3333333333333335,21600,3182,14.731481481481481,37.467817741321,11.2403453223963,3182
120,0.3,0.1,0.4,0.2,2.0,33002,3162,9.58123750075753,37.377982515498545,18.688991257749272,3162
120,0.3,0.1,0.35,0.1,3.4999999999999996,33002,3080,9.332767711047815,32.70573470106122,9.344495628874636,3080
