dx,rx,tpx,slx,rr,pt,n_pat,nt,pnl,wr,dd
0.5,0.12,0.6,0.25,2.4,0.45,11205,42,142.48134682107593,35.714285714285715,-281.22922894326257
0.4,0.1,0.7,0.25,2.8,0.5,20155,55,139.0025494841493,34.54545454545455,-247.24139411080841
0.3,0.1,0.65,0.4,1.625,0.45,35476,139,137.83737485220718,41.726618705035975,-531.1514440993678
0.5,0.15,0.6,0.25,2.4,0.45,10282,38,135.93483401840558,36.84210526315789,-266.7876954268804
0.5,0.1,0.65,0.4,1.625,0.5,11678,31,133.03742440210453,38.70967741935484,-214.3601378569938
0.4,0.15,0.65,0.35,1.8571428571428574,0.45,17244,62,133.01818328848412,41.935483870967744,-241.2005811330755
0.4,0.1,0.65,0.25,2.6,0.5,20155,75,132.78598591302352,34.66666666666667,-390.523538478943
0.4,0.15,0.7,0.3,2.3333333333333335,0.5,17244,55,130.91618204752058,38.18181818181819,-200.06382308876982
0.5,0.12,0.7,0.4,1.7499999999999998,0.45,11205,30,130.66764721954223,40.0,-226.725765023054
0.3,0.12,0.7,0.35,2.0,0.5,32746,96,128.80409596037316,33.33333333333333,-240.62969944239558
0.5,0.1,0.7,0.4,1.7499999999999998,0.5,11678,24,124.09636995490382,41.66666666666667,-200.59709778515935
0.3,0.1,0.55,0.4,1.375,0.45,35476,182,120.41223283958743,41.208791208791204,-518.6483443635916
0.5,0.15,0.6,0.4,1.4999999999999998,0.5,10282,37,120.24874702071293,43.24324324324324,-203.94519957838293
0.5,0.1,0.55,0.4,1.375,0.5,11678,40,119.50077637741697,40.0,-375.1284844608276
0.5,0.1,0.55,0.35,1.5714285714285716,0.45,11678,48,118.9611351063495,39.58333333333333,-235.85839081491395
0.5,0.12,0.7,0.3,2.3333333333333335,0.5,11205,27,118.69360366717137,37.03703703703704,-198.32599273218875
0.5,0.1,0.65,0.3,2.166666666666667,0.45,11678,35,116.70542548570756,40.0,-308.8123059671175
0.3,0.1,0.6,0.35,1.7142857142857144,0.45,35476,163,115.12713481484752,39.87730061349693,-451.91425316375353
0.3,0.15,0.6,0.4,1.4999999999999998,0.5,28636,110,114.731233000482,40.0,-262.5621678744419
0.4,0.15,0.55,0.3,1.8333333333333335,0.45,17244,86,113.52233770314297,39.53488372093023,-294.5597505082487
0.4,0.15,0.65,0.3,2.166666666666667,0.45,17244,67,112.6112777180092,40.298507462686565,-244.14695282736557
0.5,0.12,0.7,0.35,2.0,0.5,11205,23,111.3587242524568,39.130434782608695,-164.16604800329787
0.5,0.15,0.7,0.25,2.8,0.5,10282,26,109.47496932139393,46.15384615384615,-129.66826245080665
0.4,0.12,0.65,0.4,1.625,0.45,19149,73,109.3712752102715,41.0958904109589,-292.946400087013
0.4,0.12,0.65,0.3,2.166666666666667,0.45,19149,72,107.55983823926272,37.5,-342.3604586373822
0.5,0.15,0.65,0.35,1.8571428571428574,0.5,10282,32,107.11000342660054,43.75,-194.30584542154975
0.5,0.15,0.55,0.35,1.5714285714285716,0.45,10282,47,104.8056500566181,40.42553191489361,-184.9585782621325
0.3,0.15,0.7,0.4,1.7499999999999998,0.5,28636,88,98.99797176024595,36.36363636363637,-281.6414704223689
0.3,0.1,0.65,0.3,2.166666666666667,0.45,35476,140,98.89991165589754,37.142857142857146,-382.36480625175
0.4,0.1,0.7,0.3,2.3333333333333335,0.45,20155,56,97.8457164469387,35.714285714285715,-289.08358473466797
0.4,0.1,0.6,0.3,2.0,0.5,20155,85,96.45665040986205,40.0,-332.32571165131003
0.4,0.15,0.65,0.4,1.625,0.45,17244,63,95.8014729581837,42.857142857142854,-290.304320649916
0.4,0.15,0.65,0.4,1.625,0.5,17244,59,94.84876083018253,42.3728813559322,-197.4208094386804
0.4,0.15,0.6,0.4,1.4999999999999998,0.45,17244,76,91.84155758949555,40.78947368421053,-359.0645522068203
0.4,0.1,0.7,0.25,2.8,0.45,20155,61,85.11548586307799,36.0655737704918,-283.66983209361797
0.3,0.12,0.55,0.4,1.375,0.5,32746,160,84.7650464371709,40.625,-505.07994093067555
0.4,0.1,0.55,0.4,1.375,0.45,20155,99,74.88360342497526,43.43434343434344,-513.2340945365004
0.5,0.1,0.7,0.4,1.7499999999999998,0.45,11678,28,74.1554101352076,39.285714285714285,-298.2472023404689
0.5,0.1,0.6,0.3,2.0,0.45,11678,42,73.73560781981269,40.476190476190474,-237.47045722123494
0.4,0.1,0.65,0.25,2.6,0.45,20155,86,72.54255068981774,36.04651162790697,-414.7648922192275
0.4,0.12,0.7,0.25,2.8,0.45,19149,62,71.84048864963688,35.483870967741936,-318.86876988268614
0.5,0.12,0.65,0.25,2.6,0.5,11205,33,69.033401258087,39.39393939393939,-202.60731630196278
0.4,0.1,0.7,0.3,2.3333333333333335,0.5,20155,54,67.15894394991847,35.18518518518518,-284.81358473466844
0.3,0.12,0.6,0.35,1.7142857142857144,0.5,32746,136,66.78487229653228,36.029411764705884,-447.859179492963
0.4,0.15,0.6,0.3,2.0,0.45,17244,76,65.82992065260942,35.526315789473685,-332.04709665023984
0.5,0.15,0.65,0.4,1.625,0.45,10282,33,65.66701165498534,42.42424242424242,-211.77323372117735
0.4,0.1,0.65,0.35,1.8571428571428574,0.5,20155,67,60.795613736186624,41.7910447761194,-251.29650116054336
0.4,0.15,0.7,0.4,1.7499999999999998,0.45,17244,60,56.77562202667832,43.333333333333336,-294.7432152564588
0.5,0.15,0.55,0.3,1.8333333333333335,0.5,10282,37,55.78310215230658,37.83783783783784,-234.00545312374015
0.3,0.1,0.55,0.35,1.5714285714285716,0.45,35476,187,54.7453433541491,39.037433155080215,-499.16996690278165
0.3,0.15,0.55,0.25,2.2,0.45,28636,160,52.10616670502259,33.75,-451.56587175244385
0.4,0.12,0.6,0.3,2.0,0.5,19149,72,50.107608977761174,40.27777777777778,-312.4291675902805
0.3,0.15,0.7,0.35,2.0,0.5,28636,89,47.020701472642486,34.831460674157306,-362.89156055479725
0.4,0.15,0.65,0.35,1.8571428571428574,0.5,17244,60,41.708411067478664,43.333333333333336,-215.3906403251449
0.4,0.1,0.6,0.3,2.0,0.45,20155,91,33.782752409441855,38.46153846153847,-361.9135053065597
0.4,0.12,0.6,0.3,2.0,0.45,19149,80,33.322289667065434,38.75,-324.1715973067894
0.3,0.15,0.55,0.3,1.8333333333333335,0.5,28636,133,27.772419389011247,36.09022556390977,-405.91682598166426
0.5,0.15,0.55,0.35,1.5714285714285716,0.5,10282,42,26.46422016369479,38.095238095238095,-216.86035971068486
0.5,0.15,0.65,0.4,1.625,0.5,10282,31,26.157011654986036,38.70967741935484,-215.89323372117724
0.5,0.15,0.7,0.3,2.3333333333333335,0.45,10282,27,25.66864236187166,33.33333333333333,-197.3098571542696
0.3,0.12,0.55,0.4,1.375,0.45,32746,168,25.39920129478469,41.07142857142857,-513.2999409306758
0.3,0.12,0.7,0.35,2.0,0.45,32746,104,21.80736399704074,35.57692307692308,-270.53854894295637
0.3,0.15,0.6,0.35,1.7142857142857144,0.5,28636,116,18.513947060979717,34.48275862068966,-487.15882215204783
0.5,0.15,0.65,0.3,2.166666666666667,0.5,10282,33,15.838599501282715,42.42424242424242,-201.00346347365667
0.5,0.12,0.7,0.35,2.0,0.45,11205,28,8.31867876917886,35.714285714285715,-202.85757663434651
0.4,0.15,0.65,0.3,2.166666666666667,0.5,17244,64,0.8970157119510986,40.625,-264.01259195919465
0.4,0.12,0.7,0.25,2.8,0.5,19149,57,-2.92272683650981,38.59649122807017,-283.0437108296255
0.4,0.12,0.65,0.35,1.8571428571428574,0.45,19149,67,-4.888033009457104,41.7910447761194,-296.28789688058987
0.4,0.12,0.55,0.4,1.375,0.45,19149,87,-14.47525280372065,41.37931034482759,-418.14493689519895
