tp,sl,horizon,trades,wr,net,avg,max_dd,tp_hit,sl_hit,timeout
15.0,15.0,10,2517,45.6,-1750.0,-0.7,-1912.1,375,393,1749
15.0,15.0,12,2517,45.6,-1657.9,-0.66,-1789.8,424,438,1655
15.0,15.0,15,2055,46.1,-1388.6,-0.68,-1689.6,445,493,1117
15.0,15.0,20,1989,46.0,-1484.7,-0.75,-1947.9,489,567,933
15.0,15.0,25,1989,46.0,-1542.0,-0.78,-2033.4,536,625,828
15.0,15.0,30,1873,45.1,-1536.0,-0.82,-2037.0,557,659,657
15.0,15.0,45,1802,45.4,-1694.4,-0.94,-2123.1,618,733,451
15.0,15.0,60,1757,45.5,-1690.0,-0.96,-2109.3,645,779,333
15.0,20.0,8,2517,44.9,-1688.9,-0.67,-1874.1,328,181,2008
15.0,20.0,10,2517,46.4,-1845.9,-0.73,-2013.7,387,224,1906
15.0,20.0,12,2517,46.6,-1797.4,-0.71,-1919.0,437,259,1821
15.0,20.0,15,1962,47.9,-1390.3,-0.71,-1650.5,440,290,1232
15.0,20.0,20,1878,48.5,-1342.6,-0.71,-1794.4,484,340,1054
15.0,20.0,25,1878,48.9,-1213.5,-0.65,-1766.5,538,380,960
15.0,20.0,30,1730,48.7,-1122.0,-0.65,-1721.7,563,409,758
15.0,20.0,45,1630,50.6,-1013.4,-0.62,-1469.8,617,458,555
15.0,20.0,60,1563,51.2,-990.0,-0.63,-1536.3,641,501,421
15.0,25.0,8,2517,45.3,-1622.0,-0.64,-1823.8,334,105,2078
15.0,25.0,10,2517,46.8,-1755.7,-0.7,-1936.3,394,129,1994
15.0,25.0,12,2517,47.0,-1732.3,-0.69,-1865.0,445,160,1912
15.0,25.0,15,1914,48.4,-1453.4,-0.76,-1878.6,433,184,1297
15.0,25.0,20,1820,49.4,-1355.8,-0.74,-2032.8,475,224,1121
15.0,25.0,25,1820,50.1,-1278.2,-0.7,-2055.7,528,252,1040
15.0,25.0,30,1646,49.9,-1274.2,-0.77,-2087.5,547,279,820
15.0,25.0,45,1527,52.4,-1256.4,-0.82,-1974.7,597,329,601
15.0,25.0,60,1453,53.9,-982.6,-0.68,-1865.7,624,355,474
15.0,30.0,8,2517,45.3,-1778.2,-0.71,-1976.5,335,69,2113
15.0,30.0,10,2517,46.9,-1934.3,-0.77,-2122.7,395,91,2031
15.0,30.0,12,2517,47.1,-1941.6,-0.77,-2082.9,446,110,1961
15.0,30.0,15,1886,48.8,-1493.7,-0.79,-1976.7,430,126,1330
15.0,30.0,20,1782,50.1,-1175.6,-0.66,-1908.5,473,145,1164
15.0,30.0,25,1782,50.8,-1056.5,-0.59,-1925.7,524,166,1092
15.0,30.0,30,1590,50.7,-1295.3,-0.81,-2138.8,532,193,865
15.0,30.0,45,1459,54.2,-956.3,-0.66,-1758.6,588,225,646
15.0,30.0,60,1375,56.3,-514.9,-0.37,-1491.2,612,258,505
15.0,35.0,8,2517,45.4,-1784.2,-0.71,-1977.5,336,50,2131
15.0,35.0,10,2517,47.0,-1938.3,-0.77,-2116.7,398,60,2059
15.0,35.0,12,2517,47.2,-1885.3,-0.75,-2011.5,449,70,1998
15.0,35.0,15,1866,49.0,-1400.1,-0.75,-1909.0,424,84,1358
15.0,35.0,20,1755,50.3,-1163.7,-0.66,-1935.2,465,104,1186
15.0,35.0,25,1755,51.1,-1061.2,-0.6,-1956.8,516,118,1121
15.0,35.0,30,1554,51.5,-1153.3,-0.74,-2071.1,526,138,890
15.0,35.0,45,1401,55.0,-961.1,-0.69,-1739.2,567,170,664
15.0,35.0,60,1312,57.3,-512.8,-0.39,-1478.3,587,187,538
20.0,10.0,8,2517,41.0,-1992.7,-0.79,-2107.6,154,701,1662
20.0,10.0,10,2517,41.6,-2088.8,-0.83,-2199.3,192,803,1522
20.0,10.0,12,2517,41.2,-2046.0,-0.81,-2109.0,222,865,1430
20.0,10.0,15,2094,39.2,-1719.0,-0.82,-1986.4,250,888,956
20.0,10.0,20,2011,38.0,-1611.9,-0.8,-2083.6,281,958,772
20.0,10.0,25,2011,37.0,-1697.7,-0.84,-2262.9,300,1026,685
20.0,10.0,30,1927,34.8,-1517.5,-0.79,-2089.0,328,1032,567
20.0,10.0,45,1853,33.2,-1806.1,-0.97,-2320.7,356,1107,390
20.0,10.0,60,1800,32.6,-1578.5,-0.88,-2092.0,385,1134,281
20.0,15.0,8,2517,43.5,-1751.1,-0.7,-1909.8,170,335,2012
20.0,15.0,10,2517,44.6,-1888.9,-0.75,-2058.3,211,404,1902
20.0,15.0,12,2517,44.7,-1783.8,-0.71,-1903.5,245,450,1822
20.0,15.0,15,1959,43.7,-1385.6,-0.71,-1718.7,273,485,1201
20.0,15.0,20,1860,43.5,-1360.8,-0.73,-1917.4,308,547,1005
20.0,15.0,25,1860,43.4,-1336.0,-0.72,-1980.6,332,609,919
20.0,15.0,30,1729,41.6,-1275.1,-0.74,-1909.8,358,642,729
20.0,15.0,45,1624,41.2,-1471.1,-0.91,-1982.4,393,702,529
20.0,15.0,60,1546,41.3,-1250.3,-0.81,-1879.9,415,735,396
20.0,20.0,8,2517,44.2,-1763.9,-0.7,-1944.5,178,184,2155
20.0,20.0,10,2517,45.5,-1944.6,-0.77,-2119.7,221,229,2067
20.0,20.0,12,2517,45.6,-1883.7,-0.75,-1993.1,257,266,1994
20.0,20.0,15,1869,45.6,-1309.3,-0.7,-1631.3,273,285,1311
20.0,20.0,20,1754,45.6,-1405.1,-0.8,-1927.5,301,334,1119
20.0,20.0,25,1754,45.9,-1186.8,-0.68,-1879.0,332,373,1049
20.0,20.0,30,1596,44.7,-1066.8,-0.67,-1779.6,361,404,831
20.0,20.0,45,1460,45.8,-979.6,-0.67,-1452.7,392,443,625
20.0,20.0,60,1374,46.6,-779.7,-0.57,-1398.3,411,480,483
20.0,25.0,8,2517,44.5,-1682.1,-0.67,-1879.3,184,108,2225
20.0,25.0,10,2517,45.9,-1835.2,-0.73,-2023.1,228,133,2156
20.0,25.0,12,2517,46.1,-1817.6,-0.72,-1938.1,264,166,2087
20.0,25.0,15,1826,46.4,-1207.2,-0.66,-1728.5,271,177,1378
20.0,25.0,20,1701,47.0,-1145.0,-0.67,-1906.0,303,217,1181
20.0,25.0,25,1701,47.7,-985.5,-0.58,-1873.3,335,246,1120
20.0,25.0,30,1529,46.8,-956.9,-0.63,-1925.6,360,278,891
20.0,25.0,45,1373,48.3,-889.2,-0.65,-1690.9,391,314,668
20.0,25.0,60,1277,49.8,-592.7,-0.46,-1639.7,411,343,523
20.0,30.0,8,2517,44.6,-1848.2,-0.73,-2041.9,185,72,2260
20.0,30.0,10,2517,46.0,-2024.2,-0.8,-2219.9,229,94,2194
20.0,30.0,12,2517,46.2,-2022.6,-0.8,-2151.7,265,114,2138
20.0,30.0,15,1806,46.8,-1354.4,-0.75,-1933.5,270,129,1407
20.0,30.0,20,1667,47.8,-998.3,-0.6,-1813.7,302,142,1223
20.0,30.0,25,1667,48.5,-723.5,-0.43,-1718.8,334,161,1172
20.0,30.0,30,1482,47.6,-860.3,-0.58,-1851.3,353,186,943
20.0,30.0,45,1314,50.2,-477.3,-0.36,-1295.0,388,216,710
20.0,30.0,60,1211,52.4,5.4,0.0,-1101.7,407,245,559
20.0,35.0,8,2517,44.7,-1807.6,-0.72,-2011.6,186,51,2280
20.0,35.0,10,2517,46.1,-2004.9,-0.8,-2219.0,231,61,2225
20.0,35.0,12,2517,46.3,-1991.1,-0.79,-2150.1,267,72,2178
20.0,35.0,15,1788,47.0,-1258.2,-0.7,-1858.2,265,86,1437
20.0,35.0,20,1644,48.1,-933.5,-0.57,-1782.5,296,102,1246
20.0,35.0,25,1644,48.8,-690.4,-0.42,-1709.5,327,114,1203
20.0,35.0,30,1448,48.4,-612.0,-0.42,-1751.2,350,128,970
20.0,35.0,45,1268,51.2,-256.8,-0.2,-1349.2,384,161,723
20.0,35.0,60,1159,53.8,369.1,0.32,-936.2,400,173,586
25.0,10.0,8,2517,40.8,-1894.4,-0.75,-2047.0,101,705,1711
25.0,10.0,10,2517,41.4,-2014.6,-0.8,-2159.1,124,809,1584
25.0,10.0,12,2517,40.8,-1936.0,-0.77,-2043.5,147,871,1499
25.0,10.0,15,2059,38.3,-1456.5,-0.71,-1775.2,176,878,1005
25.0,10.0,20,1937,37.3,-1318.0,-0.68,-1826.0,191,928,818
25.0,10.0,25,1937,36.2,-1401.2,-0.72,-1983.0,201,994,742
25.0,10.0,30,1830,33.7,-1116.7,-0.61,-1754.9,219,991,620
25.0,10.0,45,1728,31.0,-1482.3,-0.86,-2017.7,233,1056,439
25.0,10.0,60,1648,30.5,-1144.0,-0.69,-1821.7,256,1066,326
25.0,15.0,8,2517,43.3,-1661.1,-0.66,-1862.6,113,338,2066
25.0,15.0,10,2517,44.4,-1821.7,-0.72,-2026.5,137,409,1971
