signal_ts,side,p_long,p_short,p_pick,pnl,exit_reason,scaled_half,bars_held,win
2026-04-02 10:42:00+00:00,1,0.8545058369636536,0.26479586958885193,0.8545058369636536,-5.989999999999782,timeout,False,10,False
2026-04-02 10:48:00+00:00,-1,0.471170574426651,0.6180539727210999,0.6180539727210999,5.0,trail_stop,True,3,True
2026-04-02 11:42:00+00:00,1,0.7992964386940002,0.6526667475700378,0.7992964386940002,5.0,trail_stop,True,2,True
2026-04-02 13:00:00+00:00,-1,0.5953508615493774,0.8280143737792969,0.8280143737792969,-20.0,stop_loss,False,4,False
2026-04-02 13:03:00+00:00,-1,0.5471504330635071,0.8610430955886841,0.8610430955886841,-20.0,stop_loss,False,2,False
2026-04-02 13:06:00+00:00,-1,0.5938462018966675,0.6441177129745483,0.6441177129745483,5.0,trail_stop,True,2,True
2026-04-06 07:52:00+00:00,1,0.7087581157684326,0.5191197395324707,0.7087581157684326,5.0,trail_stop,True,5,True
2026-04-06 08:04:00+00:00,-1,0.5539013743400574,0.6678617596626282,0.6678617596626282,7.5,target_full,True,2,True
2026-04-06 10:46:00+00:00,-1,0.35134223103523254,0.6794565320014954,0.6794565320014954,-4.449999999999818,timeout,False,10,False
2026-04-06 12:25:00+00:00,1,0.5830307006835938,0.40462419390678406,0.5830307006835938,5.0,trail_stop,True,2,True
2026-04-06 13:07:00+00:00,1,0.7387199997901917,0.4274010956287384,0.7387199997901917,5.0,trail_stop,True,2,True
2026-04-06 13:37:00+00:00,-1,0.3911995589733124,0.7911450862884521,0.7911450862884521,-2.630000000000109,timeout,False,10,False
2026-04-06 15:37:00+00:00,1,0.7719358205795288,0.6512913703918457,0.7719358205795288,5.0,trail_stop,True,9,True
2026-04-07 08:02:00+00:00,1,0.6999695897102356,0.4029037058353424,0.6999695897102356,4.474999999999909,timeout,True,10,True
2026-04-07 08:14:00+00:00,-1,0.43342334032058716,0.7516739964485168,0.7516739964485168,5.0,trail_stop,True,3,True
2026-04-07 10:26:00+00:00,1,0.7972943186759949,0.6609228253364563,0.7972943186759949,5.0,trail_stop,True,2,True
2026-04-07 12:08:00+00:00,1,0.7144928574562073,0.426209032535553,0.7144928574562073,5.0,trail_stop,True,10,True
2026-04-07 12:44:00+00:00,1,0.6300070285797119,0.4059656858444214,0.6300070285797119,3.4900000000002365,timeout,True,10,True
2026-04-07 12:56:00+00:00,1,0.8371692895889282,0.46284693479537964,0.8371692895889282,5.0,trail_stop,True,10,True
2026-04-07 13:35:00+00:00,-1,0.4974265992641449,0.8782758712768555,0.8782758712768555,7.5,target_full,True,5,True
2026-04-07 13:41:00+00:00,-1,0.532148540019989,0.7363364100456238,0.7363364100456238,-9.609999999999673,timeout,False,10,False
