side,entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,matched_pattern,exit_time,exit_price,exit_reason,pnl,source,pattern
1,2026-01-30 02:37:00+00:00,5194.87,5179.87,5219.49,2026-01-30 02:52:00+00:00,1,0,0.5550020337104797,0.5550020337104797,20.0,15.0,15,uptrend_retrace,2026-01-30 02:39:00+00:00,5219.49,target_hit,24.61999999999989,pattern,uptrend_retrace
1,2026-01-30 03:17:00+00:00,5191.2,5176.2,5214.02,2026-01-30 03:32:00+00:00,1,0,0.6678900122642517,0.6678900122642517,20.0,15.0,15,uptrend_retrace,2026-01-30 03:22:00+00:00,5176.2,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-01-30 03:23:00+00:00,5178.89,5163.89,5198.89,2026-01-30 03:38:00+00:00,0,0,0.5977562069892883,0.5977562069892883,20.0,15.0,15,uptrend_retrace,2026-01-30 03:25:00+00:00,5198.89,target_hit,20.0,pattern,uptrend_retrace
1,2026-01-30 08:38:00+00:00,5084.98,5069.98,5140.62,2026-01-30 09:22:00+00:00,12,0,0.7657335996627808,0.7657335996627808,20.0,15.0,15,uptrend_retrace,2026-01-30 09:08:00+00:00,5069.98,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-01-30 14:01:00+00:00,5027.48,5012.48,5047.48,2026-01-30 14:16:00+00:00,0,0,0.6554020643234253,0.6554020643234253,20.0,15.0,15,uptrend_retrace,2026-01-30 14:01:00+00:00,5047.48,target_hit,20.0,pattern,uptrend_retrace
1,2026-02-01 23:35:00+00:00,4748.72,4733.72,4768.72,2026-02-01 23:50:00+00:00,0,0,0.5663644075393677,0.5663644075393677,20.0,15.0,15,uptrend_retrace,2026-02-01 23:37:00+00:00,4768.72,target_hit,20.0,pattern,uptrend_retrace
1,2026-02-01 23:54:00+00:00,4741.4,4726.4,4761.4,2026-02-02 00:09:00+00:00,0,0,0.5945726633071899,0.5945726633071899,20.0,15.0,15,uptrend_retrace,2026-02-02 00:01:00+00:00,4761.4,target_hit,20.0,pattern,uptrend_retrace
1,2026-02-02 04:02:00+00:00,4620.35,4605.35,4640.35,2026-02-02 04:18:00+00:00,2,0,0.6541914939880371,0.6541914939880371,20.0,15.0,15,uptrend_retrace,2026-02-02 04:05:00+00:00,4605.35,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-02-02 04:08:00+00:00,4635.54,4620.54,4655.54,2026-02-02 04:23:00+00:00,0,0,0.6350760459899902,0.6350760459899902,20.0,15.0,15,uptrend_retrace,2026-02-02 04:09:00+00:00,4655.54,target_hit,20.0,pattern,uptrend_retrace
1,2026-02-02 06:03:00+00:00,4553.3,4538.3,4583.9,2026-02-02 06:20:00+00:00,3,0,0.6441699862480164,0.6441699862480164,20.0,15.0,15,uptrend_retrace,2026-02-02 06:06:00+00:00,4538.3,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-02-02 06:07:00+00:00,4536.96,4521.96,4556.96,2026-02-02 06:22:00+00:00,0,0,0.6861369609832764,0.6861369609832764,20.0,15.0,15,uptrend_retrace,2026-02-02 06:08:00+00:00,4521.96,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-02-02 06:09:00+00:00,4535.65,4520.65,4555.65,2026-02-02 06:24:00+00:00,0,0,0.6371076703071594,0.6371076703071594,20.0,15.0,15,uptrend_retrace,2026-02-02 06:09:00+00:00,4555.65,target_hit,20.0,pattern,uptrend_retrace
1,2026-02-02 06:11:00+00:00,4552.55,4537.55,4576.95,2026-02-02 06:27:00+00:00,2,0,0.7163776755332947,0.7163776755332947,20.0,15.0,15,uptrend_retrace,2026-02-02 06:13:00+00:00,4537.55,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-02-02 06:14:00+00:00,4534.8,4519.8,4564.35,2026-02-02 06:31:00+00:00,3,0,0.708966076374054,0.708966076374054,20.0,15.0,15,uptrend_retrace,2026-02-02 06:17:00+00:00,4519.8,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-02-02 06:20:00+00:00,4531.19,4516.19,4551.19,2026-02-02 06:35:00+00:00,0,0,0.5811618566513062,0.5811618566513062,20.0,15.0,15,uptrend_retrace,2026-02-02 06:20:00+00:00,4516.19,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-02-02 06:29:00+00:00,4475.55,4460.55,4505.95,2026-02-02 06:50:00+00:00,6,0,0.6073819398880005,0.6073819398880005,20.0,15.0,15,uptrend_retrace,2026-02-02 06:36:00+00:00,4460.55,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-02-02 06:43:00+00:00,4440.92,4425.92,4460.92,2026-02-02 06:58:00+00:00,0,0,0.6017577648162842,0.6017577648162842,20.0,15.0,15,uptrend_retrace,2026-02-02 06:45:00+00:00,4460.92,target_hit,20.0,pattern,uptrend_retrace
1,2026-02-02 06:49:00+00:00,4445.69,4430.69,4465.69,2026-02-02 07:04:00+00:00,0,0,0.612307071685791,0.612307071685791,20.0,15.0,15,uptrend_retrace,2026-02-02 06:49:00+00:00,4430.69,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-02-02 06:50:00+00:00,4440.65,4425.65,4460.65,2026-02-02 07:05:00+00:00,0,0,0.6026880145072937,0.6026880145072937,20.0,15.0,15,uptrend_retrace,2026-02-02 06:50:00+00:00,4460.65,target_hit,20.0,pattern,uptrend_retrace
1,2026-02-02 23:09:00+00:00,4716.73,4696.73,4763.2,2026-02-02 23:31:00+00:00,5,0,0.8238957524299622,0.8238957524299622,40.0,20.0,15,breakthrough_long,2026-02-02 23:26:00+00:00,4763.2,target_hit,46.470000000000255,pattern,breakthrough_long
1,2026-02-02 23:50:00+00:00,4755.67,4735.67,4795.67,2026-02-03 00:05:00+00:00,0,0,0.9847874045372009,0.9847874045372009,40.0,20.0,15,breakthrough_long,2026-02-03 00:04:00+00:00,4795.67,target_hit,40.0,pattern,breakthrough_long
1,2026-02-04 00:03:00+00:00,4956.71,4936.71,4997.05,2026-02-04 00:19:00+00:00,2,0,0.9949741363525391,0.9949741363525391,40.0,20.0,15,breakthrough_long,2026-02-04 00:17:00+00:00,4997.05,target_hit,40.340000000000146,pattern,breakthrough_long
1,2026-02-05 09:04:00+00:00,4888.19,4873.19,4908.19,2026-02-05 09:19:00+00:00,0,0,0.5811767578125,0.5811767578125,20.0,15.0,15,uptrend_retrace,2026-02-05 09:11:00+00:00,4873.19,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-02-05 09:24:00+00:00,4878.29,4863.29,4898.29,2026-02-05 09:39:00+00:00,0,0,0.7253149747848511,0.7253149747848511,20.0,15.0,15,uptrend_retrace,2026-02-05 09:39:00+00:00,4886.79,timeout,8.5,pattern,uptrend_retrace
-1,2026-02-05 12:14:00+00:00,4839.42,4869.42,4799.42,2026-02-05 12:44:00+00:00,0,0,0.5953566431999207,0.40464335680007935,40.0,30.0,30,breakthrough_short,2026-02-05 12:35:00+00:00,4869.42,stop_loss,-30.0,pattern,breakthrough_short
1,2026-02-06 14:27:00+00:00,4903.6,4888.6,4923.6,2026-02-06 14:42:00+00:00,0,0,0.6009427905082703,0.6009427905082703,20.0,15.0,15,uptrend_retrace,2026-02-06 14:32:00+00:00,4923.6,target_hit,20.0,pattern,uptrend_retrace
1,2026-02-08 23:17:00+00:00,4981.34,4961.34,5037.54,2026-02-08 23:39:00+00:00,5,0,0.9937963485717773,0.9937963485717773,40.0,20.0,15,breakthrough_long,2026-02-08 23:33:00+00:00,5037.54,target_hit,56.19999999999982,pattern,breakthrough_long
-1,2026-02-18 19:30:00+00:00,4978.35,5008.35,4937.67,2026-02-18 19:48:00+00:00,2,0,0.6436852812767029,0.3563147187232971,40.0,30.0,15,downtrend_retrace,2026-02-18 19:48:00+00:00,4980.52,timeout,-2.1700000000000728,pattern,downtrend_retrace
1,2026-02-24 01:48:00+00:00,5177.9,5162.9,5197.9,2026-02-24 02:03:00+00:00,0,0,0.6050416827201843,0.6050416827201843,20.0,15.0,15,uptrend_retrace,2026-02-24 02:03:00+00:00,5174.5,timeout,-3.399999999999636,pattern,uptrend_retrace
1,2026-03-02 01:25:00+00:00,5323.71,5308.71,5345.54,2026-03-02 01:43:00+00:00,3,0,0.5767146944999695,0.5767146944999695,20.0,15.0,15,uptrend_retrace,2026-03-02 01:29:00+00:00,5308.71,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-03-02 01:30:00+00:00,5307.19,5292.19,5327.19,2026-03-02 01:45:00+00:00,0,0,0.6198176145553589,0.6198176145553589,20.0,15.0,15,uptrend_retrace,2026-03-02 01:34:00+00:00,5327.19,target_hit,20.0,pattern,uptrend_retrace
1,2026-03-02 01:58:00+00:00,5329.76,5314.76,5350.58,2026-03-02 02:20:00+00:00,8,0,0.6855194568634033,0.6855194568634033,20.0,15.0,15,uptrend_retrace,2026-03-02 02:20:00+00:00,5330.62,timeout,0.8599999999996726,pattern,uptrend_retrace
-1,2026-03-02 14:35:00+00:00,5316.19,5346.19,5276.19,2026-03-02 14:50:00+00:00,0,0,0.6742894649505615,0.3257105350494385,40.0,30.0,15,reversal_fvg_short,2026-03-02 14:39:00+00:00,5346.19,stop_loss,-30.0,pattern,reversal_fvg_short
1,2026-03-03 09:38:00+00:00,5263.56,5248.56,5297.63,2026-03-03 10:07:00+00:00,13,0,0.6902726292610168,0.6902726292610168,20.0,15.0,15,uptrend_retrace,2026-03-03 10:07:00+00:00,5276.51,timeout,12.949999999999818,pattern,uptrend_retrace
1,2026-03-03 10:33:00+00:00,5271.9,5256.9,5291.9,2026-03-03 10:48:00+00:00,0,0,0.5965973734855652,0.5965973734855652,20.0,15.0,15,uptrend_retrace,2026-03-03 10:38:00+00:00,5256.9,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-03-03 11:11:00+00:00,5198.47,5183.47,5229.24,2026-03-03 11:31:00+00:00,6,0,0.7693480253219604,0.7693480253219604,20.0,15.0,15,uptrend_retrace,2026-03-03 11:17:00+00:00,5183.47,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-03-03 11:19:00+00:00,5197.99,5182.99,5225.56,2026-03-03 11:38:00+00:00,5,0,0.7503980398178101,0.7503980398178101,20.0,15.0,15,uptrend_retrace,2026-03-03 11:25:00+00:00,5182.99,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-03-03 11:35:00+00:00,5116.83,5101.83,5173.63,2026-03-03 12:10:00+00:00,21,0,0.9184757471084595,0.9184757471084595,20.0,15.0,15,uptrend_retrace,2026-03-03 12:07:00+00:00,5173.63,target_hit,56.80000000000018,pattern,uptrend_retrace
1,2026-03-03 13:20:00+00:00,5176.13,5161.13,5200.63,2026-03-03 13:37:00+00:00,3,0,0.708567202091217,0.708567202091217,20.0,15.0,15,uptrend_retrace,2026-03-03 13:23:00+00:00,5161.13,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-03-03 13:24:00+00:00,5166.65,5151.65,5195.94,2026-03-03 13:51:00+00:00,4,0,0.7475042939186096,0.7475042939186096,20.0,15.0,15,uptrend_retrace,2026-03-03 13:40:00+00:00,5151.65,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-03-03 15:01:00+00:00,5051.58,5036.58,5080.75,2026-03-03 15:18:00+00:00,3,0,0.8507201671600342,0.8507201671600342,20.0,15.0,15,uptrend_retrace,2026-03-03 15:04:00+00:00,5036.58,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-03-03 15:06:00+00:00,5047.42,5032.42,5076.65,2026-03-03 15:24:00+00:00,4,0,0.8568724393844604,0.8568724393844604,20.0,15.0,15,uptrend_retrace,2026-03-03 15:13:00+00:00,5032.42,stop_loss,-15.0,pattern,uptrend_retrace
-1,2026-03-03 15:18:00+00:00,5003.77,5033.77,4963.77,2026-03-03 15:33:00+00:00,0,0,0.5955337285995483,0.40446627140045166,40.0,30.0,15,reversal_fvg_short,2026-03-03 15:20:00+00:00,5033.77,stop_loss,-30.0,pattern,reversal_fvg_short
1,2026-03-03 15:21:00+00:00,5032.46,5017.46,5065.04,2026-03-03 15:44:00+00:00,8,0,0.6886157393455505,0.6886157393455505,20.0,15.0,15,uptrend_retrace,2026-03-03 15:37:00+00:00,5065.04,target_hit,32.57999999999993,pattern,uptrend_retrace
1,2026-03-05 13:27:00+00:00,5115.42,5100.42,5153.47,2026-03-05 14:12:00+00:00,12,0,0.6181022524833679,0.6181022524833679,20.0,15.0,15,uptrend_retrace,2026-03-05 14:12:00+00:00,5117.31,timeout,1.8900000000003274,pattern,uptrend_retrace
1,2026-03-08 22:28:00+00:00,5150.02,5135.02,5176.32,2026-03-08 22:48:00+00:00,2,0,0.5957546830177307,0.5957546830177307,20.0,15.0,15,uptrend_retrace,2026-03-08 22:39:00+00:00,5135.02,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-03-08 23:01:00+00:00,5135.52,5120.52,5155.52,2026-03-08 23:16:00+00:00,0,0,0.63275146484375,0.63275146484375,20.0,15.0,15,uptrend_retrace,2026-03-08 23:02:00+00:00,5120.52,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-03-08 23:46:00+00:00,5077.51,5062.51,5097.51,2026-03-09 00:01:00+00:00,0,0,0.615385890007019,0.615385890007019,20.0,15.0,15,uptrend_retrace,2026-03-08 23:47:00+00:00,5062.51,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-03-08 23:58:00+00:00,5075.65,5060.65,5095.83,2026-03-09 00:14:00+00:00,2,0,0.8635450005531311,0.8635450005531311,20.0,15.0,15,uptrend_retrace,2026-03-09 00:02:00+00:00,5060.65,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-03-09 01:06:00+00:00,5050.77,5035.77,5070.77,2026-03-09 01:25:00+00:00,1,0,0.6141447424888611,0.6141447424888611,20.0,15.0,15,uptrend_retrace,2026-03-09 01:14:00+00:00,5070.77,target_hit,20.0,pattern,uptrend_retrace
-1,2026-03-15 23:50:00+00:00,4974.17,5004.17,4934.17,2026-03-16 00:05:00+00:00,0,0,0.7446513175964355,0.25534868240356445,40.0,30.0,15,reversal_fvg_short,2026-03-16 00:00:00+00:00,5004.17,stop_loss,-30.0,pattern,reversal_fvg_short
-1,2026-03-16 01:33:00+00:00,4986.62,5016.62,4946.62,2026-03-16 01:48:00+00:00,0,0,0.5713827013969421,0.42861729860305786,40.0,30.0,15,reversal_fvg_short,2026-03-16 01:48:00+00:00,5007.19,timeout,-20.56999999999971,pattern,reversal_fvg_short
1,2026-03-19 07:09:00+00:00,4781.0,4766.0,4801.0,2026-03-19 07:29:00+00:00,4,0,0.695685088634491,0.695685088634491,20.0,15.0,15,uptrend_retrace,2026-03-19 07:22:00+00:00,4766.0,stop_loss,-15.0,pattern,uptrend_retrace
