side,signal_ts,entry_time,entry_price,entry_style,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,slot_low,slot_high,stop_mode,entry_struct_trend,target_updates,exit_time,exit_price,exit_reason,pnl,win,hold_min
1,2026-01-15 14:15:00+00:00,2026-01-15 14:17:00+00:00,4599.08,breakout_next_open,4588.34,4631.299999999999,10.739999999999782,32.219999999999345,120,2026-01-15 16:45:00+00:00,4588.34,4593.83,4583.58,4600.34,impulse_bar,1,1,2026-01-15 16:45:00+00:00,4606.21,timeout,7.130000000000109,True,148.0
1,2026-01-20 13:45:00+00:00,2026-01-20 13:47:00+00:00,4730.25,breakout_next_open,4715.98,4773.060000000001,14.270000000000437,42.81000000000131,120,2026-01-20 17:45:00+00:00,4715.98,4728.49,4715.29,4730.54,impulse_bar,1,1,2026-01-20 17:45:00+00:00,4752.99,timeout,22.73999999999978,True,238.0
1,2026-01-20 17:45:00+00:00,2026-01-20 17:51:00+00:00,4757.25,breakout_next_open,4752.76,4770.719999999999,4.489999999999782,13.469999999999345,120,2026-01-20 19:51:00+00:00,4752.76,4757.7,4752.07,4757.7,impulse_bar,1,0,2026-01-20 18:53:00+00:00,4752.76,stop_loss,-4.489999999999782,False,62.0
1,2026-01-21 08:15:00+00:00,2026-01-21 08:19:00+00:00,4866.45,breakout_next_open,4859.6,4886.999999999998,6.849999999999454,20.549999999998363,120,2026-01-21 10:30:00+00:00,4859.6,4864.14,4853.93,4864.14,impulse_bar,1,1,2026-01-21 08:42:00+00:00,4859.6,stop_loss,-6.849999999999454,False,23.0
1,2026-01-21 09:30:00+00:00,2026-01-21 09:34:00+00:00,4869.61,breakout_next_open,4859.27,4900.629999999997,10.339999999999236,31.019999999997708,120,2026-01-21 11:34:00+00:00,4859.27,4862.84,4858.04,4876.61,impulse_bar,1,0,2026-01-21 09:59:00+00:00,4859.27,stop_loss,-10.339999999999236,False,25.0
1,2026-01-21 10:15:00+00:00,2026-01-21 10:21:00+00:00,4864.29,breakout_next_open,4860.32,4876.200000000001,3.9700000000002547,11.910000000000764,120,2026-01-21 12:21:00+00:00,4860.32,4864.34,4859.51,4867.09,impulse_bar,1,0,2026-01-21 10:29:00+00:00,4860.32,stop_loss,-3.9700000000002547,False,8.0
1,2026-01-21 13:45:00+00:00,2026-01-21 13:54:00+00:00,4877.44,breakout_next_open,4872.94,4890.94,4.5,13.5,120,2026-01-21 15:54:00+00:00,4872.94,4877.44,4866.88,4879.13,impulse_bar,1,0,2026-01-21 14:00:00+00:00,4879.03,structure_change,1.5900000000001455,True,6.0
1,2026-01-23 09:45:00+00:00,2026-01-23 09:47:00+00:00,4916.39,breakout_next_open,4906.75,4945.310000000001,9.640000000000327,28.920000000000982,120,2026-01-23 14:30:00+00:00,4906.75,4912.46,4903.17,4917.98,impulse_bar,1,4,2026-01-23 13:06:00+00:00,4945.310000000001,target_hit,28.920000000000982,True,199.0
1,2026-01-23 13:15:00+00:00,2026-01-23 13:17:00+00:00,4939.73,breakout_next_open,4933.8,4957.519999999998,5.9299999999993815,17.789999999998145,120,2026-01-23 15:17:00+00:00,4933.8,4940.2,4933.65,4948.18,impulse_bar,1,0,2026-01-23 13:20:00+00:00,4933.8,stop_loss,-5.9299999999993815,False,3.0
1,2026-01-23 13:45:00+00:00,2026-01-23 13:48:00+00:00,4938.18,breakout_next_open,4930.54,4961.100000000001,7.640000000000327,22.920000000000982,120,2026-01-23 17:15:00+00:00,4930.54,4936.93,4927.61,4939.58,impulse_bar,1,1,2026-01-23 15:43:00+00:00,4961.100000000001,target_hit,22.920000000000982,True,115.0
1,2026-01-23 15:45:00+00:00,2026-01-23 15:47:00+00:00,4960.74,breakout_next_open,4944.05,5010.809999999999,16.6899999999996,50.0699999999988,120,2026-01-23 20:15:00+00:00,4944.05,4950.33,4944.05,4961.25,impulse_bar,1,3,2026-01-23 20:15:00+00:00,4983.9,timeout,23.159999999999854,True,268.0
1,2026-01-26 16:00:00+00:00,2026-01-26 16:02:00+00:00,5092.17,breakout_next_open,5079.12,5131.320000000001,13.050000000000182,39.150000000000546,120,2026-01-26 18:02:00+00:00,5079.12,5084.97,5077.79,5095.3,impulse_bar,1,0,2026-01-26 16:28:00+00:00,5079.12,stop_loss,-13.050000000000182,False,26.0
1,2026-01-26 16:45:00+00:00,2026-01-26 16:47:00+00:00,5081.55,breakout_next_open,5072.94,5107.380000000002,8.610000000000582,25.830000000001746,120,2026-01-26 18:47:00+00:00,5072.94,5081.59,5065.41,5083.58,impulse_bar,1,0,2026-01-26 18:00:00+00:00,5100.58,structure_change,19.029999999999745,True,73.0
-1,2026-01-27 10:45:00+00:00,2026-01-27 10:47:00+00:00,5082.91,breakout_next_open,5088.4,5066.4400000000005,5.489999999999782,16.469999999999345,120,2026-01-27 12:47:00+00:00,5084.46,5088.4,5082.05,5089.52,impulse_bar,-1,0,2026-01-27 11:09:00+00:00,5088.4,stop_loss,-5.489999999999782,False,22.0
