entry,exit,pnl,reason,type,side,_leg,_prob,entry_price,exit_price
2026-04-10 12:45:00+00:00,2026-04-10 13:00:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.6102050542831421,,
2026-04-10 13:15:00+00:00,2026-04-10 13:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.5965136885643005,,
2026-04-10 13:30:00+00:00,2026-04-10 13:45:00+00:00,30.0,tp,ret_short,-1,ret_short,0.5654104948043823,,
2026-04-10 14:00:00+00:00,2026-04-10 14:15:00+00:00,-15.0,sl,ret,1,ret,0.7439656257629395,,
2026-04-10 15:00:00+00:00,2026-04-10 15:15:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.5788416862487793,,
2026-04-10 15:45:00+00:00,2026-04-10 16:00:00+00:00,30.0,tp,ret_short,-1,ret_short,0.5956095457077026,,
2026-04-10 16:00:00+00:00,2026-04-10 16:15:00+00:00,-15.0,sl,ret,1,ret,0.8035529255867004,,
2026-04-13 07:00:00+00:00,2026-04-13 07:15:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6662367582321167,,
2026-04-13 07:45:00+00:00,2026-04-13 08:00:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.5635128021240234,,
2026-04-13 08:00:00+00:00,2026-04-13 08:15:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.5541544556617737,,
2026-04-13 09:15:00+00:00,2026-04-13 10:15:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.8537375330924988,,
2026-04-13 11:15:00+00:00,2026-04-13 11:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7241454720497131,,
2026-04-13 11:45:00+00:00,2026-04-13 12:00:00+00:00,30.0,tp,ret_short,-1,ret_short,0.6682780385017395,,
2026-04-13 14:15:00+00:00,2026-04-13 14:30:00+00:00,30.0,tp,ret_short,-1,ret_short,0.7763128280639648,,
2026-04-13 15:30:00+00:00,2026-04-13 15:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.5947421789169312,,
2026-04-14 09:15:00+00:00,2026-04-14 09:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.809207558631897,,
2026-04-14 10:30:00+00:00,2026-04-14 10:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7577404975891113,,
2026-04-14 11:00:00+00:00,2026-04-14 11:30:00+00:00,30.0,tp,ret_short,-1,ret_short,0.7409020662307739,,
2026-04-14 11:58:00+00:00,2026-04-14 13:28:00+00:00,82.0,timeout,short_impulse,-1,si,0.5102561588247503,,
2026-04-14 15:00:00+00:00,2026-04-14 15:15:00+00:00,30.0,tp,ret_short,-1,ret_short,0.7869927287101746,,
2026-04-15 07:00:00+00:00,2026-04-15 07:15:00+00:00,30.0,tp,long_retrace,1,long_ret,0.6264188885688782,,
2026-04-15 07:15:00+00:00,2026-04-15 07:30:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.5620647072792053,,
2026-04-15 07:30:00+00:00,2026-04-15 07:45:00+00:00,-15.0,sl,ret,1,ret,0.6220059990882874,,
2026-04-15 07:45:00+00:00,2026-04-15 08:00:00+00:00,30.0,tp,ret,1,ret,0.7053463459014893,,
2026-04-15 08:45:00+00:00,2026-04-15 09:00:00+00:00,30.0,tp,ret,1,ret,0.6141959428787231,,
2026-04-15 09:00:00+00:00,2026-04-15 09:15:00+00:00,30.0,tp,ret_short,-1,ret_short,0.6085246205329895,,
2026-04-15 09:45:00+00:00,2026-04-15 10:00:00+00:00,-15.0,sl,ret,1,ret,0.8070411682128906,,
2026-04-15 10:15:00+00:00,2026-04-15 10:30:00+00:00,30.0,tp,ret_short,-1,ret_short,0.6757717728614807,,
2026-04-15 10:30:00+00:00,2026-04-15 10:45:00+00:00,-15.0,sl,ret,1,ret,0.7961581945419312,,
2026-04-15 11:00:00+00:00,2026-04-15 11:15:00+00:00,-15.0,sl,ret,1,ret,0.5733725428581238,,
2026-04-15 13:30:00+00:00,2026-04-15 13:45:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.6043249368667603,,
2026-04-15 13:45:00+00:00,2026-04-15 14:00:00+00:00,-15.0,sl,ret,1,ret,0.6807749271392822,,
2026-04-15 14:15:00+00:00,2026-04-15 14:30:00+00:00,30.0,tp,ret,1,ret,0.7062718272209167,,
2026-04-15 14:45:00+00:00,2026-04-15 15:00:00+00:00,30.0,tp,long_retrace,1,long_ret,0.6773171424865723,,
2026-04-15 16:15:00+00:00,2026-04-15 16:30:00+00:00,-15.0,sl,ret,1,ret,0.5811852216720581,,
2026-04-16 11:15:00+00:00,2026-04-16 11:45:00+00:00,30.0,tp,ret_short,-1,ret_short,0.7468143105506897,,
2026-04-16 12:15:00+00:00,2026-04-16 12:30:00+00:00,30.0,tp,long_retrace,1,long_ret,0.7660840153694153,,
2026-04-16 12:45:00+00:00,2026-04-16 13:00:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.6338517069816589,,
2026-04-16 13:15:00+00:00,2026-04-16 13:30:00+00:00,30.0,tp,ret,1,ret,0.6857949495315552,,
2026-04-16 14:30:00+00:00,2026-04-16 14:45:00+00:00,30.0,tp,ret,1,ret,0.7814797759056091,,
2026-04-16 15:45:00+00:00,2026-04-16 16:00:00+00:00,30.0,tp,ret,1,ret,0.7825986742973328,,
2026-04-16 16:00:00+00:00,2026-04-16 16:15:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.606695294380188,,
2026-04-16 16:15:00+00:00,2026-04-16 16:30:00+00:00,30.0,tp,ret,1,ret,0.6495482921600342,,
2026-04-17 10:15:00+00:00,2026-04-17 10:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6089427471160889,,
