name,pt,fh,sh,ob,cool,os,rec,slk,eh,tpx,slx,rr,hr_global,nt,pnl,wr,dd
F30S240_O-20C-40O-70R-50K10_H360_TP35SL20,0.5,30,240,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,25.624999999999996,0,-999.0,0.0,0.0
F30S240_O-20C-40O-70R-50K10_H360_TP35SL20,0.45,30,240,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,25.624999999999996,0,-999.0,0.0,0.0
F30S240_O-20C-40O-70R-50K10_H360_TP35SL20,0.4,30,240,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,25.624999999999996,0,-999.0,0.0,0.0
F30S240_O-20C-40O-70R-50K10_H240_TP30SL15,0.55,30,240,-20,-40,-70,-50,10,240,0.3,0.15,2.0,25.624999999999996,0,-999.0,0.0,0.0
F30S240_O-20C-40O-70R-50K10_H240_TP30SL20,0.5,30,240,-20,-40,-70,-50,10,240,0.3,0.2,1.4999999999999998,26.875,0,-999.0,0.0,0.0
F30S240_O-20C-40O-70R-50K10_H240_TP30SL15,0.45,30,240,-20,-40,-70,-50,10,240,0.3,0.15,2.0,25.624999999999996,0,-999.0,0.0,0.0
F30S240_O-20C-40O-70R-50K10_H240_TP30SL15,0.4,30,240,-20,-40,-70,-50,10,240,0.3,0.15,2.0,25.624999999999996,0,-999.0,0.0,0.0
F30S240_O-20C-40O-70R-50K10_H240_TP30SL20,0.55,30,240,-20,-40,-70,-50,10,240,0.3,0.2,1.4999999999999998,26.875,0,-999.0,0.0,0.0
F30S240_O-20C-40O-70R-50K10_H240_TP30SL20,0.45,30,240,-20,-40,-70,-50,10,240,0.3,0.2,1.4999999999999998,26.875,0,-999.0,0.0,0.0
F30S240_O-20C-40O-70R-50K10_H240_TP30SL20,0.4,30,240,-20,-40,-70,-50,10,240,0.3,0.2,1.4999999999999998,26.875,0,-999.0,0.0,0.0
F30S240_O-20C-40O-70R-50K10_H360_TP35SL20,0.55,30,240,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,25.624999999999996,0,-999.0,0.0,0.0
