entry,exit,pnl,reason,type,side
2026-04-07 17:51:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 17:52:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 18:18:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 18:19:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 18:46:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-08 13:33:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-08 13:34:00+00:00,,44.900000000001455,target_hit,dip_long_15m,1
2026-04-08 15:16:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-08 15:19:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-08 15:20:00+00:00,,33.5,target_hit,dip_long_15m,1
2026-04-08 16:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-08 16:03:00+00:00,,49.30000000000109,target_hit,dip_long_15m,1
2026-04-08 16:21:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-08 16:46:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-08 16:48:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-08 16:52:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-08 18:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-08 18:02:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-08 18:04:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-08 18:06:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-08 18:07:00+00:00,,45.399999999999636,target_hit,dip_long_15m,1
2026-04-08 18:31:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-09 13:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 13:36:00+00:00,,34.0,target_hit,dip_long_15m,1
2026-04-09 14:31:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-09 15:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 15:32:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 15:33:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-09 15:34:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 15:35:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 15:36:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 15:37:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-09 15:38:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 15:39:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 16:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 16:02:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 16:03:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-09 16:04:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 16:07:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 16:08:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-09 16:09:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 16:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 16:18:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 16:19:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 16:20:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 16:37:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-09 16:50:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 16:51:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 16:52:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 17:17:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 17:19:00+00:00,,36.30000000000109,target_hit,dip_long_15m,1
2026-04-09 17:23:00+00:00,,30.0,target_hit,dip_long_15m,1
