side,entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,exit_time,exit_price,exit_reason,pnl,wf_cycle,source,entry_ts,exit_ts,month
-1,2025-08-04 08:19:00+00:00,3357.12,3367.7271444685507,3334.1378536514726,2025-08-04 17:22:00+00:00,1,0,0.5,0.1064184308052063,22.982146348527255,10.60714446855104,480,2025-08-04 11:21:00+00:00,3367.7271444685507,stop_loss,-10.607144468550814,16,short,2025-08-04 08:19:00+00:00,2025-08-04 11:21:00+00:00,2025-08
1,2025-08-04 14:08:00+00:00,3380.05,3375.6957614007274,3385.8815695525977,2025-08-04 16:17:00+00:00,7,0,0.5,0.7971931099891663,5.831569552597416,4.354238599272736,120,2025-08-04 14:18:00+00:00,3375.6957614007274,stop_loss,-4.354238599272776,16,long,2025-08-04 14:08:00+00:00,2025-08-04 14:18:00+00:00,2025-08
1,2025-08-04 14:19:00+00:00,3376.03,3371.6757614007274,3385.5015695525976,2025-08-04 16:54:00+00:00,23,0,0.5,0.45704829692840576,5.831569552597416,4.354238599272736,120,2025-08-04 15:09:00+00:00,3371.6757614007274,stop_loss,-4.354238599272776,16,long,2025-08-04 14:19:00+00:00,2025-08-04 15:09:00+00:00,2025-08
1,2025-08-04 15:36:00+00:00,3373.6,3369.245761400727,3383.8215695525973,2025-08-04 18:27:00+00:00,47,0,0.5,0.6023966073989868,5.831569552597416,4.354238599272736,120,2025-08-04 18:27:00+00:00,3376.23,timeout,2.630000000000109,16,long,2025-08-04 15:36:00+00:00,2025-08-04 18:27:00+00:00,2025-08
1,2025-08-05 12:31:00+00:00,3362.76,3358.4057614007274,3370.6415695525975,2025-08-05 14:44:00+00:00,14,0,0.5,0.6057844758033752,5.831569552597416,4.354238599272736,120,2025-08-05 13:23:00+00:00,3370.6415695525975,target_hit,7.881569552597284,16,long,2025-08-05 12:31:00+00:00,2025-08-05 13:23:00+00:00,2025-08
1,2025-08-05 14:17:00+00:00,3375.98,3371.6257614007272,3381.8115695525976,2025-08-05 16:17:00+00:00,0,0,0.5,0.5629732608795166,5.831569552597416,4.354238599272736,120,2025-08-05 14:24:00+00:00,3381.8115695525976,target_hit,5.831569552597557,16,long,2025-08-05 14:17:00+00:00,2025-08-05 14:24:00+00:00,2025-08
1,2025-08-05 16:22:00+00:00,3383.0,3378.645761400727,3389.4115695525975,2025-08-05 18:29:00+00:00,7,0,0.5,0.47937679290771484,5.831569552597416,4.354238599272736,120,2025-08-05 16:30:00+00:00,3378.645761400727,stop_loss,-4.354238599272776,16,long,2025-08-05 16:22:00+00:00,2025-08-05 16:30:00+00:00,2025-08
1,2025-08-05 16:31:00+00:00,3379.77,3375.415761400727,3388.1415695525975,2025-08-05 19:09:00+00:00,30,0,0.5,0.8778656125068665,5.831569552597416,4.354238599272736,120,2025-08-05 19:09:00+00:00,3379.56,timeout,-0.21000000000003638,16,long,2025-08-05 16:31:00+00:00,2025-08-05 19:09:00+00:00,2025-08
-1,2025-08-06 10:58:00+00:00,3363.22,3373.8271444685506,3340.2378536514725,2025-08-06 18:59:00+00:00,1,0,0.5,0.07314693927764893,22.982146348527255,10.60714446855104,480,2025-08-06 14:04:00+00:00,3373.8271444685506,stop_loss,-10.607144468550814,16,short,2025-08-06 10:58:00+00:00,2025-08-06 14:04:00+00:00,2025-08
1,2025-08-06 15:37:00+00:00,3373.15,3368.7957614007273,3379.3515695525975,2025-08-06 17:40:00+00:00,4,0,0.5,0.5793401002883911,5.831569552597416,4.354238599272736,120,2025-08-06 16:09:00+00:00,3379.3515695525975,target_hit,6.201569552597448,16,long,2025-08-06 15:37:00+00:00,2025-08-06 16:09:00+00:00,2025-08
