side,entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,matched_pattern,exit_time,exit_price,exit_reason,pnl,source
1,2026-02-12 18:21:00+00:00,4919.54,4904.54,4951.0,2026-02-12 18:42:00+00:00,7,0,0.5880336165428162,0.5880336165428162,20.0,15.0,15,uptrend_retrace,2026-02-12 18:42:00+00:00,4943.02,timeout,23.480000000000473,pattern
1,2026-02-12 23:31:00+00:00,4917.2,4902.2,4937.2,2026-02-12 23:46:00+00:00,0,0,0.5942175388336182,0.5942175388336182,20.0,15.0,15,uptrend_retrace,2026-02-12 23:46:00+00:00,4908.62,timeout,-8.579999999999927,pattern
1,2026-02-13 01:01:00+00:00,4945.31,4930.31,4986.37,2026-02-13 01:29:00+00:00,13,0,0.6383519768714905,0.6383519768714905,20.0,15.0,15,reversal_fvg_long,2026-02-13 01:29:00+00:00,4969.81,timeout,24.5,pattern
1,2026-02-13 01:31:00+00:00,4969.58,4954.58,5001.96,2026-02-13 02:02:00+00:00,8,0,0.6022610664367676,0.6022610664367676,20.0,15.0,15,reversal_fvg_long,2026-02-13 02:02:00+00:00,4977.27,timeout,7.690000000000509,pattern
1,2026-02-13 14:02:00+00:00,4991.52,4976.52,5017.31,2026-02-13 14:25:00+00:00,6,0,0.653196394443512,0.653196394443512,20.0,15.0,15,reversal_fvg_long,2026-02-13 14:25:00+00:00,5004.37,timeout,12.849999999999454,pattern
1,2026-02-13 16:47:00+00:00,5018.85,5003.85,5038.85,2026-02-13 17:02:00+00:00,0,0,0.5708783268928528,0.5708783268928528,20.0,15.0,15,uptrend_retrace,2026-02-13 17:02:00+00:00,5012.81,timeout,-6.039999999999964,pattern
-1,2026-02-17 15:01:00+00:00,4853.79,4883.79,4812.8,2026-02-17 15:30:00+00:00,4,0,0.6002753376960754,0.39972466230392456,40.0,30.0,15,downtrend_retrace,2026-02-17 15:30:00+00:00,4859.24,timeout,-5.449999999999818,pattern
-1,2026-02-17 23:59:00+00:00,4859.23,4889.23,4819.04,2026-02-18 00:14:00+00:00,1,0,0.7251264452934265,0.2748735547065735,40.0,30.0,15,downtrend_retrace,2026-02-18 00:14:00+00:00,4864.82,timeout,-5.5900000000001455,pattern
1,2026-02-23 21:01:00+00:00,5235.02,5220.02,5257.03,2026-02-23 21:20:00+00:00,5,0,0.8414425849914551,0.8414425849914551,20.0,15.0,15,reversal_fvg_long,2026-02-23 21:20:00+00:00,5230.75,timeout,-4.270000000000437,pattern
-1,2026-02-24 13:40:00+00:00,5138.67,5168.67,5098.67,2026-02-24 13:55:00+00:00,1,0,0.7207192778587341,0.27928072214126587,40.0,30.0,15,reversal_fvg_short,2026-02-24 13:55:00+00:00,5131.58,timeout,7.0900000000001455,pattern
1,2026-03-01 23:08:00+00:00,5341.94,5326.94,5385.06,2026-03-01 23:46:00+00:00,15,0,0.5623034238815308,0.5623034238815308,20.0,15.0,15,uptrend_retrace,2026-03-01 23:41:00+00:00,5385.06,target_hit,43.1200000000008,pattern
1,2026-03-02 01:04:00+00:00,5316.88,5301.88,5336.88,2026-03-02 01:19:00+00:00,0,0,0.5729401707649231,0.5729401707649231,20.0,15.0,15,uptrend_retrace,2026-03-02 01:12:00+00:00,5336.88,target_hit,20.0,pattern
1,2026-03-02 01:21:00+00:00,5327.18,5312.18,5353.26,2026-03-02 01:43:00+00:00,8,0,0.587591290473938,0.587591290473938,20.0,15.0,15,uptrend_retrace,2026-03-02 01:29:00+00:00,5312.18,stop_loss,-15.0,pattern
1,2026-03-02 01:30:00+00:00,5307.19,5292.19,5354.37,2026-03-02 02:35:00+00:00,24,0,0.8416396975517273,0.8416396975517273,20.0,15.0,15,uptrend_retrace,2026-03-02 02:35:00+00:00,5334.47,timeout,27.280000000000655,pattern
-1,2026-03-02 14:02:00+00:00,5385.36,5415.36,5345.33,2026-03-02 14:20:00+00:00,3,0,0.5874632596969604,0.41253674030303955,40.0,30.0,15,downtrend_retrace,2026-03-02 14:20:00+00:00,5367.06,timeout,18.299999999999272,pattern
1,2026-03-02 14:38:00+00:00,5338.75,5323.75,5361.32,2026-03-02 15:05:00+00:00,4,0,0.6575409770011902,0.6575409770011902,20.0,15.0,15,uptrend_retrace,2026-03-02 14:52:00+00:00,5323.75,stop_loss,-15.0,pattern
1,2026-03-02 14:55:00+00:00,5337.68,5322.68,5357.68,2026-03-02 15:10:00+00:00,0,0,0.6536740660667419,0.6536740660667419,20.0,15.0,15,uptrend_retrace,2026-03-02 15:00:00+00:00,5322.68,stop_loss,-15.0,pattern
1,2026-03-02 17:01:00+00:00,5297.21,5282.21,5319.72,2026-03-02 17:19:00+00:00,3,0,0.6078245043754578,0.6078245043754578,20.0,15.0,15,uptrend_retrace,2026-03-02 17:19:00+00:00,5296.13,timeout,-1.0799999999999272,pattern
1,2026-03-03 01:04:00+00:00,5362.6,5347.6,5388.02,2026-03-03 01:29:00+00:00,4,0,0.6349714398384094,0.6349714398384094,20.0,15.0,15,reversal_fvg_long,2026-03-03 01:29:00+00:00,5376.5,timeout,13.899999999999636,pattern
1,2026-03-03 01:31:00+00:00,5373.25,5358.25,5396.94,2026-03-03 01:56:00+00:00,7,0,0.7664773464202881,0.7664773464202881,20.0,15.0,15,reversal_fvg_long,2026-03-03 01:46:00+00:00,5358.25,stop_loss,-15.0,pattern
1,2026-03-03 02:03:00+00:00,5343.99,5328.99,5377.18,2026-03-03 02:43:00+00:00,7,0,0.6094536185264587,0.6094536185264587,20.0,15.0,15,uptrend_retrace,2026-03-03 02:43:00+00:00,5361.0,timeout,17.01000000000022,pattern
1,2026-03-03 09:33:00+00:00,5263.83,5248.83,5295.82,2026-03-03 10:08:00+00:00,15,0,0.5506316423416138,0.5506316423416138,20.0,15.0,15,uptrend_retrace,2026-03-03 10:08:00+00:00,5272.4,timeout,8.569999999999709,pattern
1,2026-03-03 10:47:00+00:00,5256.82,5241.82,5276.82,2026-03-03 11:02:00+00:00,0,0,0.5556425452232361,0.5556425452232361,20.0,15.0,15,uptrend_retrace,2026-03-03 10:53:00+00:00,5241.82,stop_loss,-15.0,pattern
1,2026-03-03 11:11:00+00:00,5198.47,5183.47,5229.24,2026-03-03 11:31:00+00:00,6,0,0.8187200427055359,0.8187200427055359,20.0,15.0,15,uptrend_retrace,2026-03-03 11:17:00+00:00,5183.47,stop_loss,-15.0,pattern
1,2026-03-03 11:19:00+00:00,5197.99,5182.99,5225.56,2026-03-03 11:38:00+00:00,5,0,0.7677375078201294,0.7677375078201294,20.0,15.0,15,uptrend_retrace,2026-03-03 11:25:00+00:00,5182.99,stop_loss,-15.0,pattern
1,2026-03-03 11:43:00+00:00,5110.5,5095.5,5194.44,2026-03-03 12:22:00+00:00,25,0,0.862926721572876,0.862926721572876,20.0,15.0,15,uptrend_retrace,2026-03-03 12:17:00+00:00,5194.44,target_hit,83.9399999999996,pattern
1,2026-03-03 13:08:00+00:00,5159.4,5144.4,5204.57,2026-03-03 13:59:00+00:00,37,0,0.5811811089515686,0.5811811089515686,20.0,15.0,15,uptrend_retrace,2026-03-03 13:45:00+00:00,5144.4,stop_loss,-15.0,pattern
