mask,h,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
C_wr90_mid_drop,240,0.2,0.1,2.0,62656,15893,25.365487742594482,17.437027189907525,8.718513594953762,15892
D_wr30_bounce,240,0.2,0.1,2.0,63711,15891,24.942317653152518,17.39414972838443,8.697074864192215,15891
C_wr90_mid_drop,480,0.3,0.15,2.0,62656,15853,25.30164708886619,26.155540784861284,13.077770392430642,15853
D_wr30_bounce,120,0.2,0.15,1.3333333333333335,63711,15557,24.418075371599883,17.39414972838443,13.045612296288319,15557
D_wr30_bounce,240,0.3,0.25,1.2,63711,15534,24.381974855205538,26.091224592576637,21.742687160480532,15534
D_wr30_bounce,480,0.2,0.12,1.6666666666666667,63711,15488,24.30977382241685,17.39414972838443,10.436489837030654,15488
D_wr30_bounce,360,0.3,0.15,2.0,63711,15460,24.265825367675912,26.091224592576637,13.045612296288319,15460
B_wr30_recovery,240,0.4,0.1,4.0,141277,15365,10.875797192748998,34.64414819311313,8.661037048278283,15365
C_wr90_mid_drop,240,0.3,0.25,1.2,62656,15312,24.43820224719101,26.155540784861284,21.7962839873844,15312
C_wr90_mid_drop,360,0.25,0.12,2.0833333333333335,62656,15273,24.375957609805923,21.7962839873844,10.462216313944513,15273
D_wr30_bounce,360,0.25,0.12,2.0833333333333335,63711,15220,23.889124327039287,21.742687160480532,10.436489837030654,15220
C_wr90_mid_drop,480,0.2,0.12,1.6666666666666667,62656,15201,24.261044433094995,17.437027189907525,10.462216313944513,15201
C_wr90_mid_drop,360,0.3,0.15,2.0,62656,15188,24.2402962206333,26.155540784861284,13.077770392430642,15188
D_wr30_bounce,360,0.35,0.2,1.7499999999999998,63711,15064,23.64426865062548,30.439762024672746,17.39414972838443,15064
B_wr30_recovery,120,0.3,0.1,2.9999999999999996,141277,15049,10.65212313398501,25.983111144834844,8.661037048278283,15049
C_wr90_mid_drop,120,0.2,0.15,1.3333333333333335,62656,15026,23.98174157303371,17.437027189907525,13.077770392430642,15026
C_wr90_mid_drop,360,0.35,0.2,1.7499999999999998,62656,14790,23.60508171603677,30.514797582338165,17.437027189907525,14790
D_wr30_bounce,240,0.25,0.12,2.0833333333333335,63711,14776,23.19222740186153,21.742687160480532,10.436489837030654,14776
C_wr90_mid_drop,240,0.25,0.12,2.0833333333333335,62656,14753,23.5460291113381,21.7962839873844,10.462216313944513,14753
D_wr30_bounce,480,0.4,0.2,2.0,63711,14739,23.134152658096717,34.78829945676886,17.39414972838443,14739
D_wr30_bounce,480,0.25,0.12,2.0833333333333335,63711,14732,23.123165544411485,21.742687160480532,10.436489837030654,14732
D_wr30_bounce,360,0.2,0.1,2.0,63711,14624,22.953650076125,17.39414972838443,8.697074864192215,14624
C_wr90_mid_drop,360,0.2,0.1,2.0,62656,14540,23.206077630234933,17.437027189907525,8.718513594953762,14540
D_wr30_bounce,120,0.2,0.12,1.6666666666666667,63711,14538,22.818665536563547,17.39414972838443,10.436489837030654,14538
D_wr30_bounce,240,0.3,0.2,1.4999999999999998,63711,14521,22.791982546185118,26.091224592576637,17.39414972838443,14521
C_wr90_mid_drop,480,0.25,0.12,2.0833333333333335,62656,14499,23.140640960163434,21.7962839873844,10.462216313944513,14499
C_wr90_mid_drop,480,0.4,0.2,2.0,62656,14493,23.13106486210419,34.87405437981505,17.437027189907525,14493
C_wr90_mid_drop,240,0.3,0.2,1.4999999999999998,62656,14352,22.90602655771195,26.155540784861284,17.437027189907525,14352
D_wr30_bounce,480,0.35,0.15,2.3333333333333335,63711,14347,22.518874291723563,30.439762024672746,13.045612296288319,14347
C_wr90_mid_drop,120,0.2,0.12,1.6666666666666667,62656,14122,22.538942798774258,17.437027189907525,10.462216313944513,14122
C_wr90_mid_drop,480,0.35,0.15,2.3333333333333335,62656,14106,22.513406537282943,30.514797582338165,13.077770392430642,14106
B_wr30_recovery,120,0.35,0.25,1.4,141277,13701,9.697969237738628,30.313629668973984,21.652592620695703,13701
D_wr30_bounce,480,0.3,0.12,2.5,63711,13645,21.417023747861435,26.091224592576637,10.436489837030654,13645
D_wr30_bounce,120,0.2,0.1,2.0,63711,13578,21.311861374017045,17.39414972838443,8.697074864192215,13578
D_wr30_bounce,360,0.4,0.25,1.6,63711,13544,21.25849539326019,34.78829945676886,21.742687160480532,13544
C_wr90_mid_drop,480,0.3,0.12,2.5,62656,13436,21.444075587334012,26.155540784861284,10.462216313944513,13435
C_wr90_mid_drop,240,0.25,0.1,2.5,62656,13389,21.36906281920327,21.7962839873844,8.718513594953762,13389
D_wr30_bounce,360,0.3,0.12,2.5,63711,13359,20.968121674436123,26.091224592576637,10.436489837030654,13358
C_wr90_mid_drop,360,0.4,0.25,1.6,62656,13357,21.317990296220636,34.87405437981505,21.7962839873844,13357
D_wr30_bounce,240,0.25,0.1,2.5,63711,13343,20.943008271727017,21.742687160480532,8.697074864192215,13343
C_wr90_mid_drop,360,0.3,0.12,2.5,62656,13302,21.23020939734423,26.155540784861284,10.462216313944513,13302
D_wr30_bounce,360,0.25,0.1,2.5,63711,13291,20.861389712922414,21.742687160480532,8.697074864192215,13291
C_wr90_mid_drop,120,0.2,0.1,2.0,62656,13279,21.19350102145046,17.437027189907525,8.718513594953762,13279
C_wr90_mid_drop,360,0.25,0.1,2.5,62656,13274,21.185520939734424,21.7962839873844,8.718513594953762,13274
D_wr30_bounce,480,0.2,0.1,2.0,63711,13270,20.82842837186671,17.39414972838443,8.697074864192215,13270
D_wr30_bounce,240,0.3,0.15,2.0,63711,13219,20.74837940073143,26.091224592576637,13.045612296288319,13219
B_wr30_recovery,120,0.35,0.2,1.7499999999999998,141277,13087,9.263362047608599,30.313629668973984,17.322074096556566,13087
