entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,exit_time,exit_price,exit_reason,pnl,side
2026-02-02 19:01:00+00:00,4646.63,4671.63,4616.63,2026-02-02 19:31:00+00:00,0,0,0.8372195959091187,0.06300564855337143,30.0,25.0,30,2026-02-02 19:31:00+00:00,4644.47,timeout,2.1599999999998545,down
2026-02-02 19:33:00+00:00,4652.17,4677.17,4622.17,2026-02-02 20:03:00+00:00,0,0,0.8123776912689209,0.050746846944093704,30.0,25.0,30,2026-02-02 19:40:00+00:00,4677.17,stop_loss,-25.0,down
2026-02-02 19:41:00+00:00,4679.37,4704.37,4649.37,2026-02-02 20:11:00+00:00,1,0,0.742342472076416,0.08231087028980255,30.0,25.0,30,2026-02-02 19:42:00+00:00,4692.68,reverse_signal,-13.3100000000004,down
2026-02-02 19:43:00+00:00,4692.69,4667.69,4733.28,2026-02-02 20:25:00+00:00,5,0,0.8589560985565186,0.6157499551773071,30.0,25.0,30,2026-02-02 19:56:00+00:00,4678.12,reverse_signal,-14.569999999999709,up
2026-02-02 19:57:00+00:00,4678.15,4703.15,4634.19,2026-02-02 21:15:00+00:00,11,0,0.72950279712677,0.24312782287597656,30.0,25.0,30,2026-02-02 21:15:00+00:00,4679.96,timeout,-1.8100000000004002,down
2026-02-02 23:03:00+00:00,4700.08,4675.08,4730.08,2026-02-02 23:33:00+00:00,0,0,0.8342257738113403,0.8164361715316772,30.0,25.0,30,2026-02-02 23:18:00+00:00,4730.08,target_hit,30.0,up
2026-02-02 23:53:00+00:00,4769.42,4794.42,4739.42,2026-02-03 00:31:00+00:00,1,0,0.7737888693809509,0.1857021152973175,30.0,25.0,30,2026-02-03 00:04:00+00:00,4794.42,stop_loss,-25.0,down
2026-02-03 01:03:00+00:00,4810.63,4835.63,4780.63,2026-02-03 01:41:00+00:00,1,0,0.7635525465011597,0.19213534891605377,30.0,25.0,30,2026-02-03 01:15:00+00:00,4835.63,stop_loss,-25.0,down
2026-02-03 01:16:00+00:00,4843.73,4868.73,4735.52,2026-02-03 03:32:00+00:00,19,0,0.815990686416626,0.04616716131567955,30.0,25.0,30,2026-02-03 03:32:00+00:00,4781.15,timeout,62.57999999999993,down
2026-02-03 06:40:00+00:00,4874.83,4899.83,4844.83,2026-02-03 07:10:00+00:00,1,0,0.5255812406539917,0.06975201517343521,30.0,25.0,30,2026-02-03 07:10:00+00:00,4885.88,timeout,-11.050000000000182,down
2026-02-03 07:15:00+00:00,4893.05,4918.05,4854.69,2026-02-03 08:01:00+00:00,4,0,0.66648930311203,0.12297020107507706,30.0,25.0,30,2026-02-03 07:33:00+00:00,4918.05,stop_loss,-25.0,down
2026-02-03 07:34:00+00:00,4920.93,4945.93,4871.14,2026-02-03 09:10:00+00:00,10,0,0.5584178566932678,0.08145458996295929,30.0,25.0,30,2026-02-03 08:42:00+00:00,4945.93,stop_loss,-25.0,down
2026-02-03 08:43:00+00:00,4944.7,4969.7,4865.33,2026-02-03 09:57:00+00:00,8,0,0.5959413647651672,0.032363321632146835,30.0,25.0,30,2026-02-03 09:57:00+00:00,4915.83,timeout,28.86999999999989,down
2026-02-03 11:01:00+00:00,4898.35,4923.35,4859.79,2026-02-03 12:03:00+00:00,6,0,0.6084296107292175,0.10517872869968414,30.0,25.0,30,2026-02-03 12:00:00+00:00,4923.35,stop_loss,-25.0,down
2026-02-03 12:01:00+00:00,4924.02,4949.02,4894.02,2026-02-03 12:32:00+00:00,1,0,0.8543345928192139,0.08833090215921402,30.0,25.0,30,2026-02-03 12:25:00+00:00,4894.02,target_hit,30.0,down
2026-02-03 12:30:00+00:00,4902.45,4927.45,4872.45,2026-02-03 13:00:00+00:00,0,0,0.5173102021217346,0.09395305067300797,30.0,25.0,30,2026-02-03 13:00:00+00:00,4916.78,timeout,-14.329999999999927,down
