side,entry_time,entry_price,stop,target,timeout,exit_time,exit_price,exit_reason,pnl
up,2026-03-23 07:22:00+00:00,4103.5,4088.5,4166.65,2026-03-23 08:29:00+00:00,2026-03-23 07:34:00+00:00,4166.65,Target,63.149999999999636
down,2026-03-23 07:43:00+00:00,4190.3,4205.3,4160.3,2026-03-23 08:43:00+00:00,2026-03-23 07:44:00+00:00,4205.3,Stop,-15.0
up,2026-03-23 07:46:00+00:00,4218.57,4203.57,4255.02,2026-03-23 08:50:00+00:00,2026-03-23 07:52:00+00:00,4203.57,Stop,-15.0
up,2026-03-23 07:53:00+00:00,4200.6,4185.6,4234.58,2026-03-23 08:59:00+00:00,2026-03-23 08:01:00+00:00,4216.89,Reverse,16.289999999999964
down,2026-03-23 08:02:00+00:00,4215.67,4230.67,4185.67,2026-03-23 09:02:00+00:00,2026-03-23 08:03:00+00:00,4230.67,Stop,-15.0
down,2026-03-23 08:13:00+00:00,4248.15,4263.15,4218.15,2026-03-23 09:13:00+00:00,2026-03-23 08:18:00+00:00,4218.15,Target,30.0
down,2026-03-23 08:28:00+00:00,4222.55,4237.55,4192.55,2026-03-23 09:28:00+00:00,2026-03-23 08:30:00+00:00,4237.55,Stop,-15.0
down,2026-03-23 08:37:00+00:00,4250.77,4265.77,4220.77,2026-03-23 09:41:00+00:00,2026-03-23 08:45:00+00:00,4265.77,Stop,-15.0
up,2026-03-23 08:52:00+00:00,4233.56,4218.56,4267.12,2026-03-23 09:56:00+00:00,2026-03-23 08:58:00+00:00,4245.32,Reverse,11.759999999999309
down,2026-03-23 08:59:00+00:00,4244.98,4259.98,4214.98,2026-03-23 09:59:00+00:00,2026-03-23 09:00:00+00:00,4259.98,Stop,-15.0
down,2026-03-23 09:02:00+00:00,4248.16,4263.16,4218.16,2026-03-23 10:09:00+00:00,2026-03-23 09:10:00+00:00,4263.16,Stop,-15.0
down,2026-03-23 09:12:00+00:00,4260.8,4275.8,4229.25,2026-03-23 10:13:00+00:00,2026-03-23 09:15:00+00:00,4275.8,Stop,-15.0
down,2026-03-23 09:22:00+00:00,4296.34,4311.34,4265.36,2026-03-23 10:28:00+00:00,2026-03-23 09:36:00+00:00,4265.36,Target,30.980000000000473
down,2026-03-23 09:43:00+00:00,4231.25,4246.25,4201.25,2026-03-23 10:43:00+00:00,2026-03-23 09:49:00+00:00,4246.25,Stop,-15.0
down,2026-03-23 10:08:00+00:00,4257.6,4272.6,4227.6,2026-03-23 11:08:00+00:00,2026-03-23 10:11:00+00:00,4272.6,Stop,-15.0
down,2026-03-23 10:24:00+00:00,4270.91,4285.91,4216.69,2026-03-23 11:43:00+00:00,2026-03-23 11:00:00+00:00,4285.91,Stop,-15.0
down,2026-03-23 11:02:00+00:00,4290.08,4305.08,4260.08,2026-03-23 12:02:00+00:00,2026-03-23 11:05:00+00:00,4305.08,Stop,-15.0
down,2026-03-23 11:06:00+00:00,4336.7,4351.7,4306.7,2026-03-23 12:06:00+00:00,2026-03-23 11:06:00+00:00,4351.7,Stop,-15.0
down,2026-03-23 11:07:00+00:00,4377.2,4392.2,4347.2,2026-03-23 12:07:00+00:00,2026-03-23 11:07:00+00:00,4392.2,Stop,-15.0
down,2026-03-23 11:09:00+00:00,4397.81,4412.81,4367.81,2026-03-23 12:09:00+00:00,2026-03-23 11:09:00+00:00,4412.81,Stop,-15.0
down,2026-03-23 11:12:00+00:00,4426.68,4441.68,4396.68,2026-03-23 12:12:00+00:00,2026-03-23 11:12:00+00:00,4441.68,Stop,-15.0
down,2026-03-23 11:13:00+00:00,4435.15,4450.15,4405.15,2026-03-23 12:13:00+00:00,2026-03-23 11:14:00+00:00,4450.15,Stop,-15.0
down,2026-03-23 11:15:00+00:00,4455.87,4470.87,4425.87,2026-03-23 12:15:00+00:00,2026-03-23 11:15:00+00:00,4425.87,Target,30.0
down,2026-03-23 11:17:00+00:00,4404.3,4419.3,4374.3,2026-03-23 12:17:00+00:00,2026-03-23 11:17:00+00:00,4419.3,Stop,-15.0
down,2026-03-23 11:18:00+00:00,4408.92,4423.92,4332.47,2026-03-23 12:33:00+00:00,2026-03-23 11:34:00+00:00,4423.92,Stop,-15.0
down,2026-03-23 11:35:00+00:00,4420.99,4435.99,4390.6,2026-03-23 12:35:00+00:00,2026-03-23 11:40:00+00:00,4390.6,Target,30.389999999999418
down,2026-03-23 11:42:00+00:00,4396.72,4411.72,4366.72,2026-03-23 12:42:00+00:00,2026-03-23 11:43:00+00:00,4411.72,Stop,-15.0
down,2026-03-23 11:45:00+00:00,4410.73,4425.73,4336.98,2026-03-23 12:59:00+00:00,2026-03-23 12:06:00+00:00,4336.98,Target,73.75
down,2026-03-23 12:16:00+00:00,4365.45,4380.45,4335.45,2026-03-23 13:16:00+00:00,2026-03-23 12:17:00+00:00,4380.45,Stop,-15.0
down,2026-03-23 12:18:00+00:00,4390.41,4405.41,4355.77,2026-03-23 13:19:00+00:00,2026-03-23 12:20:00+00:00,4405.41,Stop,-15.0
down,2026-03-23 12:21:00+00:00,4404.57,4419.57,4352.65,2026-03-23 13:40:00+00:00,2026-03-23 12:41:00+00:00,4419.57,Stop,-15.0
down,2026-03-23 12:42:00+00:00,4423.2,4438.2,4393.2,2026-03-23 13:42:00+00:00,2026-03-23 12:42:00+00:00,4438.2,Stop,-15.0
down,2026-03-23 12:43:00+00:00,4437.31,4452.31,4407.31,2026-03-23 13:46:00+00:00,2026-03-23 12:47:00+00:00,4452.31,Stop,-15.0
down,2026-03-23 12:48:00+00:00,4450.25,4465.25,4420.25,2026-03-23 13:48:00+00:00,2026-03-23 12:50:00+00:00,4465.25,Stop,-15.0
down,2026-03-23 12:51:00+00:00,4460.9,4475.9,4430.9,2026-03-23 13:51:00+00:00,2026-03-23 12:51:00+00:00,4475.9,Stop,-15.0
down,2026-03-23 12:52:00+00:00,4474.26,4489.26,4437.79,2026-03-23 13:58:00+00:00,2026-03-23 12:59:00+00:00,4489.26,Stop,-15.0
