side,entry_time,entry_price,stop,target,timeout,target_updates,exit_time,exit_price,exit_reason,pnl,pnl_cum
down,2025-12-12 14:54:00+00:00,4348.49,4363.49,2383.49,2025-12-12 18:37:00+00:00,129,2025-12-12 18:37:00+00:00,4297.95,Timeout,50.539999999999964,18.260000000004766
down,2025-12-12 18:50:00+00:00,4291.67,4306.67,3466.67,2025-12-12 22:18:00+00:00,53,2025-12-14 23:04:00+00:00,4303.9,Timeout,-12.229999999999563,6.030000000005202
up,2025-12-14 23:08:00+00:00,4305.88,4290.88,4335.88,2025-12-15 00:08:00+00:00,0,2025-12-15 00:08:00+00:00,4300.79,Timeout,-5.0900000000001455,0.9400000000050568
down,2025-12-15 01:06:00+00:00,4308.38,4323.38,4098.38,2025-12-15 02:29:00+00:00,12,2025-12-15 01:40:00+00:00,4323.38,Stop,-15.0,-14.059999999994943
down,2025-12-15 01:41:00+00:00,4324.25,4339.25,4279.25,2025-12-15 02:41:00+00:00,1,2025-12-15 02:41:00+00:00,4326.98,Timeout,-2.7299999999995634,-16.789999999994507
down,2025-12-15 05:38:00+00:00,4338.02,4353.02,4188.02,2025-12-15 06:48:00+00:00,8,2025-12-15 06:48:00+00:00,4346.11,Timeout,-8.089999999999236,-24.879999999993743
down,2025-12-15 14:32:00+00:00,4321.73,4336.73,3016.7299999999996,2025-12-15 19:32:00+00:00,85,2025-12-15 19:32:00+00:00,4308.61,Timeout,13.11999999999989,-11.759999999993852
down,2025-12-15 20:51:00+00:00,4306.51,4321.51,4246.51,2025-12-15 21:52:00+00:00,2,2025-12-15 21:52:00+00:00,4302.7,Timeout,3.8100000000004,-7.949999999993452
up,2025-12-16 05:31:00+00:00,4272.7,4257.7,4497.7,2025-12-16 07:00:00+00:00,13,2025-12-16 07:00:00+00:00,4286.67,Timeout,13.970000000000255,6.020000000006803
down,2025-12-16 07:23:00+00:00,4282.08,4297.08,3772.08,2025-12-16 08:57:00+00:00,32,2025-12-16 08:57:00+00:00,4285.21,Timeout,-3.130000000000109,2.890000000006694
up,2025-12-16 08:58:00+00:00,4285.2,4270.2,4375.2,2025-12-16 10:02:00+00:00,4,2025-12-16 10:02:00+00:00,4281.4,Timeout,-3.800000000000182,-0.909999999993488
up,2025-12-16 10:51:00+00:00,4278.37,4263.37,4563.37,2025-12-16 13:21:00+00:00,17,2025-12-16 13:21:00+00:00,4299.27,Timeout,20.900000000000546,19.990000000007058
up,2025-12-16 13:31:00+00:00,4306.19,4291.19,4606.19,2025-12-16 15:51:00+00:00,18,2025-12-16 15:51:00+00:00,4325.87,Timeout,19.68000000000029,39.67000000000735
down,2025-12-16 15:53:00+00:00,4325.51,4340.51,2885.51,2025-12-16 20:45:00+00:00,94,2025-12-16 20:45:00+00:00,4310.64,Timeout,14.86999999999989,54.54000000000724
down,2025-12-16 21:01:00+00:00,4303.44,4318.44,4093.4399999999996,2025-12-16 22:13:00+00:00,12,2025-12-16 23:01:00+00:00,4303.66,Timeout,-0.22000000000025466,54.320000000006985
down,2025-12-17 08:10:00+00:00,4311.48,4326.48,4281.48,2025-12-17 09:10:00+00:00,0,2025-12-17 09:10:00+00:00,4321.5,Timeout,-10.020000000000437,44.30000000000655
down,2025-12-17 11:02:00+00:00,4318.44,4333.44,4258.44,2025-12-17 12:03:00+00:00,2,2025-12-17 12:03:00+00:00,4317.18,Timeout,1.2599999999993088,45.56000000000586
down,2025-12-17 12:38:00+00:00,4317.98,4332.98,4287.98,2025-12-17 13:38:00+00:00,0,2025-12-17 13:30:00+00:00,4332.98,Stop,-15.0,30.560000000005857
down,2025-12-17 14:18:00+00:00,4323.95,4338.95,4293.95,2025-12-17 15:18:00+00:00,0,2025-12-17 14:45:00+00:00,4338.95,Stop,-15.0,15.560000000005857
down,2025-12-17 15:38:00+00:00,4337.51,4352.51,4037.51,2025-12-17 16:59:00+00:00,18,2025-12-17 16:59:00+00:00,4333.66,Timeout,3.850000000000364,19.41000000000622
down,2025-12-17 19:11:00+00:00,4336.27,4351.27,4291.27,2025-12-17 20:12:00+00:00,1,2025-12-17 20:12:00+00:00,4339.4,Timeout,-3.1299999999991996,16.28000000000702
down,2025-12-18 11:44:00+00:00,4326.08,4341.08,3966.08,2025-12-18 14:49:00+00:00,22,2025-12-18 13:51:00+00:00,4341.08,Stop,-15.0,1.2800000000070213
down,2025-12-18 13:52:00+00:00,4341.42,4356.42,3381.42,2025-12-18 16:17:00+00:00,62,2025-12-18 16:11:00+00:00,4356.42,Stop,-15.0,-13.719999999992979
down,2025-12-18 16:12:00+00:00,4358.61,4373.61,4283.61,2025-12-18 17:15:00+00:00,3,2025-12-18 16:20:00+00:00,4373.61,Stop,-15.0,-28.71999999999298
down,2025-12-18 16:22:00+00:00,4371.66,4386.66,3846.66,2025-12-18 18:38:00+00:00,33,2025-12-18 18:38:00+00:00,4338.03,Timeout,33.63000000000011,4.91000000000713
up,2025-12-19 01:54:00+00:00,4323.98,4308.98,4413.98,2025-12-19 02:57:00+00:00,4,2025-12-19 02:57:00+00:00,4318.03,Timeout,-5.949999999999818,-1.0399999999926877
down,2025-12-19 12:08:00+00:00,4324.27,4339.27,2644.2700000000004,2025-12-19 15:53:00+00:00,110,2025-12-19 15:04:00+00:00,4339.27,Stop,-15.0,-16.039999999992688
down,2025-12-19 15:07:00+00:00,4342.99,4357.99,4072.99,2025-12-19 16:32:00+00:00,16,2025-12-19 16:32:00+00:00,4348.46,Timeout,-5.470000000000255,-21.509999999992942
down,2025-12-19 16:56:00+00:00,4345.04,4360.04,4315.04,2025-12-19 17:56:00+00:00,0,2025-12-19 17:56:00+00:00,4353.86,Timeout,-8.819999999999709,-30.32999999999265
up,2025-12-22 01:12:00+00:00,4370.78,4355.78,4400.78,2025-12-22 02:12:00+00:00,0,2025-12-22 02:12:00+00:00,4378.7,Timeout,7.920000000000073,-22.40999999999258
up,2025-12-22 05:14:00+00:00,4402.56,4387.56,5182.56,2025-12-22 07:28:00+00:00,50,2025-12-22 07:28:00+00:00,4415.49,Timeout,12.929999999999382,-9.479999999993197
down,2025-12-22 16:33:00+00:00,4436.85,4451.85,4391.85,2025-12-22 17:36:00+00:00,1,2025-12-22 17:36:00+00:00,4435.26,Timeout,1.5900000000001455,-7.8899999999930515
up,2025-12-22 23:16:00+00:00,4459.06,4444.06,4594.06,2025-12-23 00:22:00+00:00,7,2025-12-23 00:22:00+00:00,4465.76,Timeout,6.699999999999818,-1.1899999999932334
down,2025-12-23 01:31:00+00:00,4479.9,4494.9,4434.9,2025-12-23 02:31:00+00:00,1,2025-12-23 02:31:00+00:00,4489.79,Timeout,-9.890000000000327,-11.07999999999356
down,2025-12-23 05:46:00+00:00,4482.39,4497.39,4212.39,2025-12-23 07:18:00+00:00,16,2025-12-23 07:18:00+00:00,4484.87,Timeout,-2.4799999999995634,-13.559999999993124
down,2025-12-23 13:52:00+00:00,4476.7,4491.7,3426.7,2025-12-23 16:35:00+00:00,68,2025-12-23 16:35:00+00:00,4461.13,Timeout,15.569999999999709,2.0100000000065847
up,2025-12-23 20:45:00+00:00,4492.63,4477.63,4537.63,2025-12-23 21:46:00+00:00,1,2025-12-23 21:46:00+00:00,4488.73,Timeout,-3.9000000000005457,-1.889999999993961
down,2025-12-24 01:06:00+00:00,4515.97,4530.97,2940.9700000000003,2025-12-24 07:52:00+00:00,103,2025-12-24 07:52:00+00:00,4489.22,Timeout,26.75,24.86000000000604
down,2025-12-24 07:53:00+00:00,4488.93,4503.93,3693.9300000000003,2025-12-24 10:21:00+00:00,51,2025-12-24 10:21:00+00:00,4493.23,Timeout,-4.299999999999272,20.560000000006767
down,2025-12-24 11:42:00+00:00,4485.4,4500.4,1605.3999999999996,2025-12-24 17:01:00+00:00,190,2025-12-24 17:01:00+00:00,4477.38,Timeout,8.019999999999527,28.580000000006294
down,2025-12-26 00:55:00+00:00,4516.71,4531.71,4351.71,2025-12-26 02:04:00+00:00,9,2025-12-26 01:05:00+00:00,4531.71,Stop,-15.0,13.580000000006294
down,2025-12-26 01:41:00+00:00,4511.64,4526.64,4136.64,2025-12-26 03:36:00+00:00,23,2025-12-26 03:36:00+00:00,4502.82,Timeout,8.820000000000618,22.400000000006912
down,2025-12-26 03:59:00+00:00,4504.32,4519.32,4339.32,2025-12-26 05:24:00+00:00,9,2025-12-26 05:24:00+00:00,4508.86,Timeout,-4.539999999999964,17.86000000000695
down,2025-12-26 05:41:00+00:00,4510.45,4525.45,4435.45,2025-12-26 06:43:00+00:00,3,2025-12-26 06:43:00+00:00,4518.33,Timeout,-7.880000000000109,9.98000000000684
down,2025-12-26 06:58:00+00:00,4510.8,4525.8,4480.8,2025-12-26 07:58:00+00:00,0,2025-12-26 07:58:00+00:00,4510.44,Timeout,0.3600000000005821,10.340000000007421
down,2025-12-26 11:11:00+00:00,4504.76,4519.76,4399.76,2025-12-26 12:36:00+00:00,5,2025-12-26 12:36:00+00:00,4514.5,Timeout,-9.739999999999782,0.6000000000076398
down,2025-12-26 13:09:00+00:00,4510.52,4525.52,4480.52,2025-12-26 14:09:00+00:00,0,2025-12-26 13:40:00+00:00,4525.52,Stop,-15.0,-14.39999999999236
