side,entry_time,entry_price,stop,target,timeout,target_updates,exit_time,exit_price,exit_reason,pnl
up,2026-03-20 18:58:00+00:00,4491.52,4476.52,4538.42,2026-03-20 20:00:00+00:00,3,2026-03-20 19:01:00+00:00,4513.62,Reverse,22.099999999999454
down,2026-03-20 19:02:00+00:00,4512.92,4527.92,4479.47,2026-03-20 20:03:00+00:00,1,2026-03-20 19:04:00+00:00,4500.39,Reverse,12.529999999999745
up,2026-03-20 19:05:00+00:00,4500.6,4485.6,4536.96,2026-03-20 20:19:00+00:00,3,2026-03-20 19:20:00+00:00,4495.15,Reverse,-5.450000000000728
down,2026-03-20 19:21:00+00:00,4494.31,4509.31,4464.31,2026-03-20 20:21:00+00:00,0,2026-03-20 19:21:00+00:00,4489.82,Reverse,4.490000000000691
up,2026-03-20 19:22:00+00:00,4490.71,4475.71,4545.31,2026-03-20 21:58:00+00:00,8,2026-03-20 20:59:00+00:00,4494.05,Reverse,3.3400000000001455
down,2026-03-22 22:01:00+00:00,4486.58,4501.58,4456.58,2026-03-22 23:01:00+00:00,0,2026-03-22 22:01:00+00:00,4475.17,Reverse,11.409999999999854
up,2026-03-22 22:02:00+00:00,4479.27,4464.27,4509.27,2026-03-22 23:02:00+00:00,0,2026-03-22 22:02:00+00:00,4464.27,Stop,-15.0
up,2026-03-22 22:03:00+00:00,4467.3,4452.3,4497.3,2026-03-22 23:03:00+00:00,0,2026-03-22 22:03:00+00:00,4452.3,Stop,-15.0
up,2026-03-22 22:04:00+00:00,4460.1,4445.1,4521.78,2026-03-22 23:06:00+00:00,2,2026-03-22 22:07:00+00:00,4521.78,Target,61.67999999999938
up,2026-03-22 22:08:00+00:00,4506.95,4491.95,4536.95,2026-03-22 23:08:00+00:00,0,2026-03-22 22:08:00+00:00,4491.95,Stop,-15.0
up,2026-03-22 22:09:00+00:00,4504.02,4489.02,4541.55,2026-03-22 23:16:00+00:00,1,2026-03-22 22:17:00+00:00,4509.04,Reverse,5.019999999999527
down,2026-03-22 22:18:00+00:00,4508.76,4523.76,4478.76,2026-03-22 23:18:00+00:00,0,2026-03-22 22:18:00+00:00,4515.93,Reverse,-7.170000000000073
up,2026-03-22 22:19:00+00:00,4517.16,4502.16,4547.16,2026-03-22 23:19:00+00:00,0,2026-03-22 22:20:00+00:00,4517.59,Reverse,0.43000000000029104
down,2026-03-22 22:21:00+00:00,4517.26,4532.26,4487.26,2026-03-22 23:21:00+00:00,0,2026-03-22 22:22:00+00:00,4523.47,Reverse,-6.210000000000036
up,2026-03-22 22:23:00+00:00,4524.57,4509.57,4554.57,2026-03-22 23:23:00+00:00,0,2026-03-22 22:24:00+00:00,4528.46,Reverse,3.8900000000003274
down,2026-03-22 22:25:00+00:00,4527.18,4542.18,4497.18,2026-03-22 23:25:00+00:00,0,2026-03-22 22:25:00+00:00,4524.52,Reverse,2.6599999999998545
up,2026-03-22 22:26:00+00:00,4524.84,4509.84,4554.84,2026-03-22 23:26:00+00:00,0,2026-03-22 22:26:00+00:00,4530.19,Reverse,5.349999999999454
down,2026-03-22 22:27:00+00:00,4529.52,4544.52,4499.52,2026-03-22 23:27:00+00:00,0,2026-03-22 22:27:00+00:00,4527.63,Reverse,1.8900000000003274
up,2026-03-22 22:28:00+00:00,4528.13,4513.13,4563.13,2026-03-22 23:31:00+00:00,1,2026-03-22 22:32:00+00:00,4516.08,Reverse,-12.050000000000182
down,2026-03-22 22:33:00+00:00,4515.28,4530.28,4476.88,2026-03-22 23:46:00+00:00,3,2026-03-22 22:47:00+00:00,4505.92,Reverse,9.359999999999673
up,2026-03-22 22:48:00+00:00,4506.45,4491.45,4536.45,2026-03-22 23:48:00+00:00,0,2026-03-22 22:49:00+00:00,4506.62,Reverse,0.17000000000007276
down,2026-03-22 22:50:00+00:00,4506.35,4521.35,4471.31,2026-03-22 23:56:00+00:00,3,2026-03-22 22:57:00+00:00,4492.97,Reverse,13.38000000000011
up,2026-03-22 22:58:00+00:00,4493.23,4478.23,4537.66,2026-03-23 00:35:00+00:00,4,2026-03-22 23:36:00+00:00,4478.23,Stop,-15.0
up,2026-03-22 23:37:00+00:00,4478.73,4463.73,4522.36,2026-03-23 00:47:00+00:00,4,2026-03-22 23:48:00+00:00,4463.73,Stop,-15.0
up,2026-03-22 23:49:00+00:00,4461.44,4446.44,4497.08,2026-03-23 00:59:00+00:00,3,2026-03-23 00:00:00+00:00,4469.25,Reverse,7.8100000000004
down,2026-03-23 00:01:00+00:00,4468.27,4483.27,4426.44,2026-03-23 01:01:00+00:00,1,2026-03-23 00:02:00+00:00,4452.26,Reverse,16.01000000000022
up,2026-03-23 00:03:00+00:00,4452.74,4437.74,4482.74,2026-03-23 01:03:00+00:00,0,2026-03-23 00:03:00+00:00,4437.74,Stop,-15.0
up,2026-03-23 00:04:00+00:00,4436.03,4421.03,4477.48,2026-03-23 01:11:00+00:00,3,2026-03-23 00:12:00+00:00,4448.13,Reverse,12.100000000000364
down,2026-03-23 00:13:00+00:00,4447.8,4462.8,4417.8,2026-03-23 01:13:00+00:00,0,2026-03-23 00:13:00+00:00,4441.05,Reverse,6.75
up,2026-03-23 00:14:00+00:00,4441.32,4426.32,4471.32,2026-03-23 01:14:00+00:00,0,2026-03-23 00:15:00+00:00,4426.32,Stop,-15.0
up,2026-03-23 00:16:00+00:00,4416.73,4401.73,4462.29,2026-03-23 01:22:00+00:00,3,2026-03-23 00:23:00+00:00,4436.66,Reverse,19.93000000000029
down,2026-03-23 00:24:00+00:00,4435.78,4450.78,4405.78,2026-03-23 01:26:00+00:00,0,2026-03-23 00:27:00+00:00,4427.18,Reverse,8.599999999999454
up,2026-03-23 00:28:00+00:00,4428.18,4413.18,4464.52,2026-03-23 01:33:00+00:00,1,2026-03-23 00:34:00+00:00,4413.18,Stop,-15.0
up,2026-03-23 00:35:00+00:00,4401.88,4386.88,4431.88,2026-03-23 01:35:00+00:00,0,2026-03-23 00:35:00+00:00,4386.88,Stop,-15.0
up,2026-03-23 00:36:00+00:00,4368.17,4353.17,4398.17,2026-03-23 01:36:00+00:00,0,2026-03-23 00:36:00+00:00,4353.17,Stop,-15.0
up,2026-03-23 00:37:00+00:00,4351.05,4336.05,4381.05,2026-03-23 01:37:00+00:00,0,2026-03-23 00:37:00+00:00,4336.05,Stop,-15.0
up,2026-03-23 00:38:00+00:00,4333.07,4318.07,4407.71,2026-03-23 02:04:00+00:00,7,2026-03-23 01:05:00+00:00,4391.18,Reverse,58.11000000000058
down,2026-03-23 01:06:00+00:00,4389.45,4404.45,4359.45,2026-03-23 02:06:00+00:00,0,2026-03-23 01:06:00+00:00,4388.03,Reverse,1.4200000000000728
up,2026-03-23 01:07:00+00:00,4389.51,4374.51,4441.65,2026-03-23 02:09:00+00:00,2,2026-03-23 01:10:00+00:00,4400.85,Reverse,11.340000000000146
down,2026-03-23 01:11:00+00:00,4399.91,4414.91,4369.91,2026-03-23 02:11:00+00:00,0,2026-03-23 01:11:00+00:00,4414.91,Stop,-15.0
up,2026-03-23 01:12:00+00:00,4418.18,4403.18,4450.85,2026-03-23 02:13:00+00:00,1,2026-03-23 01:14:00+00:00,4403.18,Stop,-15.0
up,2026-03-23 01:15:00+00:00,4409.74,4394.74,4477.27,2026-03-23 02:56:00+00:00,7,2026-03-23 01:57:00+00:00,4394.74,Stop,-15.0
up,2026-03-23 01:58:00+00:00,4391.69,4376.69,4422.04,2026-03-23 02:58:00+00:00,1,2026-03-23 01:59:00+00:00,4388.25,Reverse,-3.4399999999996
down,2026-03-23 02:00:00+00:00,4387.47,4402.47,4357.47,2026-03-23 03:00:00+00:00,0,2026-03-23 02:01:00+00:00,4402.47,Stop,-15.0
up,2026-03-23 02:02:00+00:00,4408.41,4393.41,4447.65,2026-03-23 03:12:00+00:00,2,2026-03-23 02:13:00+00:00,4393.41,Stop,-15.0
up,2026-03-23 02:14:00+00:00,4392.52,4377.52,4444.83,2026-03-23 03:36:00+00:00,3,2026-03-23 02:37:00+00:00,4377.52,Stop,-15.0
up,2026-03-23 02:38:00+00:00,4374.43,4359.43,4404.81,2026-03-23 03:40:00+00:00,1,2026-03-23 02:41:00+00:00,4373.38,Reverse,-1.050000000000182
down,2026-03-23 02:42:00+00:00,4371.15,4386.15,4341.15,2026-03-23 03:43:00+00:00,0,2026-03-23 02:44:00+00:00,4386.15,Stop,-15.0
down,2026-03-23 02:45:00+00:00,4384.56,4399.56,4344.2,2026-03-23 03:45:00+00:00,1,2026-03-23 02:46:00+00:00,4369.3,Reverse,15.260000000000218
up,2026-03-23 02:47:00+00:00,4370.79,4355.79,4400.79,2026-03-23 03:47:00+00:00,0,2026-03-23 02:47:00+00:00,4373.71,Reverse,2.9200000000000728
down,2026-03-23 02:48:00+00:00,4372.61,4387.61,4341.38,2026-03-23 03:52:00+00:00,1,2026-03-23 02:53:00+00:00,4357.3,Reverse,15.30999999999949
