entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,pnl_usd,reason
127212,127242,2025-09-25 15:23:00+00:00,2025-09-25 15:53:00+00:00,3734.21,3734.43,-0.2199999999997999,timeout
127329,127359,2025-09-25 17:20:00+00:00,2025-09-25 17:50:00+00:00,3739.44,3739.73,-0.2899999999999636,timeout
127379,127390,2025-09-25 18:10:00+00:00,2025-09-25 18:21:00+00:00,3738.31,3743.31,-5.0,stop
128470,128500,2025-09-26 13:22:00+00:00,2025-09-26 13:52:00+00:00,3757.44,3759.96,-2.519999999999982,timeout
128537,128567,2025-09-26 14:29:00+00:00,2025-09-26 14:59:00+00:00,3777.72,3778.82,-1.1000000000003638,timeout
128752,128782,2025-09-26 18:04:00+00:00,2025-09-26 18:34:00+00:00,3779.09,3779.99,-0.8999999999996362,timeout
129954,129984,2025-09-29 15:07:00+00:00,2025-09-29 15:37:00+00:00,3826.59,3829.21,-2.619999999999891,timeout
131209,131239,2025-09-30 13:03:00+00:00,2025-09-30 13:33:00+00:00,3815.86,3818.15,-2.2899999999999636,timeout
131328,131358,2025-09-30 15:02:00+00:00,2025-09-30 15:32:00+00:00,3846.39,3837.64,8.75,timeout
134000,134030,2025-10-02 13:36:00+00:00,2025-10-02 14:06:00+00:00,3888.15,3872.16,15.990000000000236,timeout
135348,135352,2025-10-03 13:05:00+00:00,2025-10-03 13:09:00+00:00,3870.85,3875.85,-5.0,stop
135455,135484,2025-10-03 14:52:00+00:00,2025-10-03 15:21:00+00:00,3877.42,3882.42,-5.0,stop
136839,136843,2025-10-06 15:01:00+00:00,2025-10-06 15:05:00+00:00,3952.49,3957.49,-5.0,stop
136856,136882,2025-10-06 15:18:00+00:00,2025-10-06 15:44:00+00:00,3952.75,3957.75,-5.0,stop
138119,138149,2025-10-07 13:22:00+00:00,2025-10-07 13:52:00+00:00,3979.82,3976.69,3.130000000000109,timeout
138220,138232,2025-10-07 15:03:00+00:00,2025-10-07 15:15:00+00:00,3982.7,3987.7,-5.0,stop
138254,138284,2025-10-07 15:37:00+00:00,2025-10-07 16:07:00+00:00,3981.15,3974.6,6.550000000000182,timeout
138387,138417,2025-10-07 17:50:00+00:00,2025-10-07 18:20:00+00:00,3982.59,3981.41,1.180000000000291,timeout
139431,139461,2025-10-08 12:15:00+00:00,2025-10-08 12:45:00+00:00,4042.15,4035.03,7.119999999999891,timeout
139542,139547,2025-10-08 14:06:00+00:00,2025-10-08 14:11:00+00:00,4037.6,4042.6,-5.0,stop
139576,139593,2025-10-08 14:40:00+00:00,2025-10-08 14:57:00+00:00,4041.51,4046.51,-5.0,stop
