feature_idx,channel,bar,bars_ago,importance_s1,importance_s2,importance_avg
598,close_rel,148,1,0.0007205775920498324,8.008254379127661e-06,0.00036429292321448
599,close_rel,149,0,0.0007954555174461468,0.009809119802350084,0.0053022876598981155
600,body_rel,0,149,7.358716222420027e-06,2.8394686662419548e-05,1.7876701442419786e-05
601,body_rel,1,148,9.228234530519184e-05,2.0903990559871106e-06,4.7186372180589474e-05
602,body_rel,2,147,0.0004932239153097174,0.0,0.0002466119576548587
603,body_rel,3,146,0.0004937058445372553,1.41910573002888e-14,0.00024685292227572317
604,body_rel,4,145,6.564564682067555e-05,0.0,3.2822823410337776e-05
605,body_rel,5,144,0.00011536671894015652,0.0001014410462357751,0.00010840388258796582
606,body_rel,6,143,6.321699314323899e-05,0.0,3.1608496571619496e-05
607,body_rel,7,142,0.0003132708057429007,1.8927565761288455e-05,0.0001660991857520946
608,body_rel,8,141,0.000830560954113964,6.060715288394304e-05,0.0004455840534989535
609,body_rel,9,140,0.0002720926823208899,2.859751156700944e-06,0.0001374762167387954
610,body_rel,10,139,9.463193951856937e-05,0.0,4.7315969759284685e-05
611,body_rel,11,138,0.00023691546547303282,1.94399039116025e-05,0.00012817768469231767
612,body_rel,12,137,0.0006612336050749633,8.207674950550745e-09,0.00033062090637495697
613,body_rel,13,136,3.639369990247198e-05,0.0,1.819684995123599e-05
614,body_rel,14,135,0.0005619596286481198,8.521549031260874e-05,0.00032358755948036424
615,body_rel,15,134,0.0010865825160516318,0.00013329282386018555,0.0006099376699559086
616,body_rel,16,133,0.0005186317106563302,1.691922831381494e-06,0.00026016181674385583
617,body_rel,17,132,0.00019110501467880972,5.025192921157793e-06,9.806510379998375e-05
618,body_rel,18,131,5.3397367357609756e-05,7.841622538168867e-07,2.709076480571332e-05
619,body_rel,19,130,4.084964891017945e-05,2.485066313143656e-05,3.285015602080801e-05
620,body_rel,20,129,0.00025793185140145957,1.1012900812921368e-05,0.00013447237610719046
621,body_rel,21,128,0.0005454840347008141,4.742774442654156e-09,0.00027274438873762835
622,body_rel,22,127,0.00046362441975099383,0.0002648551568897276,0.00036423978832036074
623,body_rel,23,126,0.0005331386427373472,1.2652260119553557e-06,0.0002672019343746513
624,body_rel,24,125,0.0001373639629362229,1.4342323695103762e-05,7.585314331566334e-05
625,body_rel,25,124,0.00041611904853296606,4.482829294704065e-05,0.00023047367074000336
626,body_rel,26,123,5.848297736443529e-05,0.0,2.9241488682217644e-05
627,body_rel,27,122,0.0002846463893371522,0.00011382327446312211,0.00019923483190013717
628,body_rel,28,121,1.1412322891511246e-05,0.0,5.706161445755623e-06
629,body_rel,29,120,0.00011637602146084894,2.3819072893553827e-05,7.009754717720138e-05
630,body_rel,30,119,0.0,7.255442214926274e-05,3.627721107463137e-05
631,body_rel,31,118,2.0351807752237905e-05,5.667297085419269e-05,3.8512389303215295e-05
632,body_rel,32,117,4.3401158974712694e-05,7.484619993860545e-06,2.544288948428662e-05
633,body_rel,33,116,6.381126891120772e-05,0.00010934575925025626,8.657851408073199e-05
634,body_rel,34,115,0.0008745711342994501,0.0011133136036031912,0.0009939423689513207
635,body_rel,35,114,0.0002170694184373141,1.8892879854148897e-05,0.00011798114914573151
636,body_rel,36,113,0.00010602401567428419,0.0006340317786881939,0.000370027897181239
637,body_rel,37,112,0.0,1.5057120833939127e-05,7.528560416969564e-06
638,body_rel,38,111,0.0006424323148338645,6.914610254699428e-05,0.0003557892086904294
639,body_rel,39,110,3.562373488284237e-05,0.00015311446106044867,9.436909797164552e-05
640,body_rel,40,109,6.826145703728419e-05,0.0,3.4130728518642094e-05
