side,entry_time,entry_price,stop,target,timeout,target_updates,s1_prob,s2_prob,tp,sl,horizon,exit_time,exit_price,exit_reason,pnl,month
-1,2026-03-03 01:47:00+00:00,5355.54,5380.54,5306.67,2026-03-03 02:33:00+00:00,2,0.5980014801025391,0.40199851989746094,45.0,25.0,45,2026-03-03 02:33:00+00:00,5360.71,timeout,-5.170000000000073,2026-03
-1,2026-03-03 11:06:00+00:00,5246.58,5271.58,5167.39,2026-03-03 11:52:00+00:00,1,0.6127632856369019,0.38723671436309814,45.0,25.0,45,2026-03-03 11:09:00+00:00,5167.39,target_hit,79.1899999999996,2026-03
-1,2026-03-03 11:25:00+00:00,5188.39,5213.39,5143.39,2026-03-03 12:10:00+00:00,0,0.583191454410553,0.416808545589447,45.0,25.0,45,2026-03-03 11:29:00+00:00,5143.39,target_hit,45.0,2026-03
-1,2026-03-04 14:57:00+00:00,5143.81,5168.81,5098.81,2026-03-04 15:42:00+00:00,0,0.6399034261703491,0.3600965738296509,45.0,25.0,45,2026-03-04 15:42:00+00:00,5148.18,timeout,-4.369999999999891,2026-03
-1,2026-03-08 22:42:00+00:00,5116.12,5141.12,5011.29,2026-03-09 00:52:00+00:00,5,0.574497640132904,0.42550235986709595,45.0,25.0,45,2026-03-09 00:52:00+00:00,5043.96,timeout,72.15999999999985,2026-03
-1,2026-03-15 23:23:00+00:00,4977.09,5002.09,4932.09,2026-03-16 00:08:00+00:00,0,0.640202522277832,0.35979747772216797,45.0,25.0,45,2026-03-16 00:00:00+00:00,5002.09,stop_loss,-25.0,2026-03
-1,2026-03-18 12:08:00+00:00,4917.6,4942.6,4872.6,2026-03-18 12:53:00+00:00,0,0.619289755821228,0.380710244178772,45.0,25.0,45,2026-03-18 12:50:00+00:00,4872.6,target_hit,45.0,2026-03
-1,2026-03-18 22:23:00+00:00,4809.21,4834.21,4764.21,2026-03-18 23:08:00+00:00,0,0.5810879468917847,0.41891205310821533,45.0,25.0,45,2026-03-18 22:48:00+00:00,4834.21,stop_loss,-25.0,2026-03
-1,2026-03-19 08:06:00+00:00,4725.06,4750.06,4646.61,2026-03-19 09:27:00+00:00,3,0.5725690722465515,0.4274309277534485,45.0,25.0,45,2026-03-19 09:27:00+00:00,4712.4,timeout,12.660000000000764,2026-03
-1,2026-03-19 10:18:00+00:00,4689.35,4714.35,4623.58,2026-03-19 11:38:00+00:00,1,0.6409609317779541,0.3590390682220459,45.0,25.0,45,2026-03-19 11:38:00+00:00,4683.4,timeout,5.950000000000728,2026-03
-1,2026-03-19 11:43:00+00:00,4660.22,4685.22,4558.23,2026-03-19 13:10:00+00:00,2,0.7241827845573425,0.27581721544265747,45.0,25.0,45,2026-03-19 12:45:00+00:00,4558.23,target_hit,101.99000000000069,2026-03
-1,2026-03-19 15:32:00+00:00,4589.47,4614.47,4539.18,2026-03-19 16:17:00+00:00,1,0.6039248108863831,0.39607518911361694,45.0,25.0,45,2026-03-19 16:02:00+00:00,4614.47,stop_loss,-25.0,2026-03
-1,2026-03-20 13:32:00+00:00,4650.81,4675.81,4605.81,2026-03-20 14:17:00+00:00,0,0.6259317994117737,0.3740682005882263,45.0,25.0,45,2026-03-20 14:08:00+00:00,4605.81,target_hit,45.0,2026-03
-1,2026-03-23 00:15:00+00:00,4436.46,4461.46,4391.46,2026-03-23 01:00:00+00:00,0,0.5589625239372253,0.44103747606277466,45.0,25.0,45,2026-03-23 00:35:00+00:00,4391.46,target_hit,45.0,2026-03
-1,2026-03-25 23:38:00+00:00,4491.89,4516.89,4446.89,2026-03-26 00:23:00+00:00,0,0.6515238285064697,0.3484761714935303,45.0,25.0,45,2026-03-26 00:06:00+00:00,4516.89,stop_loss,-25.0,2026-03
-1,2026-03-26 08:16:00+00:00,4441.77,4466.77,4381.56,2026-03-26 09:15:00+00:00,3,0.6013545989990234,0.39864540100097656,45.0,25.0,45,2026-03-26 09:15:00+00:00,4429.27,timeout,12.5,2026-03
-1,2026-03-26 09:33:00+00:00,4418.52,4443.52,4373.52,2026-03-26 10:18:00+00:00,0,0.6139745712280273,0.38602542877197266,45.0,25.0,45,2026-03-26 10:18:00+00:00,4432.4,timeout,-13.8799999999992,2026-03
-1,2026-03-29 23:33:00+00:00,4460.58,4485.58,4390.56,2026-03-30 01:26:00+00:00,2,0.7619720101356506,0.23802798986434937,45.0,25.0,45,2026-03-30 01:26:00+00:00,4456.42,timeout,4.1599999999998545,2026-03
-1,2026-04-02 01:18:00+00:00,4730.08,4755.08,4674.52,2026-04-02 02:06:00+00:00,3,0.8584478497505188,0.1415521502494812,45.0,25.0,45,2026-04-02 01:31:00+00:00,4674.52,target_hit,55.55999999999949,2026-04
-1,2026-04-02 05:42:00+00:00,4638.46,4663.46,4593.46,2026-04-02 06:27:00+00:00,0,0.6656646728515625,0.3343353271484375,45.0,25.0,45,2026-04-02 05:49:00+00:00,4593.46,target_hit,45.0,2026-04
-1,2026-04-07 05:31:00+00:00,4626.67,4651.67,4581.67,2026-04-07 06:16:00+00:00,0,0.7849254608154297,0.2150745391845703,45.0,25.0,45,2026-04-07 06:16:00+00:00,4645.82,timeout,-19.149999999999636,2026-04
-1,2026-05-15 05:33:00+00:00,4576.26,4601.26,4531.26,2026-05-15 06:18:00+00:00,0,0.5965974926948547,0.40340250730514526,45.0,25.0,45,2026-05-15 06:18:00+00:00,4576.93,timeout,-0.6700000000000728,2026-05
-1,2026-05-18 00:36:00+00:00,4499.27,4524.27,4454.27,2026-05-18 01:21:00+00:00,0,0.6018015146255493,0.3981984853744507,45.0,25.0,45,2026-05-18 01:21:00+00:00,4499.45,timeout,-0.17999999999938154,2026-05
